@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data

1,1,0.048701,0.058442,1,0.941558,1,231.073231,1,1,0,bad
1,1,0.090909,0.090909,1,0.909091,1,143.755471,1,1,4.545455,bad
1,1,0.004329,0.002165,1,0.997835,1,138.219482,1,1,1,bad
1,1,0.046048,0.020204,1,0.979796,1,127.951443,1,1,4,bad
0.540925,1,0.028736,0.071264,0.833667,0.928736,0.634099,196.306894,1,0.710853,1,bad
0.644056,1,0,0.005848,0.90201,0.994152,0.556897,114.939764,1,1,2,bad
1,1,0.034483,0,1,1,1,96.933156,1,1,7.862069,bad
1,1,0.065217,0.043478,0.864596,0.956522,1,113.787897,0.952473,1,8.869565,bad
1,1,0.061111,0.083333,1,0.916667,1,214.304049,1,1,1,bad
1,0.637927,0.06982,0.155405,1,0.844595,1,204.891086,0.640543,0.470809,0,bad
0.436068,1,0,0.125,0.828571,0.875,0.272499,89.966215,0.800865,1,3.75,bad
0.325622,0.264423,0,0,0.828571,1,0.203481,127,1,0.007111,10,bad
0.55829,0.395546,0.02665,0.024535,1,0.975465,0.547842,194.672711,0.540598,0.212866,0,bad
1,1,0.020833,0.036594,1,0.963406,1,206.00362,1,1,0,bad
0.566558,0.999232,0.015278,0.019444,0.959813,0.980556,0.55528,127.148021,0.799682,1,5.45,bad
1,0.515397,0.06078,0.184142,1,0.815858,1,182.749882,1,0.324772,3,good
1,1,0.5,0.5,1,0.5,1,477.147532,1,1,1,good
0.557099,0.691747,0.006098,0.018293,0.860787,0.981707,0.530372,112.547495,0.519567,1,5.390244,bad
1,1,0,1,1,0,1,58.11549,1,1,0,bad
1,1,0.166667,0.166667,1,0.833333,1,425.414217,1,1,0,bad
0.792895,0.851863,0.014572,0.001821,1,0.998179,0.71841,179.41292,0.537475,0.455664,0,bad
0.440792,0.301815,0.058974,0.20641,0.737457,0.79359,0.323949,171.851462,0.512084,0.053465,5.523077,bad
0.390837,0.262224,0.04631,0.177481,0.861236,0.822519,0.311849,177.903491,0.504017,0.260641,3.061069,bad
1,0.980582,0,0,1,1,1,0,1,1,4,bad
0.581854,1,0,0,1,1,0.581854,0,1,1,5,bad
1,1,1,0,1,1,1,96.319874,1,1,9,bad
1,0.803804,0.106481,0.275132,0.926848,0.724868,1,256.054827,0.9639,0.331656,6.880952,bad
0.407679,0.373126,0.014224,0.024096,0.915591,0.975904,0.379888,173.534425,0.485088,0.238138,1,bad
1,1,0,0,1,1,1,63.245553,1,1,1,bad
1,1,0,0,1,1,1,131.782172,1,1,1,bad
1,1,0.052381,0.042857,1,0.957143,1,217.285669,1,1,0,good
1,1,0.002941,0.047059,1,0.952941,1,176.419055,1,1,1.023529,good
1,1,0,0,1,1,1,75,1,1,2,bad
1,1,0,1,1,0,1,884.383493,1,1,17,good
1,1,0,0,1,1,1,0,1,1,1,bad
0.148339,0.565412,0,0,0.58457,1,0.092697,82.739838,0.455556,0.026306,7.333333,bad
0.450591,1,0.01161,0.020599,0.843462,0.979401,0.497749,176.471112,0.990083,0.240686,2,bad
0,1,0,1,1,0,0,75.686009,1,0.215017,3,bad
1,1,0,0,1,1,1,410.086972,1,1,1,bad
0.443219,0.246313,0.029004,0.225108,0.842691,0.774892,0.321274,140.484464,0.642294,0.350918,4.038961,bad
1,0.052693,0.5,0,1,1,1,579.096873,1,1,0,bad
1,0.358525,0,0,1,1,1,162,1,0.998463,6,bad
1,0.902439,0.140682,0.260761,0.98117,0.739239,1,190.157328,0.81735,0.318007,6.984252,bad
0.081329,0.369766,0,0,1,1,0.058438,349.376166,0.3762,1,0,bad
0.255609,0.801365,0,0,1,1,0.249649,109.223831,0.058577,0.688832,2,bad
0.179915,0.077424,0,0,1,1,0.153537,262.468942,0.096961,1,1,bad
1,1,0.038312,0.006494,0.784541,0.993506,1,187.492415,1,1,1,bad
0.867541,0.68569,0,0,1,1,0.867541,119,0.867541,0.845423,7,bad
0.33874,0.951026,0.040094,0.049528,0.840492,0.950472,0.343649,150.270892,0.417853,0.449252,9.188679,bad
0.36849,0.264472,0,0.035714,0.605447,0.964286,0.242105,99.799206,0.640653,0.074448,6.392857,bad
1,1,0,0.119048,1,0.880952,1,108.163371,1,1,2,bad
1,0.955108,0.026543,0.049383,1,0.950617,1,196.493852,1,0.468863,0,bad
0.404111,0.879901,0.030303,0.056818,0.889279,0.943182,0.438808,134.617869,0.964865,0.591198,9.431818,bad
1,0.550007,0,0.666667,1,0.333333,1,339.238717,1,0.863114,0,good
0.676931,0.415986,0.076923,0.230769,0.721809,0.769231,0.785813,226.341958,1,0.480077,8.153846,bad
1,1,0.047619,0.017857,0.770548,0.982143,0.981685,189.391851,1,0.553964,1,bad
1,1,0,0.5,1,0.5,1,130.933136,1,1,0,good
0,0.087929,0,1,0.58457,0,0,69.99772,0.243735,0.012653,3,bad
0.261698,0.923122,0,0.05,0.963158,0.95,0.285525,94.161042,0.634384,0.779867,11,bad
0.037145,1,0,0,1,1,0.037145,0,0,0,7,bad
0.033592,0.970636,0,0,1,1,0.033592,0,0,0,10,bad
0.443798,1,0,0,1,1,0.443798,311.546917,1,0.019687,1,bad
1,1,0,0,1,1,1,70.604532,1,0.05542,0,bad
1,1,0,0,1,1,1,106.023582,1,1,4,bad
0.717377,0.896728,0,0,0.5,1,0.717377,0,0,0,11,bad
0.345769,0.814672,0,0,1,1,0.656331,0,0,0,5,bad
1,1,0,0.5,1,0.5,1,197.008357,1,1,2,good
0.367752,0.556911,0,0.2,0.720482,0.8,0.266977,187.476584,1,0.013153,4.3,bad
1,0.50777,0.025641,0.115385,0.852641,0.884615,0.64464,126.253964,0.905393,1,3.230769,bad
1,1,0.083333,0,1,1,1,97.835805,1,1,3,bad
1,1,0.037313,0.054726,1,0.945274,1,196.938707,1,1,0,bad
0.203632,1,0.125,0.125,1,0.875,0.380389,516.852786,0.405697,1,0,good
0.604722,0.130128,1,0,0.125,1,0.57886,72.952779,0.1589,0.360373,2,bad
0.227584,0.987061,0,0.058824,0.849845,0.941176,0.254262,140.695141,1,0.096884,11.529412,bad
0.059257,0.95111,0,0,1,1,0.042511,80.5,0.002199,1,3,bad
0.564677,0.24276,0,0,1,1,0.564677,70,0.564677,0.764037,5,bad
1,1,0,0,0.5,1,0.785494,162.788206,1,1,2,bad
0.891979,0.136009,0,0,1,1,1,141.5,0.891979,0.974494,3,bad
1,1,0.454545,0,1,1,1,83.948003,1,1,0,bad
1,1,0,1,1,0,1,69.461004,1,0.161537,13,bad
1,1,0,1,1,0,1,209.002404,1,1,6,bad
0.079208,0.216011,0,0,1,1,0.079208,46,0.085197,0.750882,2,bad
0.131881,0.327756,0,0,1,1,0.131881,102,0.141853,1,4,bad
1,1,1,0,1,1,1,564.348462,1,0.452202,6,bad
1,1,1,0,1,1,1,102.210558,1,0.507248,9,bad
1,1,0,0,0.571429,1,0.904515,62,1,0.106748,14,bad
0.580907,0.013094,0,0.25,1,0.75,1,155.479487,0.789286,1,16,good
1,1,0,1,1,0,1,114.64003,1,1,2,good
1,1,0.058333,0.020833,0.853009,0.979167,1,174.846785,0.76731,0.896658,2,bad
0,0.205114,0,0,1,1,0,58.969617,0.051397,1,1,bad
0.131137,0.864588,0,0,1,1,0.335917,282.75914,0.515008,0.034694,0,bad
0.664729,0.750651,0,0,0.666667,1,1,60.836912,0.315166,0.012198,3,bad
0.596253,0.930222,0,0,0.333333,1,0.546639,0,0,0,9,bad
1,1,0,0,1,1,1,0,1,1,12,bad
1,1,0,0,1,1,1,266.578792,1,1,11,bad
0.422999,0.306099,0,0.083333,1,0.916667,0.52181,87.534269,0.525837,0.614213,6,bad
0.305303,0.560259,0,0,0.5,1,0.185185,65.363639,0.187121,1,8,bad
1,1,0,0,1,1,1,127.339674,1,0.482564,6,bad
0.462166,0.637723,0,0,1,1,0.494891,160.058527,0.618876,0.510238,5,bad
0.427556,1,0,0.5,0.5,0.5,0.259339,185.637307,0.265935,1,4,bad
1,1,0,1,1,0,1,153.475158,1,1,11,bad
0.569305,0.588636,0,0.125,0.554217,0.875,0.321586,175.074312,1,0.026309,5.25,bad
0.595929,1,0,0.055556,0.769746,0.944444,0.392124,179.557885,0.522317,0.364826,6.888889,bad
1,0.254877,0,0,1,1,1,210.779769,1,1,0,bad
1,0.90586,0.0875,0.025,1,0.975,1,214.450091,0.752286,1,0,bad
1,1,0,0,0.5,1,1,653.482976,1,1,1,bad
1,1,0.148148,0.111111,1,0.888889,1,282.162505,1,1,3.888889,bad
0.093818,0.993724,0,0,0.333333,1,0.064844,21,0.000801,1,7,bad
0.500298,0.999845,0.333333,0,1,1,1,67.346229,0.090011,0.028549,8,bad
0.376365,0.037282,0,0,1,1,0.559387,88.700707,0.435524,0.086807,11,bad
0.066325,1,0,0,0.333333,1,0.04023,191.128229,0.082582,0.986452,12,bad
0.475187,0.193162,0,0.083333,0.646586,0.916667,0.273645,102.747609,0.261364,0.025768,6.333333,bad
0.124356,0.679369,0,0,1,1,0.133861,37.885165,0.094675,0.556508,7,bad
0.534653,0.240674,0,0,0.5,1,0.534653,53,0.57508,0.12817,3,bad
0.017198,1,0,0,0.666667,1,0.021105,20,0.002003,0.380952,11,bad
0.651232,1,0.104167,0.0625,1,0.9375,0.518323,168.238218,1,0.161409,5.375,bad
1,1,0,1,1,0,1,119.145648,1,1,7,bad
0.157518,1,0,0,0.333333,1,0.079137,54.424259,0.177419,1,6,bad
1,1,0,0,1,1,1,237.031844,1,1,3,bad
0.247734,0.611558,0.03629,0.064516,1,0.935484,0.341913,242.086648,1,0.079776,0.129032,bad
0.239454,1,0.021739,0,0.549114,1,0.298927,120.777934,0.724521,1,1.043478,bad
0.396068,0.443575,0.005848,0.01462,0.768125,0.98538,0.324223,167.849879,0.42323,0.240465,2,bad
1,0.081732,0,0,0.923077,1,1,265.866702,1,0.912106,9,bad
1,0.129705,0,0,1,1,1,195.309472,1,0.619321,5,bad
0.4015,0.083778,0,0,0.333333,1,0.243534,53.561684,0.265443,0.177592,7,bad
0.303198,0.270627,0,0,0.333333,1,0.183908,271.120992,0.218253,0.529469,0,bad
0.197789,0.403313,0,0,0.333333,1,0.119971,382.863373,0.225135,0.706124,3,bad
1,1,0,0,1,1,1,532.219616,1,1,0,bad
1,1,0.333333,0,1,1,1,187.456989,1,1,21,bad
0.901624,1,0.04386,0.052632,0.900585,0.947368,1,117.712573,1,0.288867,7.210526,bad
1,1,0.136364,0.166667,0.848115,0.833333,0.851926,245.764424,1,0.275089,5.636364,bad
0.05715,0.52822,0,0.142857,0.492063,0.857143,0.056536,105.469178,0.240638,0.020571,5.714286,bad
0.452004,0.096867,0,0.166667,0.588235,0.833333,0.528369,353.976505,1,0.286954,10,bad
1,0.803141,0,0,0.470588,1,1,151.625869,0.348206,1,7,bad
0.787525,0.015368,0.333333,0,0.75,1,0.569722,88.712592,1,0.634721,17,bad
1,1,0.25,0,1,1,1,103.95836,0.743802,1,20,bad
0.226373,0.087743,0,0.166667,0.554217,0.833333,0.127872,126.660585,0.621693,0.704758,7.166667,bad
0.595538,0.682015,0.008547,0.196581,0.838431,0.803419,0.61502,177.671037,0.332089,0.179273,4.333333,bad
0.697408,0.125386,0.115152,0.113636,0.856517,0.886364,0.777697,162.253166,0.608073,0.618255,6.681818,bad
0.370392,0.238758,0.104938,0.179012,0.821062,0.820988,0.286251,140.992601,0.466994,0.381368,7,bad
1,0.157091,0,0,0.333333,1,0.614224,65.510178,0.991971,0.026616,10,bad
0.438174,1,0,0,0.648649,1,0.412564,102.221205,0.42436,0.030067,2,bad
0.659882,0.66628,0,0,0.748337,1,0.503002,85.966694,1,0.203505,8.454545,bad
0.68132,0.607848,0.046296,0.060185,0.843496,0.939815,0.779129,125.935689,0.63752,0.411078,2,bad
1,1,0,0,1,1,1,145,1,1,3,bad
0.250847,0.770729,0,0,1,1,0.250847,0,0,0,6,bad
0.450636,0.385606,0,0,0.748193,1,0.306524,112.033342,0.54506,0.582972,6.65,bad
1,1,0,0,1,1,1,117,1,1,8,bad
0.48495,0.749105,0,0,1,1,0.82099,57,0.521619,0.151971,8,bad
0.226536,1,0,0,1,1,0.333618,464.99608,0.303776,1,1,bad
0.297228,0.064997,0,0,0.5,1,0.297228,33,0.319702,0.143551,1,bad
0.008546,1,0,0,0.333333,1,0.005907,391.114388,0.174679,0.085433,12,bad
0.004834,0.923063,0,0,1,1,0.007078,134.427496,0.066506,0.077124,10,bad
0.038567,0.336691,0,0,0.58457,1,0.0241,58.00862,0.11844,0.027422,11,bad
1,0.292383,0,0.5,1,0.5,1,231.069125,0.829069,0.044113,12,bad
0.099717,1,0,0,0.666667,1,0.059914,52.518866,0.11722,0.287054,11,bad
0.4872,0.803579,0,0,0.5,1,0.24743,139.250761,1,0.051288,8,bad
1,1,1,0,1,1,1,340.467231,1,1,9,bad
0.392832,1,0,0,0.9,1,0.201875,72.140279,0.670954,0.435611,7,bad
1,1,0,0,1,1,1,72.111026,1,1,1,bad
1,1,0,0,1,1,1,154.003247,0.011111,1,2,bad
1,1,0,0.5,1,0.5,1,190.939489,1,1,148,bad
1,0.165694,0,0,0.5,1,0.641618,102,0.004005,1,143,bad
1,1,0,0,1,1,1,130.178794,1,1,196,bad
0.299173,0.120743,0,0.190476,0.785714,0.809524,0.249671,122.246843,0.398291,0.938145,6,bad
0.324262,1,0,0,0.613301,1,0.247288,36.249579,0.210884,1,10.333333,bad
0.192694,0.034734,0,0,0.551971,1,0.125322,2,0.081746,0.001768,11,bad
0.25382,0.625579,0,0,0.552812,1,0.262659,125.207462,1,0.34131,3.222222,bad
0.493579,0.131062,0,0.041667,0.823529,0.958333,1,237.83837,0.259179,1,4,bad
0.153257,0.328366,0,0,0.470588,1,0.195101,99.340266,0.140856,1,3,bad
0.087814,0.777671,0,0,0.333333,1,0.087814,113,0.108168,0.932207,5,bad
1,1,0,0,0.333333,1,1,88.206512,1,0.07871,8,bad
0.481487,0.195419,0.166667,0,0.5,1,0.353645,228.354729,0.296671,1,18,bad
0.977675,1,0.5,0,0.5,1,0.449351,229.479897,1,0.298133,21,bad
0.385965,0.330113,0,0,0.333333,1,0.237069,41.773197,0.014747,1,1,bad
1,0.152733,0,0,0.626154,1,0.941834,142.157825,1,0.154968,4,bad
0.471338,1,0.071429,0.035714,0.894505,0.964286,0.715782,101.066236,0.221781,0.253963,6.714286,bad
0.174149,0.615472,0,0.0625,0.478395,0.9375,0.20191,117.781597,0.541924,0.236274,6.25,bad
0.517739,0.196876,0,0,0.666667,1,0.399904,100.007751,0.652794,0.054083,9,bad
1,0.931439,0.111111,0,0.54878,1,1,106.952059,1,0.158491,11.555556,bad
0.318671,0.677035,0.035714,0,0.666376,1,0.334837,73.345451,0.2543,0.256713,7.214286,bad
1,0.117453,1,0,1,1,1,437.688621,1,1,11,bad
0.178838,0.561506,0,0,0.666667,1,0.051098,18,0.230729,0.075912,5,bad
1,1,0,0,1,1,1,60.512175,0.061174,1,10,bad
0.19989,0.726721,0,0,0.333333,1,0.052683,16,0.257889,0.060371,7,bad
0.564694,0.456434,0.019359,0.079487,0.890345,0.920513,0.53019,219.99095,0.461807,0.240224,2,bad
0.691651,0.096656,0.076667,0.125,0.796923,0.875,0.908979,150.663192,0.80823,0.043091,3,bad
0.915416,0.068183,0,0,0.758974,1,1,147.104989,0.571724,1,2,bad
0.681154,0.570019,0,0.125,0.763393,0.875,0.593786,223.969755,0.622159,1,1,bad
0.504242,0.027154,0,0,0.5,1,0.256085,7,0.002075,0.270615,10,bad
0.047142,0.137928,0.125,0.5,0.625,0.5,0.036659,347.776398,1,0.020287,9,bad
0.551137,0.448594,0.058824,0.029412,0.681847,0.970588,0.421949,160.739914,0.839502,0.022242,7.117647,bad
0.157059,1,0.25,0,1,1,0.146254,145.969798,0.295586,0.641571,22,bad
0.953443,0.601143,0.833333,0.166667,0.5,0.833333,0.454322,274.96867,0.681862,0.492122,21.5,good
0,1,0,1,1,0,0,134.829182,1,0.172336,5,bad
0.295646,0.512052,0,0.02381,0.738095,0.97619,0.538917,176.368211,0.752215,0.049294,1.928571,bad
0.879209,0.144198,0.067797,0.114407,0.851346,0.885593,0.769282,155.319279,0.489144,0.127048,3,bad
0.79736,0.518744,0.008929,0.008929,0.90681,0.991071,1,114.051552,0.75732,0.663127,8.428571,bad
0.380291,0.95719,0.066667,0,0.878049,1,0.654972,124.783927,0.25394,0.087095,9.6,bad
0.373691,0.692445,0,0,0.804878,1,0.389659,104.533515,0.224318,1,4.166667,bad
0.436719,0.851668,0,0.333333,0.640244,0.666667,0.466051,248.083196,0.326679,0.063046,12,bad
0.112476,0.535346,0,0,0.833333,1,0.041005,114.498737,0.064472,1,11,bad
0.123152,1,0,0,0.5,1,0.034162,103.176427,0.158885,0.959026,4,bad
0.288206,1,0,0.25,0.5,0.75,0.103226,109.750558,0.347258,0.187793,12,bad
0.463346,0.118479,0,0,0.722222,1,0.266146,130.090773,0.431985,0.93878,4,bad
1,1,0,1,1,0,1,253.677871,1,1,3,good
1,0.840557,0.5,0,0.666667,1,1,476.235371,1,0.286259,7,bad
1,0.211531,0,0.5,1,0.5,1,150.136265,0.927778,0.005838,0,bad
0.450303,0.068266,0,0,0.662366,1,0.167984,117.063661,0.325931,0.024443,9.2,bad
