@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data

1,1,0.031145,0.012626,1,0.987374,1,201.84267,1,0.581505,0,bad
0.018791,0.174482,0,0,0.616541,1,0.014915,0,0,0,7,bad
1,1,0.03125,0.145833,1,0.854167,1,322.120503,1,0.916597,0,bad
0.323953,0.113235,0.02381,0.171429,0.939511,0.828571,0.245296,267.123182,0.131787,1,0,bad
1,1,0.115385,0.038462,1,0.961538,1,111.284315,1,1,5.192308,bad
1,1,0,0,1,1,1,102.276379,1,0.393962,3.9,bad
1,0.957226,0,0.064516,1,0.935484,1,99.591989,0.559177,1,3.612903,bad
1,1,0,0,1,1,1,131.487642,1,1,21,bad
0.666691,0.28699,0.011179,0.031504,1,0.968496,0.630851,173.845339,0.816373,0.790415,1,bad
1,1,0,0.052632,0.778789,0.947368,0.839634,124.333978,0.912005,0.106316,6.736842,bad
1,0.463027,0.043478,0.014493,1,0.985507,0.962977,102.082683,0.387142,1,4.26087,bad
1,1,0.05,0.125,1,0.875,1,180.436565,1,1,2.9,bad
0.962335,1,0,0,0.74537,1,1,45.485021,0.670655,0.688803,8.333333,bad
1,1,0.093168,0.043478,1,0.956522,1,136.842991,1,1,5,bad
1,1,0.036538,0.038462,1,0.961538,1,207.145078,1,1,1,bad
1,1,0.035185,0.148148,1,0.851852,1,214.535995,1,1,3,bad
1,1,0,0,1,1,1,32.567367,1,1,2,bad
0.767928,0.950632,0.065789,0.065789,0.778789,0.934211,1,125.51381,1,1,4.947368,bad
0.148653,0.173353,0.041667,0.041667,0.743243,0.958333,0.107673,109.685778,0.071071,0.821743,2.583333,bad
1,0.923696,0,0.066667,1,0.933333,1,150.250942,1,1,3.466667,bad
0.524154,0.357342,0.020833,0.104167,0.719298,0.895833,0.532472,125.5775,0.798588,0.263267,6.375,bad
0.05725,0.540142,0,0.5,0.638889,0.5,0.048559,357.312605,1,0.05652,7.5,bad
1,1,0,0,1,1,1,29.832868,1,1,56,bad
0.157823,0.783132,0,0,0.638889,1,0.133864,173,0.020513,0.722577,12,bad
0.2543,1,0,0,0.824468,1,0.115753,117.830147,1,1,7.6875,bad
0.207572,1,0,0,0.633803,1,0.128823,215.7579,0.498331,0.240356,12,bad
0.39114,0.860291,0.032313,0.044218,0.944237,0.955782,0.285695,166.667211,0.594106,1,2,bad
0.987095,0.645704,0.02924,0.020468,0.919103,0.979532,1,223.083542,0.448131,0.493161,2,bad
0.462371,0.684657,0.066667,0,0.71831,1,0.329434,83.326886,1,0.036766,9,bad
1,0.573687,0.0625,0.0625,0.705128,0.9375,1,255.335009,1,0.042982,5.0625,bad
0.28497,1,0.041667,0.03125,0.948138,0.96875,0.164978,125.684771,0.832619,1,2,bad
0.691156,0.351532,0,0,1,1,0.85821,125.417836,0.82793,1,2,bad
1,1,0.049819,0.13587,1,0.86413,1,135.830381,1,1,2,bad
1,1,0.040042,0.154842,1,0.845158,1,199.553996,1,1,0.702703,bad
0.321601,1,0,0.071429,0.724346,0.928571,0.250835,155.061015,0.610187,0.479688,11.714286,bad
0.502684,1,0.037037,0,0.689459,1,0.464497,64.511743,0.606326,0.004603,6,bad
0.371981,1,0,0,1,1,0.398551,0,0,0,20,bad
0.297179,1,0,0.033333,0.879433,0.966667,0.139919,110.873621,0.580314,1,9.066667,bad
1,0.481318,0,1,1,0,1,1252.279584,1,0.231129,57,bad
0.553147,0.828691,0.078947,0.052632,1,0.947368,0.412415,130.488824,0.830175,0.119571,7,bad
0.938609,0.41389,0.130952,0.095238,1,0.904762,0.765333,284.155363,0.984297,0.739482,4,bad
1,1,0.011364,0.045455,0.922033,0.954545,1,170.447059,0.336187,0.104473,1,bad
0.309732,0.922739,0.007576,0.015152,1,0.984848,0.189876,195.986996,0.96302,0.090865,0,bad
1,1,0,0,1,1,1,430.739409,1,1,44,bad
0.453307,1,0.022404,0.065574,0.777188,0.934426,0.290915,219.19025,0.94177,0.084534,1,bad
0.526337,1,0,0.333333,1,0.666667,0.784884,336.535883,1,0.671922,45,bad
0.585528,1,0.152646,0.185185,0.911099,0.814815,0.465451,177.293023,0.943373,0.350645,3,bad
0.974405,0.21384,0.043167,0.036667,1,0.963333,0.892561,212.013053,0.587608,0.2801,0,bad
1,1,0.022059,0.042647,1,0.957353,1,219.417865,1,1,0,bad
1,1,0.043011,0.087097,0.885116,0.912903,1,221.636834,1,1,1,bad
0.869354,0.806103,0.027778,0,0.799145,1,0.857734,120.483362,1,0.053947,8,bad
1,1,0,0.5,1,0.5,1,160.778985,1,1,29,bad
0.490102,0.47451,0.074074,0,0.713514,1,0.409458,111.4977,0.410639,0.161199,6.555556,bad
0.11898,0.385757,0,0,0.535135,1,0.0885,37.578325,0.15088,0.143134,9.6,bad
0.665583,0.334905,0.014368,0.16092,0.858062,0.83908,0.669381,189.068908,0.863563,1,3.206897,bad
1,1,0.25,0,1,1,1,608.315506,1,1,3,bad
