@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data

1,1,0.046042,0.04875,0.937855,0.95125,1,192.368841,1,1,1,bad
1,1,0.029545,0.004545,1,0.995455,1,179.150906,1,1,1,bad
0.456738,0.849329,0.055614,0.06817,1,0.93183,0.355049,182.382989,0.965252,0.863972,0,bad
1,1,0.029167,0.013158,1,0.986842,1,193.127262,1,1,0,bad
0.762449,0.826359,0.00742,0.012557,1,0.987443,0.84966,213.909775,1,0.480493,0,bad
0.637245,0.925833,0.057333,0.061167,0.842097,0.938833,0.616426,195.268797,0.75984,0.739963,2,bad
1,1,0.063285,0.059179,1,0.940821,1,195.458849,1,1,0,bad
1,1,0.03037,0.047654,1,0.952346,1,179.382765,1,1,2,bad
0.875884,0.530514,0.04246,0.030159,1,0.969841,1,211.457939,0.864634,0.552718,0,bad
1,1,0.010101,0.015152,1,0.984848,1,183.604115,1,1,1,bad
1,0.924505,0.057619,0.072114,0.893723,0.927886,1,242.346405,1,0.417732,1,bad
1,1,0.060284,0.024232,1,0.975768,1,234.500862,1,1,0,bad
1,1,0,0.0625,1,0.9375,1,257.247812,1,1,0,bad
1,1,0.035256,0.028846,0.77909,0.971154,1,239.452023,0.827328,0.983266,1,bad
1,0.425819,0.111111,0.055556,1,0.944444,1,147.293311,0.741458,1,8.222222,bad
0.132951,1,0,0,0.692308,1,0.082886,258.94067,1,0.759599,7,bad
1,0.572435,0.092857,0.041176,1,0.958824,1,239.670025,1,0.399367,0,bad
0.696913,1,0,0,0.678814,1,0.401583,82.869318,1,0.62039,6.722222,bad
0.06214,0.247406,0,0,0.488746,1,0.030488,50,0.194077,0.280223,9,bad
0.365816,0.097956,0,0,0.977492,1,0.300491,190.944252,0.527731,0.393552,5,bad
0.128031,0.524823,0.071429,0.071429,1,0.928571,0.088612,123.213505,0.805973,0.425977,10.142857,bad
0.222234,0.858517,0.047619,0,0.952381,1,0.320965,51.259337,0.170417,1,11,bad
1,1,0.038462,0,1,1,1,167.798669,1,1,0,bad
0.805528,0.289724,0.002252,0.018018,0.726514,0.981982,0.490497,190.642942,0.917864,1,1,bad
1,1,0.044921,0.09775,1,0.90225,1,168.443672,1,1,2,bad
1,1,0.05117,0.103801,1,0.896199,1,278.059605,1,1,3.184211,bad
0.989774,0.806535,0.073899,0.262579,0.743461,0.737421,0.530398,230.531378,1,0.550336,3,bad
0.434127,0.260885,0,0,0.488746,1,0.212996,75,1,0.043201,10,bad
1,1,0.133333,0.1,1,0.9,1,326.962592,1,1,3,bad
0.958351,1,0.15625,0,0.767045,1,0.974827,122.019544,0.84786,0.388303,4.6875,bad
1,1,0,0,1,1,1,428.654934,1,1,1,bad
0.357271,1,0,0.166667,0.795455,0.833333,0.331225,140.635818,0.699441,0.091469,9,bad
0.763948,1,0,0.033333,1,0.966667,0.864133,190.157056,1,0.671991,1,bad
1,1,0,0,1,1,1,6,1,1,2,bad
0.918938,1,0.023504,0.03953,0.687432,0.96047,0.959364,195.416939,0.911948,0.861179,2,bad
1,1,0,1,1,0,1,225.084085,1,0.24789,0,good
0.299473,1,0.038462,0,0.648649,1,0.27932,56.082358,0.252151,0.025639,6.615385,bad
0.850123,0.075486,0.033333,0.033333,0.931081,0.966667,0.959849,184.813128,0.57899,0.090643,2,bad
1,0.099446,0.009804,0.058824,0.806041,0.941176,1,157.128208,1,0.043482,3.882353,bad
0.422849,0.0997,0,0,0.488746,1,0.207462,237.196351,0.72451,0.09429,4,bad
1,0.341863,0.049524,0.103333,0.811318,0.896667,0.953988,176.495746,0.869708,0.309437,3,bad
1,1,0,0.178571,1,0.821429,1,301.35028,1,1,1,bad
0.381306,1,0,0,0.714321,1,0.251676,64.983932,0.589392,1,8,bad
1,1,0.117647,0.137255,1,0.862745,1,151.540945,1,1,4.176471,bad
0.524545,0.587322,0,0,0.909091,1,0.520081,102.509902,1,1,2,bad
0.213039,1,0.087302,0.111111,1,0.888889,0.313861,125.242901,0.370019,0.04204,9.222222,bad
1,1,0,0,1,1,1,171.83786,1,1,1,bad
1,1,0.054,0.014,0.750375,0.986,1,194.685619,1,1,1,bad
1,0.408076,0.039394,0.066667,1,0.933333,1,144.032679,1,0.08858,4.121212,bad
0.077353,0.54187,0.2,0,0.844444,1,0.05746,111.353914,0.589694,0.118068,7.266667,bad
0.137417,0.232483,0.078947,0,1,1,0.125062,197.011435,1,0.451399,4.684211,bad
1,1,0,0,1,1,1,0,1,1,12,bad
1,0.85037,0.055189,0.103774,0.944079,0.896226,1,175.871889,1,1,3.377358,bad
1,1,0.25,0,0.772727,1,1,32.083983,1,0.00757,7.75,bad
0.253472,1,0,0,0.772727,1,0.253472,113.813278,0.120921,0.402873,11,bad
0.353156,0.9628,0,0,0.772727,1,0.353156,44.594403,0.403653,0.351777,5.833333,bad
0.47366,0.773481,0.020869,0.032178,1,0.967822,0.353693,213.530955,0.883374,1,0,bad
0.847486,1,0.044872,0.009615,0.867014,0.990385,0.793748,169.517971,0.537524,1,2,bad
0.350826,0.327502,0.066667,0.033333,0.6,0.966667,0.362496,149.334229,0.510039,0.838705,4.266667,bad
1,0.364655,0,0,1,1,1,109,1,1,1,bad
1,1,0,0,1,1,1,496.523772,1,0.336206,7,bad
0.332668,0.349221,0,0,1,1,0.332668,0,0,0,3,bad
1,1,0.158706,0.311443,0.75115,0.688557,0.838193,211.03838,0.935915,0.135533,9.462687,bad
0.680546,0.581207,0.050791,0.062609,0.861718,0.937391,0.553221,168.351916,1,0.438151,4,bad
0.496145,1,0.041667,0.128788,0.63036,0.871212,0.333,208.425337,0.815313,1,3.712121,bad
0.4044,0.801902,0,0.026316,0.596591,0.973684,0.198495,120.196181,0.576922,0.375981,6.263158,bad
0.229379,1,0,0,0.883117,1,0.241619,95.09207,0.140963,1,6.285714,bad
1,1,0,0,0.496479,1,0.939346,127.475754,1,0.186709,11.166667,bad
0.517931,0.798043,0.040476,0.082143,0.667074,0.917857,0.563198,155.147,0.492695,0.766758,6.414286,bad
0.574381,0.445055,0.016667,0.05,0.674486,0.95,0.590433,111.743735,0.658636,0.138266,5.7,bad
0.798482,0.342639,0,0,0.762802,1,1,150.522345,0.210119,0.159233,1,bad
0.395135,1,0,0.5,0.790541,0.5,0.368989,159.74652,0.39122,0.021152,7,bad
1,0.784959,0.066667,0.108772,1,0.891228,1,222.800841,0.796911,0.38447,0,bad
1,1,0,1,1,0,1,44.126335,1,1,8,bad
0.291219,0.324997,0.033333,0,0.675,1,0.294213,122.385729,0.39579,0.038413,1,bad
0.642335,0.519765,0.1,0,0.815857,1,0.444467,116.641483,0.348936,0.148113,5.882353,bad
1,0.042259,1,0.25,1,0.75,1,83.168769,1,0.019496,0,good
0.147149,1,0,0,1,1,0.147149,177.765304,0.321839,1,0,bad
0.326686,1,0,0,0.772727,1,0.326686,15.5,0.596406,0.000284,12,bad
0.329948,0.401566,0.017544,0.052632,0.783914,0.947368,0.574137,147.055724,0.354088,0.25293,10.526316,bad
1,1,0,0.333333,1,0.666667,1,293.034413,1,1,12,bad
0.212331,1,0,0.083333,1,0.916667,0.401636,71.866187,0.130942,1,11,bad
0.316867,1,0.02381,0.017857,0.704134,0.982143,0.227069,126.183131,0.715831,1,8.160714,bad
0.242222,0.327979,0,0,0.622603,1,0.151601,97.841421,1,0.143521,6,bad
0.900081,0.015311,0.011905,0.095238,0.727799,0.904762,0.643419,181.952266,0.35453,0.35466,3.714286,bad
0.169326,0.665211,0,0,1,1,0.169326,9,0.001447,1,4,bad
0.252766,0.795161,0,0,0.705616,1,0.232087,137.418955,0.640343,0.135065,10.68,bad
0.644039,0.204706,0.008081,0.030303,0.644928,0.969697,0.680062,193.134217,0.4774,0.594201,2,bad
0.061287,0.802761,0.076007,0.038462,0.796154,0.961538,0.071228,160.148095,1,0.134688,2,bad
0.106544,0.677043,0.083333,0,0.646875,1,0.193521,173.77174,0.937414,1,5,bad
0.024079,0.319706,0,0,0.503125,1,0.025051,71.410295,0.195197,0.029007,10,bad
0.06081,0.24972,0.038462,0,0.530769,1,0.093938,114.333696,0.762228,0.05809,6,bad
0.037457,1,0,0,0.616071,1,0.047439,59.299688,0.151693,1,11,bad
1,1,0,1,1,0,1,127.887557,1,1,11,bad
1,1,0,0,1,1,1,309.260408,1,1,25,bad
1,1,0,1,1,0,1,608.100751,1,1,12,bad
1,1,0,1,1,0,1,0,1,1,0,bad
0.39471,0.834973,0,0,0.714286,1,0.497676,80.851552,0.139105,1,6,bad
1,1,0,1,1,0,1,64.920119,1,1,9,bad
0.446081,0.520193,0.014343,0.019091,0.769763,0.980909,0.350843,176.388425,0.672016,0.569624,1,bad
0.723767,0.35048,0.015152,0,0.707106,1,0.84619,141.277263,0.950687,0.40748,4.30303,bad
0.543801,0.265036,0,0.125,0.714286,0.875,0.584279,130.056215,0.68986,0.047006,4,bad
0.173316,0.820262,0,0,1,1,0.173316,0,0,0,5,bad
0.165337,1,1,0,1,1,0.165337,25.345235,0.185239,0.022001,8,bad
1,1,0,1,1,0,1,86.204592,1,1,4,bad
0.073282,0.429106,0.142857,0,0.43125,1,0.071478,147.100216,1,0.403902,9,bad
0.571625,0.17798,0,0,0.571429,1,0.571625,114.42162,0.546157,0.274046,3,bad
0.264504,0.042866,0,0,0.571429,1,0.264504,87,0.001999,1,0,bad
