@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data
1,1,0,0,1,1,1,420.264586,1,1,9,bad
0,0.81086,0,1,1,0,0,73.733926,1,0.32457,4,bad
0.693483,0.012361,0.333333,0,1,1,1,578.219288,0.889459,0.435971,53,bad
1,1,0,0,1,1,1,142.863571,1,0.933749,3,bad
0.212473,0.802645,0,0.04,1,0.96,0.194677,201.672709,0.537485,0.42035,0,bad
0.841894,0.376535,0,0,1,1,0.841894,199.347608,0.301838,0.588048,4,bad
0.41541,0.556222,0,0,1,1,0.41541,100,0.41541,0.214338,5,bad
1,0.622296,0.0625,0.020833,0.55814,0.979167,0.698409,165.069569,0.446695,1,1.958333,bad
0.716018,0.221067,0,0,0.578947,1,0.687711,158.747654,1,0.064894,4,bad
1,1,0,1,1,0,1,187.473768,1,1,15,bad
0.468226,0.760939,0,0,0.8,1,0.468226,70,0.468226,0.092747,7,bad
0.833723,0.468584,0,0.125,1,0.875,0.87271,202.444814,0.760526,1,1,bad
1,0.799475,0,0,0.8,1,1,128,1,0.079409,8,good
0.534893,1,0,0,0.8,1,0.534893,89.51663,0.404094,0.140683,9.5,bad
1,1,0,0,1,1,1,124.370622,1,1,0,bad
0.468254,1,0,0,1,1,0.415441,69.364483,0.345334,0.319539,31,bad
0,1,0,1,1,0,0,321.284706,1,0.772107,3,bad
1,0.498031,0,0,1,1,1,168.552603,0.405063,1,4,bad
1,1,0.75,0.25,1,0.75,1,248.943609,1,0.846794,10.5,bad
1,0.484586,0,0,1,1,1,88.764083,1,0.003809,9,bad
1,0.377979,0,0,1,1,1,46.486178,0.795052,0.004377,2,bad
0.491901,0.359862,0.5,0,0.75,1,0.293109,279.260563,0.391434,0.080349,4,bad
0.114418,0.348819,0,0,0.75,1,0.079581,83.326141,0.138,0.493123,3,bad
0.946002,0.555429,1,0,0.666667,1,0.710087,107.707695,0.877375,0.446121,9,bad
1,0.48203,0,0,0.8,1,1,189.441461,0.937752,1,4,bad
0.748451,0.28428,0,0,1,1,0.82768,170.558354,0.144033,0.734632,0,bad
1,0.988448,0,0,1,1,1,234.34985,0.503478,0.740475,30,bad
0.981538,1,0.25,0.5,0.6,0.5,1,387.972008,1,0.68975,3,bad
1,1,0,0.125,1,0.875,1,149.098321,1,1,0,bad
1,1,0.166667,0,1,1,1,235.554664,1,1,3,bad
0.234862,1,0,0,0.789444,1,0.176208,191.573107,0.819033,1,1,bad
0.306719,0.222663,0,0.2,0.64,0.8,0.422675,136.471183,0.172331,1,1,bad
1,0.023038,0,0,0.5,1,1,314.230807,1,0.922419,13,bad
0.141791,1,0,0,1,1,0.253082,13.5,0.039629,1,16,bad
1,1,0,0.75,1,0.25,1,81.539309,1,1,11,bad
0.842273,0.940899,0,0,0.6,1,0.842273,145,1,0.054368,12,bad
0.39317,0.696745,0,0,0.6,1,0.39317,106.084953,0.347834,0.10659,5,bad
0.607563,1,0.25,0,1,1,0.629293,327.896825,1,1,1,bad
1,1,0.5,0,0.222222,1,1,191.598297,0.385014,1,11,bad
0.131389,0.049977,0.111111,0,1,1,0.26181,156.284871,0.40218,0.780874,7,bad
0.59576,0.014967,0.1,0,1,1,1,205.2549,0.475913,0.866664,5,bad
0.031066,0.081449,0,0,0.8,1,0.017297,135.613599,0.360899,0.755095,10,bad
0.531703,0.009329,0.1,0,1,1,0.49748,295.295833,0.835913,0.709873,4,bad
0.012667,1,0,0,0.1,1,0.002263,139.778675,0.33842,0.829984,12,bad
0.006334,1,0,0,0.1,1,0.001131,0,0,0,2,bad
1,1,0,0,1,1,1,82.758685,1,1,10,bad
0.530419,1,0,0,0.5,1,0.343162,86.764112,0.433692,1,8,bad
1,0.400828,0,0,1,1,1,149.583231,1,0.536141,5,bad
1,1,0,0,0.5,1,1,140.348062,0.957841,0.430123,21,bad
1,1,0,0,0.5,1,1,157.307699,0.701518,0.65825,18,bad
0.209012,0.340644,0,0,1,1,0.181054,0.5,0.001792,1,4,bad
1,1,0.05,0.05,1,0.95,1,165.054725,1,1,0,bad
0.055913,0.744957,0,0,0.595238,1,0.032167,128.192492,0.142034,1,12,bad
1,0.709078,0,0,1,1,1,27,1,0.171002,8,bad
0.451335,0.124806,0,0,1,1,0.799589,100.811301,0.567454,0.521505,24,bad
0.317454,1,0,0,0.5,1,0.317454,0,0,0,19,bad
0.194088,0.583271,0.166667,0,0.55814,1,0.205375,48.190325,0.508513,0.002725,8.333333,bad
1,1,0,0,1,1,1,2.236068,1,1,6,bad
0.457377,0.07426,0.333333,0,0.6,1,0.310965,202.329199,0.861035,0.472196,9,bad
0.180203,0.049478,0.133333,0.066667,1,0.933333,0.31148,235.733011,0.88,0.538297,8,bad
0.064338,0.024235,0.2,0,0.333333,1,0.046422,179.501694,0.356076,1,6,bad
1,1,0,1,1,0,1,76.502845,1,1,0,bad
1,1,0,0,1,1,1,45.5,1,1,3,bad
1,1,0,0,1,1,1,164.003049,1,1,0,bad
1,1,0.333333,0,1,1,1,94.285498,1,1,23,bad
0.946293,1,0.088235,0.117647,0.492476,0.882353,0.759105,164.655083,1,0.02602,3.117647,good
1,1,0.166667,0,1,1,1,190.140578,1,0.460761,3,bad
0.881323,1,0.5,0.5,1,0.5,1,118.476819,1,0.308163,6,bad
1,1,0,0.5,1,0.5,1,73.781922,1,0.191891,0,bad
0.386465,0.21219,0,0,1,1,0.517227,33.555558,0.146033,0.650116,2,bad
1,1,0.166667,0.166667,1,0.833333,1,195.032274,1,0.334436,0,bad
1,1,0,0,1,1,1,750.401222,1,1,3,bad
1,1,0,0,1,1,1,81.6952,1,0.453862,1,bad
0.04823,1,0,0,0.5,1,0.035534,0,0,0,23,bad
1,0.172056,0,0,1,1,1,182.78658,1,0.420045,15,bad
1,0.620509,0,0,1,1,1,21.170027,0.387987,0.345574,9,bad
1,1,0,0,0.25,1,0.671018,5,1,0.00714,10,bad
0.124252,0.935799,0,0,1,1,0.120614,50,0.006272,1,7,bad
0.196742,0.854051,0,0,0.5,1,0.127285,100,0.012545,1,6,bad
1,1,0,0,1,1,1,283.091858,1,1,2,bad
1,1,0,0,1,1,1,0,1,1,125,bad
0.964286,0.818394,0,0,1,1,0.964286,0,1,1,123,bad
0.771429,0.907413,0,0,1,1,0.771429,0,1,1,124,bad
1,1,0,0,1,1,1,78.644771,1,1,37,bad
1,0.988578,0,0,0.5,1,1,224.21732,1,0.454881,1,bad
0.492495,1,0,0,1,1,0.84803,125.381076,0.22315,1,2,bad
1,1,0,0,1,1,1,0,1,1,68,bad
1,0.216706,0,0,1,1,1,49,0.181818,1,66,bad
0.941046,0.620244,0,0,1,1,0.941046,40,1,0.148423,67,bad
1,1,0,0,1,1,1,226.755878,1,1,6,bad
1,1,0,0.25,1,0.75,1,389.528793,1,1,49,bad
1,1,0,0,1,1,1,28,1,1,45,bad
0.558659,1,0,0,1,1,0.558659,0,0,0,47,bad
1,1,0,0,1,1,1,0,1,1,92,bad
1,1,0,0,1,1,1,165.513633,1,1,3,bad
1,0.523754,0,0,1,1,1,325.076637,1,0.407454,4,bad
1,1,0,0,1,1,1,222.114343,1,1,13,bad
1,1,0,0,1,1,1,40,1,1,80,bad
1,1,0,0,1,1,1,0,0,0,81,bad
1,1,0,0,1,1,1,139.752135,1,1,4,bad
0.100654,1,0,0,1,1,0.100654,300.467635,1,1,12,bad
1,1,0,0,1,1,1,901.488061,1,1,1,bad
0.00794,0.127662,0,0,0.25,1,0.003107,119.079805,0.026024,1,50,bad
1,1,0,0,1,1,1,121.264174,1,1,2,bad
1,1,0,0,0.5,1,1,2,1,0.021978,4,bad
1,0.069433,0,0.25,1,0.75,1,574.430757,1,0.006839,1,bad
1,0.25325,0,0,1,1,1,1076.181193,0.467662,1,5,bad
1,1,0,0,1,1,1,7.071068,1,1,30,bad
0.812102,0.314609,0,0,1,1,1,67.764338,1,1,28,bad
0.345769,1,0,0,0.5,1,0.29595,18.973666,0.094303,1,37,bad
1,1,0,0,1,1,1,0,1,1,15,bad
1,0.514824,0,0,1,1,1,5,1,1,14,bad
0.297379,1,0,0,1,1,0.297379,1.414214,0.297379,0.951118,24,bad
0.357793,0.837087,0,0,1,1,0.357793,47,0.357793,1,21,bad
1,1,0,0,1,1,1,84,1,1,9,bad
0.421854,0.49969,0,0.076923,0.676208,0.923077,0.275578,167.458185,0.737374,0.158866,4.538462,bad
0.60073,0.875539,0.166667,0,1,1,0.813194,107.497006,0.590473,0.009823,12,bad
0.139512,1,0,0,0.166667,1,0.05636,680.177183,0.33282,1,2,bad
1,0.023574,0.166667,0,1,1,1,264.801955,1,0.129571,8,bad
1,1,0,0,1,1,1,175.855054,1,1,3,bad
0.436523,0.98027,0,0,0.5,1,0.436523,103,0.136038,1,6,bad
0.631645,1,0,0,0.5,1,0.631645,0,0,0,9,bad
0.070256,1,0,0,1,1,0.065663,0,0,0,2,bad
1,0.4954,0.6,0.1,1,0.9,1,291.573246,1,0.879466,24,good
0.195209,1,0.5,0,0.4,1,0.04512,292.293252,0.881638,1,20,bad
0.410334,0.963384,0.333333,0.166667,0.666667,0.833333,0.328402,138.5151,1,0.124384,3,bad
1,1,0,0,1,1,1,134,1,1,31,bad
1,0.783731,0,0,1,1,1,112.540832,1,0.09946,1,bad
1,1,0,0,1,1,1,55,1,1,15,bad
0.011868,1,0,0,1,1,0.011868,144.844744,0.076181,1,0,bad
0.042836,0.152613,0,1,0.5625,0,0.042836,82.873397,0.020342,0.023913,3,bad
0.525479,1,0,0,1,1,0.525479,103.812331,1,0.043391,17,bad
0.848414,0.474651,0,0,0.5,1,0.635563,0,0,0,7,bad
0.105589,0.174729,0,0,0.5,1,0.068312,0,0,0,11,bad
0,1,0,1,0.5,0,0,700.592075,1,0.026682,10,bad
1,0.998575,0,0,1,1,1,238.649781,1,0.481721,5,bad
0.878571,0.467028,0,0,1,1,0.878571,0,1,1,121,bad
1,0.36464,0,0,1,1,1,0,1,1,120,bad
0.507042,1,0,0,1,1,0.507042,280.70269,0.507042,1,38,bad
0.620388,0.154421,0,0,0.5,1,0.620388,263.946286,0.75895,0.459331,0,bad
0.046794,1,0,0,1,1,0.046794,0,0,0,74,bad
0.257075,0.174211,0,0,1,1,0.499823,202.580554,1,0.754071,4,bad
0.645173,0.932036,0,0,1,1,0.645173,40,1,0.083333,73,bad
0.565217,0.868453,0,0,1,1,0.565217,40,0.083333,1,72,bad
0.236116,1,0,0,1,1,0.451716,219.614166,1,0.612728,10,bad
0.207641,0.243425,0,0,1,1,0.360276,665.828308,0.908472,1,3,bad
0.555307,0.723394,0,0,1,1,0.555307,0,0,0,42,bad
1,1,0,0,1,1,1,0,0,0,49,bad
0.678033,0.703746,0,0,1,1,0.678033,0,0,0,43,bad
1,1,0,0,1,1,1,6,1,0.214286,50,bad
1,0.41725,0,0,1,1,1,61,1,1,91,bad
1,0.425664,0,0,1,1,1,167.72717,1,0.423649,1,bad
0.850325,0.270703,0,1,1,0,0.850325,144.732969,1,1,20,bad
1,1,0.333333,0.333333,1,0.666667,1,146.091918,1,0.117892,98,bad
0.018811,1,0,0,1,1,0.018811,27,1,0.318689,97,bad
0.197662,0.151819,0,0,1,1,0.390059,62.433981,0.020445,1,1,bad
0,1,0,1,1,0,0,604.938905,1,0.295958,3,bad
1,1,0,0,1,1,1,0,0,0,17,bad
0.076308,1,0,0,1,1,0.076308,0,0,0,18,bad
1,1,0.333333,0,1,1,1,267.707624,1,1,5,bad
0,1,0,1,0.5,0,0,405.097302,0.637402,0.208119,0,good
1,1,0,0,1,1,1,94.921973,1,1,3,bad
1,0.495805,0,0,1,1,1,183.790443,1,0.430279,16,bad
0.291645,1,0,0,1,1,0.291645,224.116041,0.179048,1,25,bad
1,0.429127,1,0,0.666667,1,0.775326,109.691428,0.759931,0.524553,2,bad
0.049193,1,0,0,1,1,0.049193,0,0,0,87,bad
0.395043,0.901595,0,0,1,1,0.395043,17,0.083333,1,86,bad
1,0.149966,0,0,1,1,1,260.917903,1,0.054403,4,bad
1,1,0,1,1,0,1,341.898559,1,1,7,bad
0.78071,0.774163,0,0,0.5,1,0.668224,0,0,0,32,bad
0.689655,0.432583,0,0,1,1,0.689655,373.162163,0.174345,1,13,bad
0.023724,1,0,0,1,1,0.047448,112.541502,0.035448,1,25,bad
1,0.621836,0,0,1,1,1,74,1,0.058009,11,bad
0.236951,0.739056,0,0,1,1,0.236951,160,0.083333,1,83,bad
0.340218,0.843331,0,0,1,1,0.340218,0,0,0,85,bad
0,1,0,1,1,0,0,266.520652,1,0.149228,0,bad
1,1,0,0,1,1,1,540.033364,1,1,1,bad
1,1,0,0,1,1,1,250.576708,1,1,2,bad
1,1,0,0,1,1,1,174.195293,1,1,3,good
1,1,0,0,1,1,1,0,1,1,7,bad
1,0.46411,0,0,1,1,1,0,1,1,4,bad
0.354335,1,0,0,1,1,0.354335,29,1,1,10,bad
1,1,0,0,1,1,1,149.288334,1,1,25,bad
0.230696,0.219789,0.1,0.08,0.7252,0.92,0.171646,161.049324,0.403592,0.169205,4.72,bad
1,1,0,0,1,1,1,0,1,1,24,bad
1,1,0,0,1,1,1,0,1,1,34,bad
0.454697,0.815299,0,0,1,1,0.454697,0,1,1,29,bad
0.435464,0.859458,0,0,0.25,1,0.18083,68,0.004334,0.186813,2,bad
1,0.015097,0,0,0.333333,1,0.732394,212.522427,0.66129,0.398509,2,bad
1,0.041049,0,0,1,1,1,163.551113,1,0.202805,4,bad
1,0.012096,0.4,0,1,1,1,448.515385,1,0.48879,10,bad
0.127156,0.480336,0.5,0,0.2,1,0.032535,200.428068,0.829067,0.226224,3,bad
0.346731,0.814462,0,0,0.4,1,0.167949,42.131201,0.050217,0.914326,5,bad
1,0.156519,1,0,0.25,1,1,317.016229,0.976744,0.038903,3,bad
0.074832,1,0,0,0.25,1,0.074832,184.173831,1,0.022075,6,bad
1,1,0,0,1,1,1,156.01282,1,1,1,bad
0.515312,1,0,0,1,1,0.969376,7.171309,0.526897,0.087239,12,bad
0.49818,0.954139,0,0.5,1,0.5,0.852804,475.45726,1,0.029404,36,good
0.533333,0.719447,0,0,0.5,1,0.533333,35,0.002165,0.273438,31,bad
1,0.809999,0,0,0.5,1,1,128,0.002165,1,33,bad
0.034483,0.799397,0,0,0.5,1,0.034483,0,0,0,20,bad
1,1,0,1,1,0,1,554.977687,1,1,3,bad
1,1,0,0,1,1,1,0,1,1,20,bad
0.327563,0.734854,0.041667,0,0.6,1,0.286676,188.199205,0.367876,0.078598,9.833333,bad
0.092709,1,0,0,1,1,0.092709,44.14748,1,1,21,bad
0.288843,0.831159,0,0,0.5,1,0.180218,132.416524,0.38778,0.0067,6.75,bad
1,0.029151,0,0,1,1,1,13,1,1,2,bad
1,0.424326,0,0,1,1,1,97,0.002571,1,2,bad
0.026731,1,0,0,0.333333,1,0.014283,52,0.039853,1,4,bad
1,1,0,0,1,1,1,148,0.007752,1,32,bad
0.090547,0.967079,0,0,0.2,1,0.023168,233.226773,0.461935,0.240349,7,bad
0.136111,0.922451,0,0,0.4,1,0.061355,277.873891,1,0.132279,4,bad
1,0.045676,0,0.25,0.666667,0.75,1,261.725165,0.773936,1,3,bad
0,1,0,1,1,0,0,649.953213,1,0.456428,27,bad
0.765556,0.843022,0.066667,0.4,0.933333,0.6,1,192.367492,0.616744,0.589336,3,bad
1,1,0.333333,0,1,1,1,255.597735,1,1,11,bad
1,1,0,0,1,1,1,40,1,1,126,bad
0.525317,0.974869,0,0,0.666667,1,0.50538,313.074973,1,0.512234,10,bad
0.032328,0.251381,0,0,1,1,0.032328,40,1,0.35,119,bad
0.44563,0.062029,0.333333,0,1,1,0.348059,81.811737,0.860305,0.155591,6,bad
0.372313,0.722173,0,0,1,1,0.372313,39,0.153846,0.4875,71,bad
1,0.300004,0,0,1,1,1,80,1,0.153846,69,bad
0.048166,0.411937,0,0,0.75,1,0.104174,94.069157,0.149041,0.861172,5,bad
1,0.868227,0.25,0,1,1,1,218.282936,0.69964,1,8,bad
0.941811,0.723579,0,0,0.25,1,0.941811,103.236068,0.038961,1,9,bad
0.152827,1,0,0,0.25,1,0.042603,263.026561,1,0.388531,10,bad
1,0.011569,0.5,0,1,1,1,418.849276,0.618705,1,3,bad
0.088149,1,0,0,0.5,1,0.040962,304.799589,0.705635,0.638058,12,bad
0.834416,0.702414,0,0,1,1,0.834416,80,1,0.069686,44,bad
0.059369,1,0,0,1,1,0.059369,0,0,0,51,bad
0.054267,0.761635,0,0,1,1,0.054267,0,0,0,46,bad
1,1,0,0,1,1,1,128.950486,1,1,5,bad
0.118513,0.941474,0,0,0.666667,1,0.044035,251.102242,1,1,4,bad
1,0.175133,1,0,0.333333,1,1,912.31291,1,0.279902,7,bad
0.165939,0.280861,0,0,1,1,0.282687,2.618034,0.009321,0.091982,2,bad
0.336172,0.456656,0.266667,0.066667,0.49,0.933333,0.180058,250.361939,0.70883,0.154835,6.533333,bad
0.668839,0.060256,0,0,0.975,1,0.32633,100.317154,1,0.268315,10.125,bad
0.218433,0.380612,0,0.333333,0.533333,0.666667,0.167571,189.296139,0.366764,0.44862,5,bad
1,1,0.333333,0.333333,1,0.666667,1,471.202455,1,0.983037,7,bad
0,1,0,0,1,1,0,66.483081,0.515625,0.238757,2,bad
0,1,0,0,1,1,0,0,0,0,4,bad
1,1,1,0,0.333333,1,1,758.732506,1,1,5,bad
1,0.082451,0,0,1,1,1,157,1,0.01258,79,bad
0.328453,0.006146,0,0,1,1,0.328453,0,1,1,15,bad
0.040916,0.713463,0,0,1,1,0.040916,0,1,1,22,bad
0.039805,0.577983,0,0,1,1,0.039805,0,0,0,82,bad
0.13795,0.178341,0,0,1,1,0.13795,3.162278,1,1,16,bad
0.135276,0.391299,0.125,0,0.55125,1,0.084142,91.868301,0.4328,0.344012,8.375,bad
0.20712,0.166958,0,0.157895,0.567368,0.842105,0.117921,170.781185,0.635041,0.719705,4.315789,bad
1,0.720608,0,0,1,1,1,344.806624,1,0.965573,3,bad
1,0.49544,0.115385,0.346154,0.859729,0.653846,1,184.184759,1,0.212168,3,bad
0.318482,0.412375,0,0,1,1,0.320132,0,0,0,2,bad
0.090841,0.370439,0,0,1,1,0.090841,0,1,1,19,bad
0.011824,1,0,0,1,1,0.011824,16.124515,1,1,25,bad
0.024962,0.929854,0,0,1,1,0.029467,136.331398,1,1,23,bad
0.275991,0.036404,0,0,0.333333,1,0.162412,29,0.330645,0.108758,3,bad
1,1,0,1,1,0,1,212.383672,0.47785,0.800855,6,bad
1,1,0,0,1,1,1,101.079177,1,1,1,bad
1,1,0,0,1,1,1,68.242216,1,1,3,bad
0.048061,0.750411,0,0,0.5,1,0.062934,187.104518,0.458818,0.048879,5,bad
0.159403,0.535396,0,0,0.5,1,0.159403,0,0,0,4,bad
0.061249,0.821962,0,0,0.5,1,0.061249,18,0.062625,1,8,bad
0.177856,0.650943,0,0,0.5,1,0.177856,0,0,0,5,bad
1,1,0,0,1,1,1,192.499809,1,1,25,bad
1,1,0.333333,0.166667,1,0.833333,1,246.017732,1,0.252262,18.333333,bad
1,1,0,0.5,1,0.5,1,94.930023,1,0.261021,1,bad
0.363194,0.429371,0,0,0.5,1,0.363194,58,0.002165,0.453125,29,bad
1,0.10822,0,0,1,1,1,195.18734,0.717172,0.004602,27,bad
0.021517,0.733702,0,0,0.5,1,0.021517,0,0,0,19,bad
0.030069,0.909759,0,0,0.5,1,0.030069,0,0,0,23,bad
0.215724,0.644904,0,0,0.5,1,0.215724,0,0,0,16,bad
0.236966,0.845507,0,0,0.5,1,0.236966,26,0.236966,0.03456,22,bad
0.443694,0.20181,0,0,1,1,0.443694,115.046318,0.09497,0.949627,8,bad
0.039039,0.998727,0,0,1,1,0.039039,102.625533,0.039039,1,12,bad
0.12289,0.383245,0,0,0.5,1,0.12289,0,0,0,3,bad
0.791519,0.228755,0,0,0.5,1,0.791519,0,0,0,2,bad
0.417354,0.740528,0,0,0.5,1,0.417354,39,0.426736,0.585794,7,bad
0.819532,0.015105,0,0,1,1,0.819532,0,0,0,15,bad
1,1,0,0,1,1,1,121.004132,1,1,12,bad
0.05,0.784329,0,0,1,1,0.05,0,0,0,5,bad
0.0312,1,0,0,1,1,0.0312,0,0,0,11,bad
1,0.522487,0,0,1,1,1,10.576491,1,1,28,bad
0.155445,1,0,0,1,1,0.155445,0,1,1,35,bad
1,1,0,0,1,1,1,110.118966,1,0.51699,2,bad
0.696336,0.297608,0.166667,0,0.77193,1,0.734305,121.360147,0.175647,0.030277,4.666667,bad
0.154734,0.3933,0,0,1,1,0.154734,0,0,0,19,bad
0.376443,0.281371,0,0,1,1,0.376443,0,0,0,18,bad
0.636426,1,0.5,0,0.666667,1,0.586055,287.215361,0.414313,1,12,bad
0.233104,0.908975,0.5,0,0.666667,1,0.137625,139.894551,0.130344,1,8,bad
1,0.462679,0.333333,0,0.75,1,1,285.54877,0.848921,0.496866,7,bad
1,1,0,0,1,1,1,87.458562,1,1,4,bad
0.300479,1,0,0,0.588235,1,0.222144,309.020664,0.394137,0.751903,8.333333,bad
0.481413,0.026129,0.285714,0,1,1,0.454282,285.459392,0.437895,0.607383,4,bad
0.00999,0.013943,0,0,0.142857,1,0.004908,0,0,0,3,bad
