@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data

1,1,0.039407,0.219886,1,0.780114,1,213.398598,1,1,3.005682,bad
1,1,0.044045,0.006993,1,0.993007,1,193.241296,1,1,0,bad
1,1,0.010526,0.010526,1,0.989474,1,175.150071,1,1,0,bad
1,1,0.013169,0.059053,1,0.940947,1,125.900292,1,0.485609,4.012346,bad
0.941888,1,0.044048,0.232143,0.917942,0.767857,0.786048,194.570886,1,0.513398,3.166667,bad
1,1,0.141667,0.116667,1,0.883333,1,108.152923,1,1,4.1,bad
1,1,0.058932,0.11634,1,0.88366,1,240.907896,1,1,0,bad
1,1,0,0.2,1,0.8,1,158.343522,1,1,3.2,bad
1,1,0.195833,0.05,1,0.95,1,259.233789,1,0.602589,0,bad
0.970679,1,0.117647,0,0.733032,1,0.730114,84.909528,0.485678,1,7.764706,bad
0.547548,1,0.03125,0,0.758929,1,0.389163,155.354819,0.608531,1,2,bad
1,1,0,0,1,1,1,340.087298,1,1,7,bad
1,0.118136,0,0,0.5,1,1,21,1,0.006624,6,bad
1,1,0,0,1,1,1,98.748418,1,1,9,bad
1,0.04477,0,0,1,1,1,66.587938,1,0.221154,1,bad
1,1,0,0,1,1,1,130,1,1,9,bad
1,1,0,1,1,0,1,519.24691,1,1,4,good
1,1,0.02381,0.055556,1,0.944444,1,144.423132,1,1,3,bad
1,1,0.053977,0.068182,1,0.931818,1,175.826879,1,1,0,bad
1,1,0,0,1,1,1,21,1,1,2,bad
1,1,0,0,1,1,1,194.095337,1,1,3,bad
1,0.570838,1,0,1,1,1,55.820096,1,0.078225,5,bad
1,1,0,0,1,1,1,4,1,1,3,bad
1,0.492434,0,0,1,1,1,115.92814,1,0.637949,6,bad
0.333462,0.163391,0,0,1,1,0.333462,35.666667,0.160728,1,4,bad
0.643475,0.735256,0.081699,0.150327,1,0.849673,0.685354,184.776377,0.816413,1,4.862745,bad
1,1,0,0,1,1,1,252.309515,1,1,31,bad
1,0.404968,0,0.083333,1,0.916667,1,135.079917,1,1,3,bad
0.582041,1,0,0.119048,0.857143,0.880952,0.535598,76.569367,0.71624,0.631033,6.761905,bad
0.966438,0.816319,0.024838,0.062169,1,0.937831,1,214.134122,0.714382,0.383981,1,bad
1,1,0.5,0,1,1,1,330.267993,1,1,4,bad
0.865366,1,0.166667,0,0.785047,1,0.626486,179.104113,0.520446,0.060348,11.666667,bad
1,1,0,0,1,1,1,28.117663,1,1,16,bad
1,0.536672,0,0,1,1,1,62.189999,1,1,5,bad
0.473643,1,0,0,1,1,0.473643,0,0,0,9,bad
1,0.331446,0,0,1,1,1,0,0,0,2,bad
1,1,0.01087,0.065217,1,0.934783,1,232.059246,1,1,0,bad
0.829007,0.896031,0.069084,0.187013,1,0.812987,0.725095,192.83932,0.746244,0.235533,4.242424,bad
0.636419,0.525539,0.008439,0,0.790284,1,0.54603,143.470729,0.553514,0.514083,1,bad
1,1,0,0.125,1,0.875,1,114.542716,1,1,4.125,bad
0.721526,1,0,0.285714,0.888889,0.714286,0.666767,161.440389,1,0.871102,8.428571,bad
1,1,0.083333,0.205,1,0.795,1,235.252222,1,1,3,bad
0.613099,1,0.069444,0.269841,0.852891,0.730159,0.502099,270.734232,0.893336,0.133532,9.333333,bad
0.684918,0.82975,0.214286,0,0.892857,1,0.528005,113.941436,0.598384,1,1.571429,bad
1,0.962855,0.093373,0.304418,1,0.695582,1,209.214106,1,0.394033,4.13253,bad
0.785854,1,0,0.142857,0.571429,0.857143,0.501587,231.18614,1,0.917934,1,bad
0.761998,0.681796,0.057971,0.043478,0.665583,0.956522,0.637218,96.059485,0.840622,1,8.130435,bad
1,0.441409,0.048148,0.198148,0.830841,0.801852,0.876393,184.630258,0.845071,0.167939,3.011111,bad
1,0.544531,0.047619,0,0.501754,1,0.659458,199.24465,0.994998,1,7,bad
0.776575,1,0.027907,0.015504,0.847926,0.984496,0.955794,181.034244,0.884119,0.339193,1,bad
0.137637,0.548591,0,0,1,1,0.408564,25.194797,0.00102,1,10,bad
0.268432,0.051784,0,0,1,1,0.331294,1,0.105924,0.002978,2,bad
1,0.508915,0,0,1,1,1,7.28011,1,0.024668,3,bad
0.583257,0.927077,0,0,1,1,0.583257,54,0.656878,0.278552,7,bad
0.088289,0.283061,0,0,1,1,0.088289,12.596267,0.071613,0.596005,0,bad
1,1,0,0,1,1,1,97.883612,1,1,2,bad
1,1,0,0.25,1,0.75,1,175.676575,1,1,0,bad
0.005312,0.083833,0,0,0.333333,1,0.005312,0,0,0,4,bad
1,0.832878,0.129252,0.091837,1,0.908163,1,183.478564,1,1,2,bad
0.663601,0.509216,0.375,0,0.785256,1,0.612525,183.571492,1,0.022259,5,bad
0.424018,0.06628,0,0,0.333333,1,0.424018,0,0,0,3,bad
0.279048,0.796262,0,0,1,1,0.279048,96,0.314271,1,5,bad
0.591965,0.304613,0.049689,0.076087,1,0.923913,0.64122,129.641074,0.848849,0.278014,6.347826,bad
0.437756,0.188674,0.096814,0.029412,1,0.970588,0.539032,229.265543,0.499633,0.173994,1,bad
1,1,0.5,0.5,1,0.5,1,275.794089,1,1,0,bad
0.342272,1,0.052632,0,1,1,0.436092,192.499393,0.279933,1,0.052632,bad
0.030039,1,0,0,1,1,0.030039,2,1,0.000952,4,bad
0.347826,1,0,0,1,1,0.347826,0,0,0,2,bad
0.732019,0.524543,0.041196,0.078222,1,0.921778,0.926197,224.697102,0.620709,0.166632,0,bad
1,1,0.014583,0.0625,1,0.9375,1,166.660307,1,1,0,bad
0.534244,0.038102,0,0,1,1,0.603117,113.15929,1,1,1,bad
0.622002,0.559924,0,0,1,1,0.929093,162.296635,0.870667,0.261223,4,bad
1,1,0,0.5,1,0.5,1,106.342759,1,1,4,good
1,1,0,1,1,0,1,304.19308,1,1,0,bad
0.127456,0.299186,0,0,0.806061,1,0.118208,112.547359,0.172792,1,1.4,bad
1,0.143596,0,0.166667,1,0.833333,1,58.337604,0.28132,0.313252,5,bad
0.214269,0.245777,0,0,0.75,1,0.188652,93.014058,1,0.271877,0,bad
0.864592,1,0.047297,0.027027,1,0.972973,0.932187,118.867463,1,0.503253,5.864865,bad
0.942529,0.736636,0.044608,0.069118,0.932773,0.930882,0.982504,175.86953,1,0.501786,2,bad
1,0.707252,0.333333,0,0.809524,1,1,258.35858,0.979725,0.072732,8,bad
1,1,0,1,1,0,1,65.900425,1,1,4,bad
0.646484,1,0.5,0.5,0.5,0.5,0.49364,193.339121,1,0.556491,5,bad
0.923055,1,0.032258,0.024194,0.794482,0.975806,0.846378,180.308321,0.851795,1,1,bad
1,0.251783,0.25,0,1,1,1,103.833626,0.298866,1,3,bad
1,1,0,0,1,1,1,15.207107,1,1,1,bad
0.573383,0.355552,0,0,0.25,1,0.327723,165.081798,0.605253,0.825839,5,bad
1,1,0,0,1,1,1,3.905125,1,1,2,bad
1,1,0,0,1,1,1,33.492423,1,1,17,bad
0.518354,0.889528,0,0,1,1,0.518354,12,0.030905,1,6,bad
0.607836,0.342018,0,0,1,1,0.800148,41.626924,0.13245,0.404706,4,bad
0.744463,1,0.047619,0.02381,0.759961,0.97619,0.700949,174.251088,1,0.201365,1,bad
0.558769,1,0.027778,0.055556,0.763218,0.944444,0.379292,134.178963,1,0.303642,7.722222,bad
1,0.399315,0,0.270833,0.908482,0.729167,1,181.967312,1,0.105746,3.8125,bad
1,1,0,0,1,1,1,0,1,1,0,bad
1,1,0,0,0.384615,1,1,143.389112,1,1,2,bad
1,0.356328,0.047619,0.642857,0.43956,0.357143,1,210.349217,1,0.271675,3,bad
0.703318,0.407685,0.055556,0.094444,1,0.905556,0.919127,228.932216,0.595916,1,1,bad
0.767181,0.298134,0,0.071429,0.812808,0.928571,0.848552,82.15146,0.382751,0.16135,7.571429,bad
0.472916,0.781517,0.010279,0.019824,0.917401,0.980176,0.610365,209.466954,0.648703,0.705794,1,bad
1,1,0,1,1,0,1,89.316353,1,1,10,bad
1,1,1,0,1,1,1,23.600847,1,1,16,bad
1,0.435109,0,0,0.25,1,1,16.492423,0.071032,0.703012,3,bad
0.587242,0.026252,0,0,0.25,1,0.587242,43,0.00148,1,1,bad
0.462502,1,0.068182,0,0.692071,1,0.434159,69.211312,0.688586,0.536938,10.5,bad
0.063265,0.175549,0,0,1,1,0.179169,0.666667,0.059723,0.000452,8,bad
0.242595,0.158948,0.5,0,0.666667,1,0.3849,82.392354,0.033645,0.099097,7,bad
0.746137,0.566805,1,0,0.333333,1,0.746137,32.202716,0.038474,0.03387,11,bad
1,0.336096,0,0,1,1,1,184.224189,0.257084,1,1,bad
1,1,0.045455,0.090909,1,0.909091,1,118.406152,1,1,6.909091,good
0.720946,1,0,0,0.461538,1,0.350023,576.047172,1,0.64813,6,bad
0.351465,0.967944,0,0,0.615385,1,0.276787,86,0.590123,0.035394,5,bad
1,0.544624,0.090909,0.227273,0.799373,0.772727,1,209.902112,0.433254,0.334097,5.454545,bad
1,1,1,0,1,1,1,240.604655,1,1,10,bad
0.066543,0.704674,0,0,1,1,0.066543,680.138956,0.113565,1,6,bad
0.601356,0.871201,0.020423,0.075117,1,0.924883,0.733817,218.514705,0.776641,0.199953,0,bad
