@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data

1,1,0.132143,0.071429,0.77602,0.928571,0.973287,161.971812,1,1,3.142857,bad
0.068673,0.442673,0,0,0.696429,1,0.068825,9.521379,0.033598,0.008302,11.25,bad
1,1,0.095238,0,1,1,1,165.01974,1,0.819553,0.285714,bad
1,1,0,0,1,1,1,134.066695,1,1,0.916667,bad
1,1,0.051471,0.029412,1,0.970588,1,170.656558,1,1,0.176471,bad
1,1,0.025,0.033333,1,0.966667,1,171.43374,1,1,0,bad
0.387093,0.661511,0,0.05,0.668571,0.95,0.407227,111.89537,0.629962,0.016213,7.8,bad
1,1,0,0.2,1,0.8,1,426.807618,1,1,2,bad
1,0.508842,0,0,0.5,1,1,171.156785,1,1,0.5,bad
0.541062,0.792385,0,0,0.636735,1,0.720604,44.166199,0.758743,1,8,bad
0.743127,0.277053,0.080769,0.064103,1,0.935897,0.977925,155.850296,0.625067,0.065923,0.333333,bad
1,0.429942,0.041667,0.291667,0.641667,0.708333,1,290.114257,1,0.645109,3.75,bad
1,1,0.022727,0.136364,1,0.863636,1,228.648831,1,1,0.727273,bad
0.254294,0.309706,0,0.25,0.833333,0.75,0.250232,95.057342,1,0.422281,4,bad
1,1,0,0,0.78,1,1,57.523041,1,0.276718,6,bad
0.567897,1,0,0,1,1,0.905052,1.414214,0.022461,0.253653,3,bad
1,1,0,0.2,1,0.8,1,255.840363,0.924982,1,3.2,bad
1,0.962141,0.096154,0.185897,1,0.814103,1,188.499021,1,1,3.025641,bad
1,1,0.071429,0.619048,1,0.380952,1,144.767469,1,1,3,bad
0.82737,1,0.142857,0.142857,0.588235,0.857143,0.668888,229.443449,0.7404,0.129735,11.285714,bad
1,1,0,0,1,1,1,331.384597,1,1,0,bad
1,0.207542,0.045455,0.022727,1,0.977273,1,159.235804,0.283466,1,2,bad
0.273932,1,0,0,0.466667,1,0.129723,95.742003,0.343754,0.386372,1.285714,bad
1,1,0,0,1,1,1,140,1,1,7,bad
1,1,0,0,1,1,1,122.550104,1,1,2,bad
0.687931,1,0,0,0.891892,1,0.405523,184.597286,1,0.836673,1,bad
1,0.463485,0,0.089744,0.869023,0.910256,0.613969,204.69225,1,0.64281,4,bad
0.257462,0.256991,0,0,0.686869,1,0.325094,234.437271,0.566133,0.748458,0,bad
1,0.48952,0,0,1,1,1,314.089455,1,1,0,bad
1,0.533341,0.083333,0,0.729167,1,1,172.749608,0.867296,0.176273,3.833333,bad
0.625896,0.89218,0.064103,0,0.692308,1,0.814322,116.328119,1,0.354588,5.384615,bad
0.848045,0.690586,0,0.166667,1,0.833333,1,243.023497,1,1,2,bad
0.561705,1,0,0.333333,1,0.666667,0.697953,114.484826,0.407997,0.063756,6,bad
0.871092,0.486017,0,0,0.729167,1,0.699793,188.282887,0.382723,1,4,bad
0.670031,1,0.083333,0,0.65,1,0.535222,130.526045,0.865193,1,8,bad
1,0.922554,0,0,0.743243,1,0.586993,123.483625,0.063212,0.626169,3.25,bad
0.952132,1,0.013158,0,1,1,0.826196,204.589551,1,1,0,bad
0.584344,0.342358,0.029412,0,0.735294,1,0.757775,118.449252,0.208913,0.050296,0,bad
0.593186,1,0.048611,0.111111,0.989583,0.888889,0.824037,185.337242,0.945058,0.485352,1,bad
0.52396,0.657752,0.047619,0,0.642857,1,0.505292,58.466615,0.626245,0.868319,10.857143,bad
0.01085,0.304391,0,0,0.5,1,0.010224,0,0,0,9,bad
0.831868,1,0.055096,0.068182,1,0.931818,1,224.80195,0.391587,0.208029,0.159091,bad
0.226007,0.928413,0,0,0.55,1,0.231055,37.086714,0.449153,0.014023,6.4,bad
0.01085,0.378001,0,0,0.5,1,0.010224,0,0,0,12,bad
0.087339,0.045802,0,0,0.466667,1,0.04136,200.460416,0.025247,1,4,bad
0.48005,1,0,0,0.583333,1,0.361448,72.587546,0.302114,0.027776,1,bad
0.715228,0.191234,0,0,0.95,1,0.834535,151.399506,0.771915,0.059891,0.083333,bad
1,1,0.666667,0,1,1,1,457.588218,1,0.337205,1,bad
1,1,0.05,0.141667,0.647059,0.858333,0.861876,151.457414,0.721407,1,3,bad
1,0.871483,0,0,1,1,1,72,1,0.322944,4,bad
1,0.044693,0,0,1,1,1,121.781685,1,0.469435,1,bad
1,1,0.666667,0,1,1,1,619.825858,1,1,7,good
1,1,0,0,0.8,1,1,105.062011,1,0.015854,6,bad
0.325163,1,0,0,0.8,1,0.325163,71.939675,0.906198,0.008264,7,bad
1,1,0,0.04,1,0.96,1,155.646068,1,1,0,bad
0.797893,0.198559,1,0,0.333333,1,0.348193,101.793558,0.273713,0.27406,2,bad
0.368171,1,0.333333,0.333333,1,0.666667,0.481908,169.883154,0.392954,0.318587,3,good
1,1,0,0,0.333333,1,0.600675,127,1,0.339541,8,bad
0.369752,0.790261,0,0,1,1,0.406206,109.530015,0.917107,0.045044,8,bad
0.333325,0.831889,0,0,0.857143,1,0.37189,67.26786,1,0.004101,5,bad
1,0.974279,0,0.071429,1,0.928571,1,106.943274,1,1,8.857143,bad
0.544065,0.738953,0,0,0.673077,1,0.325107,90.987419,1,1,7.125,bad
1,1,0.095098,0.088235,1,0.911765,1,164.34629,1,1,3,bad
1,0.975684,0,0,0.5,1,1,122,0.164063,1,2,bad
1,1,0,0,1,1,1,114.744595,1,1,3,bad
1,0.907195,0.036658,0.019704,1,0.980296,1,235.659144,0.698311,1,0.172414,bad
0.675257,0.760329,0,0.285714,0.769231,0.714286,0.457242,137.077028,0.869311,0.147138,4.285714,bad
0.378489,1,0.125,0,1,1,0.961196,218.607311,0.261404,1,8,bad
1,1,0,0,0.333333,1,0.84868,227.354971,1,1,2,bad
0.886151,1,0,1,0.333333,0,0.607423,116.137085,1,0.575319,4,bad
1,1,0,0.666667,1,0.333333,1,88.476194,1,1,1,bad
0.015034,1,0,0,0.466667,1,0.007119,0,0,0,9,bad
1,1,0.25,0,1,1,1,196.35871,1,1,7,bad
0.185317,1,0,0,1,1,0.185317,272.382782,0.503164,1,2,bad
1,1,0,0,1,1,1,0,1,1,3,bad
0.961932,0.893068,0,0,0.333333,1,0.577808,155,0.961932,0.430801,6,bad
0.846449,1,0,0,0.333333,1,0.508441,72,0.846449,0.227416,12,bad
0.542795,0.43402,0,0,0.666667,1,0.551105,146.170952,0.281553,1,0,bad
1,0.870616,0,0,0.333333,1,1,139.290245,0.133367,1,11,bad
0.496849,0.25487,0.222222,0.25,1,0.75,0.597088,446.389283,1,0.017809,0,bad
1,1,0,0,1,1,1,22.203603,1,1,1,bad
0.325661,0.73098,0,0,0.807692,1,0.189012,185.305908,0.034474,1,4,bad
0.355586,1,0,0.033333,0.951351,0.966667,0.333567,204.899788,0.558749,0.463452,9.6,bad
1,1,0,0,1,1,1,156.003205,1,1,4,bad
0.565669,0.340604,0,0,0.8,1,0.552282,64.743416,1,0.035276,9,bad
1,1,0.25,0,1,1,1,325.422798,1,1,3.25,bad
0.8255,0.208778,0,0,1,1,1,128.609587,0.873358,0.014915,1,bad
0.001359,0.984295,0,0,0.25,1,0.000598,45.213383,0.034287,1,5,bad
0.273074,0.539857,0.071429,0,1,1,0.381753,142.849277,0.64681,0.774643,1,bad
0.190175,0.493558,0,0,0.777778,1,0.190175,27.200877,1,0.179781,9,bad
1,1,0,0,1,1,1,76.74215,1,1,2,bad
0.567198,0.175711,0.045455,0.090909,0.579545,0.909091,0.458372,115.539141,0.932782,0.69724,5,bad
1,0.836266,0.041667,0.083333,0.5625,0.916667,1,107.562816,1,1,2,bad
0.625986,1,0.015873,0.095238,0.761905,0.904762,0.84786,174.409388,0.934769,0.730691,1,bad
0.419848,0.92136,0.090909,0.272727,0.756757,0.727273,0.329528,389.694293,1,0.412964,6,bad
0.941881,0.262981,0,0.027778,0.990991,0.972222,0.822617,146.155613,0.448649,0.566538,5,bad
0.136323,0.322118,0,0,0.777778,1,0.136323,0,0,0,9,bad
0.305642,0.525215,0,0.2,0.933333,0.8,0.469907,100.898184,1,0.199945,3.8,bad
1,0.590809,0.25,0,0.777778,1,1,334.059701,0.798341,0.464225,5.25,bad
1,1,0,0,1,1,1,233.816501,1,1,1,bad
1,1,0,0,1,1,1,19,1,0.008216,8,bad
0.7632,0.158877,0,0,1,1,1,110.311351,1,0.14411,5.2,bad
0.585247,0.062597,0,0,0.714286,1,0.514943,332.005628,1,0.11237,2,bad
1,1,0,0,1,1,1,12.083046,1,1,1,bad
1,0.766452,0,0,1,1,1,82,1,0.032577,7,bad
1,1,0,0,1,1,1,55.056789,1,1,0,bad
