@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data
0.554921,0.56553,0.043478,0.086957,0.561798,0.913043,0.447226,112.179544,0.357255,0.163887,7,bad
0.130096,0.184165,0.104167,0.0625,0.785187,0.9375,0.07598,171.697831,0.247742,0.113021,10.833333,bad
0.208286,0.234227,0.060606,0.070707,0.892258,0.929293,0.111635,97.165769,0.179832,1,9.272727,bad
0.670112,0.752755,0.043574,0.044177,0.815974,0.955823,0.6219,190.590773,0.548486,0.277268,1,bad
0.130149,0.043473,0.5,0,0.333333,1,0.075751,100.748676,0.186695,0.468995,7,bad
0.65907,0.478398,0,0,1,1,0.87873,172.874166,0.455688,1,1,bad
1,1,0.017857,0,1,1,1,94.675052,1,1,11.071429,bad
1,1,0.069833,0.072833,1,0.927167,1,227.07824,1,1,1,bad
1,1,0.2,0,1,1,1,129.217205,1,1,6,bad
0.230445,0.260366,0.025135,0.078598,0.883336,0.921402,0.140206,131.483872,0.231079,0.358873,5.034091,good
1,0.461233,0,0,0.516854,1,0.998808,55.527693,1,0.02541,9,bad
0.290284,0.29918,0.5,0,1,1,0.39319,122.041703,0.271343,0.175072,10,bad
0.485065,1,0.162879,0.090909,1,0.909091,0.594285,152.892346,1,0.696632,5,bad
0.536157,0.556904,0.16129,0.064516,0.901482,0.935484,0.531237,173.981292,1,0.117346,3,bad
1,1,0,0,1,1,1,168.718452,1,1,3,bad
1,1,0.012255,0.033088,0.72347,0.966912,1,117.575339,1,1,6.558824,bad
0.369841,0.408663,0,0,0.801414,1,0.572184,128.052866,0.147321,0.822369,1,bad
0.652121,0.47439,0,0,0.516854,1,0.651344,50.273807,0.51063,0.017541,8.333333,bad
0.517029,1,0,0,1,1,0.517029,185.504671,1,0.413684,8,bad
