@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data

1,1,0,0,1,1,1,72,1,0.179551,6,bad
1,0.069249,0.25,0.25,1,0.75,1,456.125903,0.233087,0.071359,3,bad
1,1,0.088889,0.305556,1,0.694444,1,138.885878,1,0.214426,4,bad
0.52371,1,0,0,1,1,0.581403,105.269385,0.576985,0.097963,11.333333,bad
0.292017,1,0,0,1,1,0.292017,48,0.027027,0.96,4,bad
1,0.635567,0,0,1,1,1,150,0.081081,1,2,bad
1,1,0,0,1,1,1,63.619937,1,1,4,bad
1,0.593126,0,0,1,1,1,151,1,0.504986,18,bad
1,0.216349,0,0,0.84,1,1,193.064524,1,1,1,bad
0.011339,1,0,0,1,1,0.011339,149.736352,0.014298,1,9,bad
0.003267,1,0,0,0.761905,1,0.003438,140.283586,1,1,2,bad
1,0.454223,0,0,0.5,1,1,118.179416,1,0.040948,10,bad
1,1,0.055556,0.155556,1,0.844444,1,195.118129,1,1,1,bad
0,1,0,1,1,0,0,395.548423,1,0.017898,5,good
0.505882,1,0,0,1,1,0.505882,151.267974,0.505882,0.472831,25,bad
1,0.504407,0,0,1,1,1,82,1,0.110123,17,bad
1,1,0.014493,0,0.900621,1,1,138.123642,1,1,2,bad
1,1,0,0,1,1,1,58.517092,1,0.750219,2,bad
0.439076,0.711511,0,0,1,1,0.439076,1,0.08371,0.000541,3,bad
1,1,0,0,1,1,1,168.472136,1,1,2,bad
0.001774,0.032819,0,0,1,1,0.002754,175.200768,0.253681,0.033325,6,bad
1,1,0,0,1,1,1,337.690834,1,1,66,bad
1,1,0,0,1,1,1,101.043044,1,1,6.666667,bad
1,0.385429,0,0,1,1,1,88,1,0.094877,16,bad
0.51221,1,0.05,0,0.99,1,0.406952,138.758517,0.373422,0.648321,0,bad
1,0.25191,0,0,1,1,1,173,0.173128,1,14,bad
1,1,0,0,1,1,1,158.050955,1,1,0,bad
0.260582,0.257821,0,0,1,1,0.43445,146.574552,0.82828,0.285457,9,bad
1,0.054763,0,0,1,1,1,138.792564,0.50357,0.474576,29,bad
0.079963,1,0,0,0.25,1,0.0233,576.347118,1,1,6,bad
1,1,0.333333,0,1,1,1,48.568502,1,0.208083,7.666667,bad
1,1,0,0,1,1,1,327.463197,1,1,14,bad
1,0.48952,0.25,0.25,0.333333,0.75,0.358247,183.453923,0.423555,0.026441,5,bad
0.436958,1,0,0,0.666667,1,0.436958,0,0,0,8,bad
0.075051,0.556914,0,0,1,1,0.075051,0,0,0,1,bad
1,1,1,0,1,1,1,474.620052,1,1,17,bad
1,1,0,0,1,1,1,70,1,1,5,bad
1,1,0,0,1,1,1,64.938432,1,1,9,bad
1,0.122649,0,0,1,1,1,415.289291,1,0.457359,0,bad
1,1,0,0,1,1,1,23,0.5,0.396552,9,bad
