@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data

1,1,0,0,1,1,1,41.088455,1,0.042535,11,bad
1,1,0,0,1,1,1,9,1,1,2,bad
1,1,0,0,1,1,1,225.655793,1,0.592907,1,bad
1,0.739634,0,0,1,1,1,113.233963,0.487455,1,28,bad
1,0.759497,0,0,1,1,1,190.853297,1,0.34132,29,bad
1,1,0.15625,0,1,1,1,127.705588,1,1,2,bad
0.576689,1,0,0,0.571429,1,0.251265,274.871532,1,0.086651,7.5,bad
0.017172,1,0,0,1,1,0.018567,81.406592,1,0.686064,0,bad
0.004581,1,0,0,1,1,0.004581,180.944743,1,0.690933,6,bad
1,1,0,0,1,1,1,54,1,0.015071,8,bad
1,1,0,1,1,0,1,228.418097,1,0.422996,3,bad
1,1,0,0,1,1,1,146.028415,1,0.929012,20,bad
1,1,0,0,1,1,1,159.027756,1,1,36,bad
1,1,0,0,1,1,1,126.400158,1,1,11,bad
0.688152,0.029597,0,0,0.5,1,0.475908,113.564411,0.722481,1,18,bad
1,1,0,0,1,1,1,100.833717,1,1,2,bad
1,1,0,0,1,1,1,194.989743,1,1,0,bad
1,1,0,0,1,1,1,271.715318,1,1,1,bad
1,1,0,0,1,1,1,119,1,1,6,bad
1,1,0,0,1,1,1,468.607647,1,1,0,bad
1,1,0,0.5,1,0.5,1,459.231444,1,1,133,bad
1,1,0,0,1,1,1,120,1,0.036474,6,bad
1,1,0,0.5,1,0.5,1,227.467502,1,0.283487,3,bad
1,1,0,0,1,1,1,178.423489,1,1,2,bad
0.589629,0.728064,0.007813,0.0125,1,0.9875,0.940808,161.680015,0.847764,0.805405,0,bad
1,1,0,1,1,0,1,176.933937,1,1,9,bad
0.097684,0.455001,0,0,1,1,0.097684,156.028843,0.097684,1,5,bad
1,1,0,0,1,1,1,71.568149,1,1,25,bad
1,1,0,0.5,1,0.5,1,288.551634,1,1,3,bad
1,1,0,0.5,1,0.5,1,198.982002,1,1,0,bad
1,1,0,0,1,1,1,37.435011,1,0.029488,1,bad
1,1,0.04,0,1,1,1,187.42429,1,1,2,bad
1,1,0.095238,0.142857,1,0.857143,1,223.389228,1,1,3.571429,bad
1,1,0.333333,0.333333,1,0.666667,1,545.825501,1,0.384024,26,bad
0.394313,0.051439,0.071429,0,0.979592,1,0.204221,181.711263,0.570388,1,0,bad
1,1,0,0,1,1,1,45.954567,1,0.053188,7,bad
1,1,0,0,1,1,1,158,1,1,2,bad
0,1,0,1,1,0,0,113.082984,0.891455,1,8,bad
0.497587,0.094808,0.035714,0.214286,0.938776,0.785714,0.323791,200.829457,0.739067,0.699188,1,bad
1,1,0,1,1,0,1,167.797851,1,0.319615,3,bad
0.874207,0.533193,0.009009,0.121622,0.908108,0.878378,1,218.210238,1,0.62062,0,bad
0.018893,1,0,0,1,1,0.018893,103.74006,0.029562,1,37,bad
0.372638,0.796216,0,0,1,1,0.372638,87.006944,0.508665,0.048742,30,bad
0.503583,0.862519,0,0,1,1,0.503583,141.414214,0.332314,0.121263,32,bad
0.195129,0.975148,0,0,0.666667,1,0.195129,889.477109,1,0.792223,3,bad
1,1,0,1,1,0,1,269.651606,1,0.192471,0,bad
1,1,0.104762,0,1,1,1,251.838461,0.366596,1,2,bad
0.819565,0.318707,0,0,1,1,0.819565,163,1,0.62115,3,bad
0.15001,1,0,0,1,1,0.15001,99,0.183036,1,10,bad
0.516561,1,0,0,1,1,0.884075,182.775925,0.142505,1,0,bad
0.458941,1,0.157143,0,0.923077,1,0.411101,261.732715,0.546528,1,0,bad
0,1,0,1,0.5,0,0,175.844183,1,0.750061,16,bad
0,0.151783,0,1,1,0,0,57.202072,0.362587,1,12,bad
0.282736,0.307106,0.5,0,1,1,0.525733,111.647902,0.134047,0.237343,26,bad
0.241694,0.899825,0,0,0.5,1,0.241694,84.005952,0.378186,0.063298,33,bad
0.037044,0.067701,1,0.5,0.666667,0.5,0.037044,199.910343,0.684243,0.130109,6,bad
1,1,0.5,0,1,1,1,43.156691,1,1,8,bad
0.796743,0.920474,0,0,0.5,1,0.796743,162.181778,0.561672,0.082281,34,bad
1,0.826057,0,0,0.5,1,1,157.418599,0.04893,0.916782,31,bad
1,0.179622,0,0.5,0.5,0.5,0.794383,53.445712,0.209979,1,19,bad
0.136988,0.945214,0,0.333333,1,0.666667,0.2958,53.123296,0.279279,0.01961,21,bad
0.181226,0.194894,0,0,1,1,0.339101,90.103364,0.100381,0.561958,4,bad
0.20374,0.638589,0,0,0.333333,1,0.20374,91,0.20374,0.279629,6,bad
1,1,0,1,1,0,1,470.537763,1,0.26405,0,bad
0.257847,0.959965,0,0,0.5,1,0.257847,80,0.314615,0.198254,1,bad
0.279222,0.150048,0,0,0.5,1,0.279222,1,0.052162,0.014947,2,bad
0.837281,0.320605,0,0,0.5,1,0.837281,10.082763,0.206062,0.03815,4,bad
0.816228,0.640073,0,0,1,1,0.816228,175.197183,1,0.305895,2,bad
1,1,0,1,1,0,1,122.494898,1,1,3,bad
1,1,0,0.75,1,0.25,1,220.242449,1,1,3,bad
1,1,0,0,1,1,1,64,1,0.461269,7,bad
1,1,0.034483,0,1,1,1,199.958708,1,1,1,bad
0.669908,0.090848,0,0.071429,1,0.928571,0.793666,289.746743,0.933003,0.8002,0,bad
0,1,0,0,1,1,0,84.326606,1,0.118836,3,bad
1,1,0.333333,0,1,1,1,90.142472,1,1,9,bad
0.618851,1,0.25,0,1,1,0.786457,116.719396,0.535403,1,10,bad
0.95539,0.511586,0,0,0.5,1,0.477695,173,0.214883,1,131,bad
0.323627,0.852759,0.5,0,0.666667,1,0.216123,101.903625,0.491756,1,6,bad
0.011855,0.915797,0,0,0.333333,1,0.003985,236.589062,0.104753,1,8,bad
0.696201,0.332882,0,0,1,1,1,348.388897,0.153343,1,3,bad
0.283587,1,0,0,0.25,1,0.1245,105,0.283587,0.162969,8,bad
0.680547,0.466565,0,0,0.5,1,0.372832,103.115417,0.680547,0.066691,2,bad
0.037842,1,1,0,0.666667,1,0.037842,185.283084,0.503722,0.32761,5,bad
1,1,0,0,1,1,1,119,1,0.32964,3,bad
1,1,0,0.5,1,0.5,1,93.227958,1,1,4,bad
1,1,0.008621,0.034483,0.767241,0.965517,1,157.527094,1,1,1,bad
0.305643,0.448037,0,0,0.954545,1,0.198772,236.463375,0.591543,0.475182,0,bad
1,1,0,0,1,1,1,93,1,1,6,bad
1,1,0,0,1,1,1,60.5,1,1,5,bad
1,1,0.048276,0.011494,1,0.988506,1,161.26543,1,1,1,bad
1,0.801317,0.055556,0.049383,1,0.950617,1,254.871011,0.996656,1,2,bad
0.689567,0.672794,0.078947,0.052632,0.842105,0.947368,0.9489,238.820928,0.57776,0.710546,1,bad
1,1,0,1,1,0,1,28.238859,1,0.022166,4,bad
0.19218,1,0,0,1,1,0.3414,162.136517,1,1,0,bad
0.086168,0.425506,0,0,1,1,0.086168,16.124515,0.294574,0.309372,12,bad
0.458079,0.571059,0.022222,0,0.771429,1,0.17338,148.085252,1,0.256867,5.4,bad
1,1,0,0,1,1,1,0,1,1,3,bad
1,1,0,0,1,1,1,472.044399,1,1,17,bad
0.798662,1,0,0,0.5,1,0.663702,161.987654,0.940528,1,3,bad
0.620568,0.525218,0.067308,0.019231,0.953689,0.980769,0.383298,160.865148,0.555789,0.133515,1,bad
1,1,0,0,1,1,1,698.098424,1,1,3,bad
1,1,0,1,1,0,1,143.99354,1,1,14,bad
0.666459,0.042358,0,0,1,1,0.666459,7.071068,0.516204,0.015654,1,bad
0.304916,0.961206,0,0,1,1,0.434972,43.449747,0.274306,0.181012,6,bad
1,1,0,0.5,1,0.5,1,139.180962,1,1,4,bad
1,1,0,0,1,1,1,43,1,1,2,bad
1,0.510283,0,0.5,1,0.5,1,198.80027,1,1,3,bad
0.43261,1,0.055556,0.055556,0.945652,0.944444,0.490056,246.827791,1,1,6,bad
1,1,0.033333,0,1,1,1,205.116662,1,1,2,bad
0.686914,1,0,0,1,1,0.686914,107.082763,0.496943,1,9,bad
1,0.781997,0,0,1,1,1,12,1,0.055689,6,bad
0.5585,1,0,0,1,1,0.5585,144,0.413779,1,10,bad
1,1,0,1,1,0,1,99.615528,1,1,22,bad
1,1,0,0,1,1,1,198.080932,1,1,25,bad
0.885793,0.811783,0.039063,0.028646,0.976563,0.971354,1,153.261519,0.493064,1,0,bad
0.00069,1,0,0.5,1,0.5,0.00138,73.69772,0.236674,0.659661,18,bad
1,1,0,0,1,1,1,661.488083,1,1,1,bad
0.803588,0.906324,0.277778,0.111111,0.666667,0.888889,0.670133,250.378257,0.822097,0.028235,6.555556,bad
0.894367,1,0.028846,0.115385,0.653846,0.884615,0.670752,159.056906,0.509847,0.260071,2,bad
0.905866,0.104136,0,0,0.5,1,0.612325,0,0,0,6,bad
1,0.235057,0.068182,0.060606,0.659091,0.939394,1,154.181108,0.544404,0.298877,3.954545,bad
1,1,0,0,1,1,1,163.219689,1,1,1,bad
0,1,0,1,1,0,0,1006.823778,1,1,5,bad
1,1,0,0,1,1,1,0,1,1,37,bad
1,0.12593,0,0,1,1,1,58.351602,1,1,27,bad
1,1,0,1,1,0,1,277.549197,1,1,3,bad
1,1,0,0,1,1,1,221.210303,1,1,17,bad
0,1,0,0,1,1,0,18.11077,0.12381,0.871759,4,bad
0.581554,0.440042,0.083333,0.416667,0.734694,0.583333,0.232304,220.229545,0.534961,0.07084,3.666667,bad
1,0.70982,0,1,1,0,1,104.23,1,0.55206,19,bad
1,1,0,0,1,1,1,114.327854,1,1,0,bad
1,0.394791,0,0,0.5,1,1,7.071068,1,0.006157,4,bad
0.01787,1,0,0,0.5,1,0.01787,48.703183,0.04321,0.981361,3,bad
1,1,0,0,1,1,1,286.40007,1,1,3,bad
1,0.51498,0,1,1,0,1,452.166152,1,1,18,bad
1,0.207832,0,0,1,1,1,160.277492,1,0.22812,3,bad
0.850421,0.569545,0,0,0.5,1,0.784361,154,0.850421,0.068936,4,bad
0.368822,1,0,0,0.25,1,0.187216,163,0.368822,0.168239,12,bad
0.544953,0.658331,0,0,0.25,1,0.276621,136,0.544953,0.095003,5,bad
1,1,0.5,0,0.5,1,1,316.909422,1,0.097813,11,bad
0.083695,0.508514,0,0,0.5,1,0.082387,44,0.002028,1,2,bad
1,1,0,1,1,0,1,1086.259207,1,1,7,bad
0.807519,0.39937,0,0,1,1,1,193.911449,1,0.016418,11,bad
0.659148,1,0,0,0.333333,1,0.448346,0,0,0,2,bad
0.661153,0.67063,0,0,0.333333,1,0.44971,120,0.07874,0.129032,9,bad
1,1,0,1,1,0,1,88.015694,1,1,12,bad
1,1,0,1,1,0,1,174.739884,1,0.535296,5,bad
1,1,0,1,0.5,0,1,228.640608,0.727058,1,9,bad
0.198507,0.508812,0,0,0.25,1,0.099353,0,0,0,1,bad
0.133139,0.734789,0.333333,0,0.75,1,0.195015,24.88199,0.217039,0.005285,7,bad
1,0.101151,0.5,0,0.5,1,1,22.299103,0.223124,0.004607,3,bad
0.610833,0.844575,0.035714,0.178571,0.571429,0.821429,0.614768,173.781237,0.706353,0.310483,3,bad
1,0.653164,0.037281,0.131579,0.87218,0.868421,1,248.217055,0.962316,0.12619,0,bad
0.05614,0.70398,0,0,0.333333,1,0.038186,61,0.88189,0.005856,10,bad
0.258145,0.627809,0,0,0.333333,1,0.175588,0,0,0,7,bad
1,0.277844,0,0,1,1,1,586.169216,1,0.913179,3,bad
1,1,0,1,1,0,1,64.536811,1,1,4,bad
1,0.138223,0,0,1,1,1,297.721232,0.332654,1,0,bad
0.120543,0.263412,0,1,1,0,0.120543,85.50317,0.198718,0.670313,10,bad
1,1,0,0,0.914286,1,1,242.490051,0.97558,0.195173,4.4,bad
1,1,0,1,1,0,1,159.978549,1,1,3,bad
1,1,0.071429,0.5,1,0.5,1,96.17917,1,0.167713,1,bad
0.156787,0.23878,0,0,1,1,0.178214,41.905125,0.308806,0.151623,4,bad
1,1,0,0,1,1,1,172,1,1,10,bad
1,1,0,0.333333,1,0.666667,1,293.353707,1,1,0,bad
1,1,0,0,0.5,1,1,26,0.297233,0.303146,2,bad
1,1,0,1,1,0,1,79.949195,1,1,18,bad
1,1,0.050725,0.128261,1,0.871739,1,219.868946,1,1,3,bad
1,1,0,0.75,1,0.25,1,357.676537,1,0.301356,3,good
0.567713,1,0,0.214286,0.62212,0.785714,0.636741,364.005202,0.812193,0.187288,4.714286,bad
1,1,0,0,0.5,1,0.968445,187.375375,0.675371,1,1,bad
1,1,0.166667,0,0.666667,1,0.97447,172.170965,1,0.047154,3,bad
0.52937,0.039006,0,0,0.5,1,0.52937,33.837849,0.155967,0.6899,0,bad
0.013885,0.882166,0,0,1,1,0.013885,15.524175,0.07776,1,2,bad
1,1,0.5,0.5,1,0.5,1,156.692596,1,0.112338,3,bad
0.592883,0.028436,0,0,1,1,1,81.991474,0.158989,0.576215,2,bad
0.529167,0.169727,0,0,1,1,0.622676,71.640055,0.932532,0.085837,3,bad
0.250519,0.889651,0,0,0.5,1,0.220286,163,0.54097,0.336664,8,bad
1,0.16412,0,0,1,1,1,70,0.834213,0.083343,2,bad
0.342145,1,0.047619,0.190476,0.708455,0.809524,0.135821,171.715864,0.406076,1,3.285714,bad
0.358656,1,0,0,0.333333,1,0.15943,101.242284,0.300422,0.617414,27,bad
0.068214,1,0,0,1,1,0.040976,6.576473,0.376682,0.078925,15,bad
1,1,0,0,1,1,1,86.880708,1,1,8,bad
0.025844,0.938992,0,0,1,1,0.025844,0,0,0,7,bad
1,1,0,1,1,0,1,90.719487,1,1,0,good
0.048869,0.510161,0,0,0.5,1,0.048869,44.777226,0.118166,0.329929,5,bad
0.214004,0.994394,0,0.5,1,0.5,0.428009,328.733027,0.547853,1,12,bad
0.131193,1,0,0,0.421053,1,0.115208,61.5,0.20767,0.13401,10,bad
0.164585,0.177412,0,0,0.421053,1,0.14453,128.753387,0.053695,1,6,bad
0.922871,1,0,0,1,1,1,414.256155,0.373708,1,2,bad
