"threshold","TP","TN","FP","FN"
0.0,203,0,2536,0
0.01,203,0,2536,0
0.02,203,0,2536,0
0.03,203,0,2536,0
0.04,203,0,2536,0
0.05,203,0,2536,0
0.060000000000000005,203,0,2536,0
0.07,203,0,2536,0
0.08,203,2,2534,0
0.09,203,4,2532,0
0.09999999999999999,406,16,5056,0
0.10999999999999999,406,16,5056,0
0.11999999999999998,203,10,2526,0
0.12999999999999998,203,15,2521,0
0.13999999999999999,203,15,2521,0
0.15,203,21,2515,0
0.16,203,21,2515,0
0.17,203,26,2510,0
0.18000000000000002,203,29,2507,0
0.19000000000000003,202,34,2502,1
0.20000000000000004,202,39,2497,1
0.21000000000000005,202,41,2495,1
0.22000000000000006,202,47,2489,1
0.23000000000000007,202,53,2483,1
0.24000000000000007,202,58,2478,1
0.25000000000000006,202,66,2470,1
0.26000000000000006,202,75,2461,1
0.2700000000000001,202,79,2457,1
0.2800000000000001,202,84,2452,1
0.2900000000000001,202,91,2445,1
0.3000000000000001,202,99,2437,1
0.3100000000000001,202,102,2434,1
0.3200000000000001,202,107,2429,1
0.3300000000000001,202,115,2421,1
0.34000000000000014,202,140,2396,1
0.35000000000000014,202,147,2389,1
0.36000000000000015,202,158,2378,1
0.37000000000000016,202,172,2364,1
0.38000000000000017,202,199,2337,1
0.3900000000000002,202,217,2319,1
0.4000000000000002,202,231,2305,1
0.4100000000000002,202,246,2290,1
0.4200000000000002,202,250,2286,1
0.4300000000000002,202,268,2268,1
0.4400000000000002,202,296,2240,1
0.45000000000000023,202,350,2186,1
0.46000000000000024,202,405,2131,1
0.47000000000000025,201,498,2038,2
0.48000000000000026,201,721,1815,2
0.49000000000000027,194,1323,1213,9
0.5000000000000002,193,1697,839,10
0.5100000000000002,193,1699,837,10
0.5200000000000002,192,1701,835,11
0.5300000000000002,192,1705,831,11
0.5400000000000003,192,1708,828,11
0.5500000000000003,192,1713,823,11
0.5600000000000003,192,1719,817,11
0.5700000000000003,192,1725,811,11
0.5800000000000003,192,1729,807,11
0.5900000000000003,192,1734,802,11
0.6000000000000003,192,1736,800,11
0.6100000000000003,191,1738,798,12
0.6200000000000003,190,1741,795,13
0.6300000000000003,188,1754,782,15
0.6400000000000003,187,1760,776,16
0.6500000000000004,186,1781,755,17
0.6600000000000004,182,1871,665,21
0.6700000000000004,22,2451,85,181
0.6800000000000004,22,2453,83,181
0.6900000000000004,22,2457,79,181
0.7000000000000004,22,2461,75,181
0.7100000000000004,22,2466,70,181
0.7200000000000004,22,2470,66,181
0.7300000000000004,22,2471,65,181
0.7400000000000004,22,2475,61,181
0.7500000000000004,1,2514,22,202
0.7600000000000005,1,2514,22,202
0.7700000000000005,1,2518,18,202
0.7800000000000005,1,2518,18,202
0.7900000000000005,1,2520,16,202
0.8000000000000005,1,2523,13,202
0.8100000000000005,1,2525,11,202
0.8200000000000005,1,2525,11,202
0.8300000000000005,1,2529,7,202
0.8400000000000005,0,2530,6,203
0.8500000000000005,0,2530,6,203
0.8600000000000005,0,2531,5,203
0.8700000000000006,0,2532,4,203
0.8800000000000006,0,2533,3,203
0.8900000000000006,0,2533,3,203
0.9000000000000006,0,2533,3,203
0.9100000000000006,0,2533,3,203
0.9200000000000006,0,2534,2,203
0.9300000000000006,0,2535,1,203
0.9400000000000006,0,2535,1,203
0.9500000000000006,0,2536,0,203
0.9600000000000006,0,2536,0,203
0.9700000000000006,0,2536,0,203
0.9800000000000006,0,2536,0,203
0.9900000000000007,0,2536,0,203
