"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,366,0,9633,0,1,1,0.036604,1,0.963396,0.070622,1,1,0.007833
1,358,8,8806,827,0.914149,0.978142,0.039066,0.978142,0.960934,0.075131,0.916492,1.067268,0.008009
2,358,8,8805,828,0.914045,0.978142,0.03907,0.978142,0.96093,0.075139,0.916392,1.067384,0.008032
3,352,14,7944,1689,0.824665,0.961749,0.04243,0.961749,0.95757,0.081275,0.829683,1.159176,0.00817
4,344,22,7102,2531,0.737257,0.939891,0.046199,0.939891,0.953801,0.08807,0.744674,1.26215,0.008214
5,338,28,6255,3378,0.64933,0.923497,0.051266,0.923497,0.948734,0.09714,0.659366,1.400584,0.008244
6,330,36,5416,4217,0.562234,0.901639,0.057431,0.901639,0.942569,0.107984,0.574657,1.569003,0.008255
7,323,43,4569,5064,0.474307,0.882514,0.066026,0.882514,0.933974,0.12286,0.489249,1.803813,0.008261
8,319,47,3727,5906,0.386899,0.871585,0.078843,0.871585,0.921157,0.144606,0.40464,2.153973,0.00828
9,316,50,2906,6727,0.301671,0.863388,0.098076,0.863388,0.901924,0.176143,0.322232,2.679397,0.008337
10,310,56,2074,7559,0.215302,0.846995,0.130034,0.846995,0.869966,0.225455,0.238424,3.552474,0.008395
11,310,56,2073,7560,0.215198,0.846995,0.130088,0.846995,0.869912,0.225537,0.238324,3.553965,0.008442
12,310,56,2072,7561,0.215094,0.846995,0.130143,0.846995,0.869857,0.225619,0.238224,3.555457,0.008458
13,310,56,2071,7562,0.21499,0.846995,0.130197,0.846995,0.869803,0.225701,0.238124,3.55695,0.008517
14,310,56,2070,7563,0.214886,0.846995,0.130252,0.846995,0.869748,0.225783,0.238024,3.558445,0.008564
15,310,56,2069,7564,0.214783,0.846995,0.130307,0.846995,0.869693,0.225865,0.237924,3.55994,0.008593
16,310,56,2068,7565,0.214679,0.846995,0.130362,0.846995,0.869638,0.225948,0.237824,3.561437,0.00862
17,310,56,2067,7566,0.214575,0.846995,0.130416,0.846995,0.869584,0.22603,0.237724,3.562936,0.00862
18,310,56,2063,7570,0.21416,0.846995,0.130636,0.846995,0.869364,0.22636,0.237324,3.568942,0.008634
19,304,62,1210,8423,0.12561,0.830601,0.200793,0.830601,0.799207,0.323404,0.151415,5.485588,0.008634
20,304,62,1209,8424,0.125506,0.830601,0.200925,0.830601,0.799075,0.323576,0.151315,5.489214,0.008708
21,304,62,1206,8427,0.125195,0.830601,0.201325,0.830601,0.798675,0.324094,0.151015,5.500119,0.008801
22,303,63,1205,8428,0.125091,0.827869,0.200928,0.827869,0.799072,0.323372,0.150815,5.489298,0.008833
23,303,63,1203,8430,0.124883,0.827869,0.201195,0.827869,0.798805,0.323718,0.150615,5.496587,0.00884
24,303,63,1201,8432,0.124676,0.827869,0.201463,0.827869,0.798537,0.324064,0.150415,5.503897,0.008852
25,303,63,1199,8434,0.124468,0.827869,0.201731,0.827869,0.798269,0.324411,0.150215,5.511225,0.008914
26,303,63,1198,8435,0.124364,0.827869,0.201865,0.827869,0.798135,0.324585,0.150115,5.514897,0.009014
27,303,63,1197,8436,0.12426,0.827869,0.202,0.827869,0.798,0.324759,0.150015,5.518574,0.009023
28,303,63,1192,8441,0.123741,0.827869,0.202676,0.827869,0.797324,0.325631,0.149515,5.537031,0.009068
29,303,63,1190,8443,0.123534,0.827869,0.202947,0.827869,0.797053,0.325982,0.149315,5.544448,0.009073
30,303,63,1189,8444,0.12343,0.827869,0.203083,0.827869,0.796917,0.326157,0.149215,5.548164,0.009129
31,303,63,1188,8445,0.123326,0.827869,0.203219,0.827869,0.796781,0.326333,0.149115,5.551885,0.009199
32,303,63,1187,8446,0.123222,0.827869,0.203356,0.827869,0.796644,0.326509,0.149015,5.555611,0.009259
33,303,63,1182,8451,0.122703,0.827869,0.20404,0.827869,0.79596,0.327391,0.148515,5.574317,0.00926
34,303,63,1178,8455,0.122288,0.827869,0.204591,0.827869,0.795409,0.3281,0.148115,5.589372,0.009277
35,303,63,1175,8458,0.121977,0.827869,0.205007,0.827869,0.794993,0.328633,0.147815,5.600718,0.009293
36,302,64,1173,8460,0.121769,0.825137,0.204746,0.825137,0.795254,0.328083,0.147515,5.593587,0.009299
37,302,64,1172,8461,0.121665,0.825137,0.204885,0.825137,0.795115,0.328261,0.147415,5.597382,0.009328
38,302,64,1171,8462,0.121561,0.825137,0.205024,0.825137,0.794976,0.328439,0.147315,5.601182,0.009364
39,302,64,1170,8463,0.121457,0.825137,0.205163,0.825137,0.794837,0.328618,0.147215,5.604987,0.009445
40,302,64,1169,8464,0.121354,0.825137,0.205303,0.825137,0.794697,0.328797,0.147115,5.608797,0.009524
41,302,64,1166,8467,0.121042,0.825137,0.205722,0.825137,0.794278,0.329335,0.146815,5.62026,0.009545
42,302,64,1165,8468,0.120938,0.825137,0.205862,0.825137,0.794138,0.329514,0.146715,5.624091,0.009597
43,302,64,1161,8472,0.120523,0.825137,0.206425,0.825137,0.793575,0.330235,0.146315,5.639468,0.009599
44,302,64,1160,8473,0.120419,0.825137,0.206566,0.825137,0.793434,0.330416,0.146215,5.643325,0.009681
45,302,64,1159,8474,0.120316,0.825137,0.206708,0.825137,0.793292,0.330597,0.146115,5.647188,0.009689
46,302,64,1157,8476,0.120108,0.825137,0.206991,0.825137,0.793009,0.330959,0.145915,5.654929,0.009755
47,302,64,1155,8478,0.1199,0.825137,0.207275,0.825137,0.792725,0.331322,0.145715,5.662691,0.009777
48,302,64,1152,8481,0.119589,0.825137,0.207703,0.825137,0.792297,0.331868,0.145415,5.674375,0.009785
49,302,64,1148,8485,0.119174,0.825137,0.208276,0.825137,0.791724,0.332599,0.145015,5.690028,0.009805
50,302,64,1147,8486,0.11907,0.825137,0.20842,0.825137,0.79158,0.332782,0.144914,5.693955,0.009807
51,302,64,1144,8489,0.118758,0.825137,0.208852,0.825137,0.791148,0.333333,0.144614,5.705768,0.009853
52,302,64,1143,8490,0.118655,0.825137,0.208997,0.825137,0.791003,0.333517,0.144514,5.709717,0.009875
53,302,64,1141,8492,0.118447,0.825137,0.209286,0.825137,0.790714,0.333886,0.144314,5.717631,0.009887
54,302,64,1139,8494,0.118239,0.825137,0.209577,0.825137,0.790423,0.334256,0.144114,5.725566,0.009932
55,302,64,1137,8496,0.118032,0.825137,0.209868,0.825137,0.790132,0.334626,0.143914,5.733524,0.010086
56,302,64,1136,8497,0.117928,0.825137,0.210014,0.825137,0.789986,0.334812,0.143814,5.737511,0.010193
57,302,64,1135,8498,0.117824,0.825137,0.21016,0.825137,0.78984,0.334997,0.143714,5.741504,0.010198
58,302,64,1133,8500,0.117617,0.825137,0.210453,0.825137,0.789547,0.335369,0.143514,5.749506,0.010357
59,302,64,1132,8501,0.117513,0.825137,0.2106,0.825137,0.7894,0.335556,0.143414,5.753515,0.010363
60,302,64,1131,8502,0.117409,0.825137,0.210747,0.825137,0.789253,0.335742,0.143314,5.75753,0.010383
61,302,64,1126,8507,0.11689,0.825137,0.211485,0.825137,0.788515,0.336678,0.142814,5.77769,0.010386
62,301,65,1126,8507,0.11689,0.822404,0.210932,0.822404,0.789068,0.33575,0.142714,5.762594,0.010409
63,301,65,1125,8508,0.116786,0.822404,0.21108,0.822404,0.78892,0.335938,0.142614,5.766635,0.010455
64,301,65,1122,8511,0.116475,0.822404,0.211525,0.822404,0.788475,0.336501,0.142314,5.778792,0.010481
65,301,65,1121,8512,0.116371,0.822404,0.211674,0.822404,0.788326,0.336689,0.142214,5.782856,0.010669
66,301,65,1119,8514,0.116163,0.822404,0.211972,0.822404,0.788028,0.337066,0.142014,5.791001,0.010711
67,301,65,1118,8515,0.116059,0.822404,0.212121,0.822404,0.787879,0.337255,0.141914,5.795082,0.010781
68,301,65,1117,8516,0.115956,0.822404,0.212271,0.822404,0.787729,0.337444,0.141814,5.799169,0.010863
69,301,65,1116,8517,0.115852,0.822404,0.212421,0.822404,0.787579,0.337633,0.141714,5.803261,0.010999
70,301,65,1115,8518,0.115748,0.822404,0.212571,0.822404,0.787429,0.337823,0.141614,5.80736,0.011025
71,301,65,1113,8520,0.11554,0.822404,0.212871,0.822404,0.787129,0.338202,0.141414,5.815574,0.011034
72,301,65,1111,8522,0.115333,0.822404,0.213173,0.822404,0.786827,0.338583,0.141214,5.823811,0.0111
73,301,65,1108,8525,0.115021,0.822404,0.213627,0.822404,0.786373,0.339155,0.140914,5.836211,0.011112
74,301,65,1106,8527,0.114814,0.822404,0.21393,0.822404,0.78607,0.339538,0.140714,5.844507,0.011189
75,300,66,1106,8527,0.114814,0.819672,0.213371,0.819672,0.786629,0.3386,0.140614,5.829233,0.01135
76,300,66,1105,8528,0.11471,0.819672,0.213523,0.819672,0.786477,0.338792,0.140514,5.833382,0.011402
77,300,66,1104,8529,0.114606,0.819672,0.213675,0.819672,0.786325,0.338983,0.140414,5.837537,0.011438
78,300,66,1101,8532,0.114295,0.819672,0.214133,0.819672,0.785867,0.339559,0.140114,5.850037,0.011472
79,300,66,1100,8533,0.114191,0.819672,0.214286,0.819672,0.785714,0.339751,0.140014,5.854215,0.011545
80,300,66,1098,8535,0.113983,0.819672,0.214592,0.819672,0.785408,0.340136,0.139814,5.862591,0.011619
81,300,66,1097,8536,0.113879,0.819672,0.214746,0.819672,0.785254,0.340329,0.139714,5.866787,0.011771
82,300,66,1096,8537,0.113776,0.819672,0.2149,0.819672,0.7851,0.340522,0.139614,5.87099,0.012033
83,300,66,1094,8539,0.113568,0.819672,0.215208,0.819672,0.784792,0.340909,0.139414,5.879413,0.012117
84,299,67,1091,8542,0.113257,0.81694,0.215108,0.81694,0.784892,0.340547,0.139014,5.876678,0.012174
85,298,68,1089,8544,0.113049,0.814208,0.214852,0.814208,0.785148,0.339989,0.138714,5.869692,0.012183
86,297,69,1086,8547,0.112737,0.811475,0.214751,0.811475,0.785249,0.339623,0.138314,5.866914,0.012191
