"threshold","TP","TN","FP","FN"
0.0,176,0,1810,0
0.01,176,0,1810,0
0.02,176,0,1810,0
0.03,176,0,1810,0
0.04,176,0,1810,0
0.05,176,1,1809,0
0.060000000000000005,176,1,1809,0
0.07,176,1,1809,0
0.08,176,2,1808,0
0.09,176,3,1807,0
0.09999999999999999,352,14,3606,0
0.10999999999999999,352,14,3606,0
0.11999999999999998,176,8,1802,0
0.12999999999999998,176,9,1801,0
0.13999999999999999,176,14,1796,0
0.15,176,17,1793,0
0.16,176,21,1789,0
0.17,176,24,1786,0
0.18000000000000002,176,27,1783,0
0.19000000000000003,176,31,1779,0
0.20000000000000004,176,36,1774,0
0.21000000000000005,176,38,1772,0
0.22000000000000006,176,43,1767,0
0.23000000000000007,176,49,1761,0
0.24000000000000007,176,53,1757,0
0.25000000000000006,176,58,1752,0
0.26000000000000006,176,64,1746,0
0.2700000000000001,176,72,1738,0
0.2800000000000001,175,78,1732,1
0.2900000000000001,175,82,1728,1
0.3000000000000001,175,89,1721,1
0.3100000000000001,175,100,1710,1
0.3200000000000001,175,105,1705,1
0.3300000000000001,175,116,1694,1
0.34000000000000014,175,130,1680,1
0.35000000000000014,175,135,1675,1
0.36000000000000015,175,143,1667,1
0.37000000000000016,175,144,1666,1
0.38000000000000017,175,158,1652,1
0.3900000000000002,175,165,1645,1
0.4000000000000002,174,172,1638,2
0.4100000000000002,174,178,1632,2
0.4200000000000002,174,194,1616,2
0.4300000000000002,174,207,1603,2
0.4400000000000002,172,250,1560,4
0.45000000000000023,171,265,1545,5
0.46000000000000024,170,301,1509,6
0.47000000000000025,170,391,1419,6
0.48000000000000026,168,522,1288,8
0.49000000000000027,164,933,877,12
0.5000000000000002,161,1225,585,15
0.5100000000000002,161,1225,585,15
0.5200000000000002,161,1228,582,15
0.5300000000000002,161,1229,581,15
0.5400000000000003,161,1233,577,15
0.5500000000000003,161,1238,572,15
0.5600000000000003,161,1244,566,15
0.5700000000000003,161,1246,564,15
0.5800000000000003,161,1246,564,15
0.5900000000000003,161,1247,563,15
0.6000000000000003,161,1249,561,15
0.6100000000000003,161,1254,556,15
0.6200000000000003,160,1258,552,16
0.6300000000000003,158,1267,543,18
0.6400000000000003,158,1276,534,18
0.6500000000000004,158,1297,513,18
0.6600000000000004,153,1373,437,23
0.6700000000000004,25,1744,66,151
0.6800000000000004,25,1745,65,151
0.6900000000000004,25,1745,65,151
0.7000000000000004,25,1747,63,151
0.7100000000000004,25,1748,62,151
0.7200000000000004,25,1751,59,151
0.7300000000000004,24,1753,57,152
0.7400000000000004,22,1759,51,154
0.7500000000000004,0,1792,18,176
0.7600000000000005,0,1793,17,176
0.7700000000000005,0,1793,17,176
0.7800000000000005,0,1793,17,176
0.7900000000000005,0,1793,17,176
0.8000000000000005,0,1797,13,176
0.8100000000000005,0,1798,12,176
0.8200000000000005,0,1799,11,176
0.8300000000000005,0,1799,11,176
0.8400000000000005,0,1801,9,176
0.8500000000000005,0,1802,8,176
0.8600000000000005,0,1802,8,176
0.8700000000000006,0,1804,6,176
0.8800000000000006,0,1805,5,176
0.8900000000000006,0,1807,3,176
0.9000000000000006,0,1807,3,176
0.9100000000000006,0,1807,3,176
0.9200000000000006,0,1810,0,176
0.9300000000000006,0,1810,0,176
0.9400000000000006,0,1810,0,176
0.9500000000000006,0,1810,0,176
0.9600000000000006,0,1810,0,176
0.9700000000000006,0,1810,0,176
0.9800000000000006,0,1810,0,176
0.9900000000000007,0,1810,0,176
