"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,218,0,4211,0,1,1,0.049221,1,0.950779,0.093824,1,1,0.015589
1,207,11,3853,358,0.914985,0.949541,0.050985,0.949541,0.949015,0.096774,0.916685,1.035842,0.015948
2,198,20,3495,716,0.829969,0.908257,0.053615,0.908257,0.946385,0.101253,0.833823,1.089269,0.016147
3,191,27,3128,1083,0.742816,0.876147,0.057547,0.876147,0.942453,0.108001,0.749379,1.169164,0.016181
4,191,27,3125,1086,0.742104,0.876147,0.0576,0.876147,0.9424,0.108093,0.748702,1.170221,0.016219
5,191,27,3124,1087,0.741867,0.876147,0.057617,0.876147,0.942383,0.108123,0.748476,1.170574,0.016301
6,184,34,2764,1447,0.656376,0.844037,0.062415,0.844037,0.937585,0.116235,0.665613,1.268059,0.01632
7,177,41,2400,1811,0.569936,0.811927,0.068685,0.811927,0.931315,0.126655,0.581847,1.39543,0.016481
8,170,48,2043,2168,0.485158,0.779817,0.076819,0.779817,0.923181,0.13986,0.499661,1.56069,0.016518
9,170,48,2042,2169,0.48492,0.779817,0.076854,0.779817,0.923146,0.139918,0.499436,1.561396,0.016575
10,170,48,2041,2170,0.484683,0.779817,0.076888,0.779817,0.923112,0.139975,0.49921,1.562102,0.016696
11,163,55,1689,2522,0.401092,0.747706,0.088013,0.747706,0.911987,0.157488,0.418153,1.788116,0.016759
12,163,55,1688,2523,0.400855,0.747706,0.088061,0.747706,0.911939,0.157564,0.417927,1.789083,0.016876
13,163,55,1686,2525,0.40038,0.747706,0.088156,0.747706,0.911844,0.157716,0.417476,1.791018,0.0169
14,157,61,1324,2887,0.314415,0.720183,0.106009,0.720183,0.893991,0.184815,0.334387,2.153743,0.016976
15,153,65,964,3247,0.228924,0.701835,0.136974,0.701835,0.863026,0.229213,0.252201,2.782835,0.016978
16,150,68,593,3618,0.140822,0.688073,0.201884,0.688073,0.798116,0.312175,0.167758,4.101584,0.01707
17,150,68,592,3619,0.140584,0.688073,0.202156,0.688073,0.797844,0.3125,0.167532,4.107112,0.017207
18,150,68,591,3620,0.140347,0.688073,0.202429,0.688073,0.797571,0.312826,0.167306,4.112655,0.017249
19,150,68,590,3621,0.140109,0.688073,0.202703,0.688073,0.797297,0.313152,0.167081,4.118212,0.017251
20,150,68,589,3622,0.139872,0.688073,0.202977,0.688073,0.797023,0.31348,0.166855,4.123785,0.01728
