"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,212,0,5099,0,1,1,0.039917,1,0.960083,0.07677,1,1,0.012164
1,205,7,4683,416,0.918415,0.966981,0.041939,0.966981,0.958061,0.080392,0.920354,1.050662,0.012166
2,199,13,4257,842,0.83487,0.938679,0.044659,0.938679,0.955341,0.085261,0.839013,1.118789,0.012244
3,193,19,3827,1272,0.750539,0.910377,0.04801,0.910377,0.95199,0.09121,0.75692,1.20274,0.012288
4,189,23,3405,1694,0.667778,0.891509,0.052588,0.891509,0.947412,0.099317,0.676709,1.31742,0.012403
5,189,23,3404,1695,0.667582,0.891509,0.052602,0.891509,0.947398,0.099343,0.67652,1.317786,0.012421
6,181,31,2970,2129,0.582467,0.853774,0.057442,0.853774,0.942558,0.107642,0.593297,1.439033,0.012516
7,175,37,2533,2566,0.496764,0.825472,0.064623,0.825472,0.935377,0.119863,0.509885,1.618937,0.01252
8,169,43,2098,3001,0.411453,0.79717,0.074548,0.79717,0.925452,0.136345,0.42685,1.867565,0.012623
9,166,46,1678,3421,0.329084,0.783019,0.090022,0.783019,0.909978,0.161479,0.347204,2.255213,0.012655
10,166,46,1677,3422,0.328888,0.783019,0.090071,0.783019,0.909929,0.161557,0.347016,2.256437,0.012696
11,166,46,1676,3423,0.328692,0.783019,0.090119,0.783019,0.909881,0.161636,0.346827,2.257662,0.012701
12,162,50,1242,3857,0.243577,0.764151,0.115385,0.764151,0.884615,0.200495,0.264357,2.890602,0.012754
13,162,50,1241,3858,0.243381,0.764151,0.115467,0.764151,0.884533,0.200619,0.264169,2.892663,0.012787
14,158,54,823,4276,0.161404,0.745283,0.16106,0.745283,0.83894,0.264878,0.184711,4.03486,0.012915
15,158,54,821,4278,0.161012,0.745283,0.161389,0.745283,0.838611,0.265323,0.184334,4.043103,0.012926
16,158,54,820,4279,0.160816,0.745283,0.161554,0.745283,0.838446,0.265546,0.184146,4.047237,0.012967
17,158,54,819,4280,0.16062,0.745283,0.16172,0.745283,0.83828,0.26577,0.183958,4.05138,0.013012
18,158,54,818,4281,0.160424,0.745283,0.161885,0.745283,0.838115,0.265993,0.18377,4.055531,0.013196
19,158,54,817,4282,0.160227,0.745283,0.162051,0.745283,0.837949,0.266217,0.183581,4.05969,0.013203
