"threshold","TP","TN","FP","FN"
0.0,216,0,2565,0
0.01,216,2,2563,0
0.02,215,5,2560,1
0.03,215,8,2557,1
0.04,215,9,2556,1
0.05,215,13,2552,1
0.060000000000000005,215,16,2549,1
0.07,215,19,2546,1
0.08,215,22,2543,1
0.09,215,25,2540,1
0.09999999999999999,430,64,5066,2
0.10999999999999999,430,64,5066,2
0.11999999999999998,215,39,2526,1
0.12999999999999998,215,44,2521,1
0.13999999999999999,215,50,2515,1
0.15,215,51,2514,1
0.16,215,59,2506,1
0.17,215,64,2501,1
0.18000000000000002,215,68,2497,1
0.19000000000000003,215,78,2487,1
0.20000000000000004,215,81,2484,1
0.21000000000000005,215,87,2478,1
0.22000000000000006,215,95,2470,1
0.23000000000000007,215,100,2465,1
0.24000000000000007,215,108,2457,1
0.25000000000000006,215,123,2442,1
0.26000000000000006,215,127,2438,1
0.2700000000000001,215,135,2430,1
0.2800000000000001,215,139,2426,1
0.2900000000000001,215,148,2417,1
0.3000000000000001,215,160,2405,1
0.3100000000000001,215,168,2397,1
0.3200000000000001,215,178,2387,1
0.3300000000000001,215,187,2378,1
0.34000000000000014,215,199,2366,1
0.35000000000000014,215,215,2350,1
0.36000000000000015,215,227,2338,1
0.37000000000000016,215,236,2329,1
0.38000000000000017,215,253,2312,1
0.3900000000000002,215,278,2287,1
0.4000000000000002,215,306,2259,1
0.4100000000000002,215,321,2244,1
0.4200000000000002,215,338,2227,1
0.4300000000000002,215,355,2210,1
0.4400000000000002,215,428,2137,1
0.45000000000000023,215,442,2123,1
0.46000000000000024,213,500,2065,3
0.47000000000000025,211,598,1967,5
0.48000000000000026,209,826,1739,7
0.49000000000000027,209,1407,1158,7
0.5000000000000002,207,1760,805,9
0.5100000000000002,207,1761,804,9
0.5200000000000002,207,1767,798,9
0.5300000000000002,207,1770,795,9
0.5400000000000003,207,1773,792,9
0.5500000000000003,207,1777,788,9
0.5600000000000003,207,1780,785,9
0.5700000000000003,206,1786,779,10
0.5800000000000003,206,1790,775,10
0.5900000000000003,206,1795,770,10
0.6000000000000003,205,1798,767,11
0.6100000000000003,205,1802,763,11
0.6200000000000003,205,1804,761,11
0.6300000000000003,205,1813,752,11
0.6400000000000003,205,1818,747,11
0.6500000000000004,204,1847,718,12
0.6600000000000004,194,1939,626,22
0.6700000000000004,31,2462,103,185
0.6800000000000004,31,2465,100,185
0.6900000000000004,31,2466,99,185
0.7000000000000004,31,2468,97,185
0.7100000000000004,31,2472,93,185
0.7200000000000004,31,2479,86,185
0.7300000000000004,31,2484,81,185
0.7400000000000004,30,2491,74,186
0.7500000000000004,6,2527,38,210
0.7600000000000005,6,2532,33,210
0.7700000000000005,6,2533,32,210
0.7800000000000005,5,2535,30,211
0.7900000000000005,5,2537,28,211
0.8000000000000005,4,2540,25,212
0.8100000000000005,4,2543,22,212
0.8200000000000005,4,2545,20,212
0.8300000000000005,4,2550,15,212
0.8400000000000005,0,2551,14,216
0.8500000000000005,0,2553,12,216
0.8600000000000005,0,2555,10,216
0.8700000000000006,0,2557,8,216
0.8800000000000006,0,2559,6,216
0.8900000000000006,0,2559,6,216
0.9000000000000006,0,2559,6,216
0.9100000000000006,0,2559,6,216
0.9200000000000006,0,2559,6,216
0.9300000000000006,0,2561,4,216
0.9400000000000006,0,2562,3,216
0.9500000000000006,0,2563,2,216
0.9600000000000006,0,2563,2,216
0.9700000000000006,0,2563,2,216
0.9800000000000006,0,2563,2,216
0.9900000000000007,0,2564,1,216
