"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,410,0,13528,0,1,1,0.029416,1,0.970584,0.057151,1,1,0.007747
1,395,15,12330,1198,0.911443,0.963415,0.031041,0.963415,0.968959,0.060145,0.912972,1.055251,0.007978
2,385,25,11133,2395,0.82296,0.939024,0.033426,0.939024,0.966574,0.064554,0.826374,1.136319,0.007983
3,373,37,9925,3603,0.733664,0.909756,0.036221,0.909756,0.963779,0.069668,0.738843,1.231325,0.008064
4,363,47,8742,4786,0.646215,0.885366,0.039868,0.885366,0.960132,0.076301,0.65325,1.355324,0.008177
5,355,55,7537,5991,0.557141,0.865854,0.044982,0.865854,0.955018,0.085522,0.566222,1.529177,0.008182
6,344,66,6329,7199,0.467844,0.839024,0.051551,0.839024,0.948449,0.097134,0.478763,1.752483,0.008227
7,344,66,6328,7200,0.467771,0.839024,0.051559,0.839024,0.948441,0.097148,0.478691,1.752746,0.008266
8,335,75,5130,8398,0.379213,0.817073,0.061299,0.817073,0.938701,0.114043,0.392094,2.083873,0.00835
9,329,81,3965,9563,0.293096,0.802439,0.076619,0.802439,0.923381,0.139881,0.308079,2.604657,0.008392
10,324,86,2760,10768,0.204021,0.790244,0.105058,0.790244,0.894942,0.185461,0.221266,3.571472,0.008442
11,319,91,1584,11944,0.11709,0.778049,0.16763,0.778049,0.83237,0.275832,0.136533,5.698604,0.008451
12,319,91,1583,11945,0.117017,0.778049,0.167718,0.778049,0.832282,0.275952,0.136461,5.7016,0.008746
13,319,91,1581,11947,0.116869,0.778049,0.167895,0.778049,0.832105,0.27619,0.136318,5.707602,0.009009
14,319,91,1580,11948,0.116795,0.778049,0.167983,0.778049,0.832017,0.27631,0.136246,5.710608,0.009162
15,319,91,1578,11950,0.116647,0.778049,0.16816,0.778049,0.83184,0.27655,0.136103,5.716628,0.009207
16,319,91,1577,11951,0.116573,0.778049,0.168249,0.778049,0.831751,0.27667,0.136031,5.719643,0.009286
17,319,91,1576,11952,0.116499,0.778049,0.168338,0.778049,0.831662,0.27679,0.135959,5.722662,0.009319
18,319,91,1575,11953,0.116425,0.778049,0.168427,0.778049,0.831573,0.27691,0.135888,5.725683,0.009376
19,319,91,1574,11954,0.116351,0.778049,0.168516,0.778049,0.831484,0.27703,0.135816,5.728708,0.009416
20,319,91,1573,11955,0.116277,0.778049,0.168605,0.778049,0.831395,0.27715,0.135744,5.731736,0.009455
21,319,91,1572,11956,0.116203,0.778049,0.168694,0.778049,0.831306,0.277271,0.135672,5.734767,0.00963
22,319,91,1571,11957,0.11613,0.778049,0.168783,0.778049,0.831217,0.277391,0.135601,5.737801,0.009869
23,319,91,1568,11960,0.115908,0.778049,0.169051,0.778049,0.830949,0.277754,0.135385,5.746923,0.009996
24,318,92,1567,11961,0.115834,0.77561,0.1687,0.77561,0.8313,0.277124,0.135242,5.734986,0.010085
25,317,93,1566,11962,0.11576,0.773171,0.168348,0.773171,0.831652,0.276494,0.135098,5.723024,0.010231
26,317,93,1563,11965,0.115538,0.773171,0.168617,0.773171,0.831383,0.276856,0.134883,5.732156,0.010369
27,317,93,1562,11966,0.115464,0.773171,0.168707,0.773171,0.831293,0.276977,0.134811,5.735207,0.010706
28,317,93,1560,11968,0.115316,0.773171,0.168887,0.773171,0.831113,0.277219,0.134668,5.741318,0.010797
29,317,93,1559,11969,0.115242,0.773171,0.168977,0.773171,0.831023,0.27734,0.134596,5.744378,0.010812
30,317,93,1558,11970,0.115169,0.773171,0.169067,0.773171,0.830933,0.277462,0.134524,5.747442,0.010837
31,317,93,1556,11972,0.115021,0.773171,0.169247,0.773171,0.830753,0.277705,0.134381,5.753579,0.011139
32,316,94,1555,11973,0.114947,0.770732,0.168894,0.770732,0.831106,0.277071,0.134237,5.74156,0.01123
33,316,94,1554,11974,0.114873,0.770732,0.168984,0.770732,0.831016,0.277193,0.134166,5.74463,0.011331
34,314,96,1554,11974,0.114873,0.765854,0.168094,0.765854,0.831906,0.27568,0.134022,5.714383,0.011528
35,313,97,1553,11975,0.114799,0.763415,0.167738,0.763415,0.832262,0.275044,0.133879,5.70229,0.011705
36,313,97,1552,11976,0.114725,0.763415,0.167828,0.763415,0.832172,0.275165,0.133807,5.705348,0.011726
37,313,97,1551,11977,0.114651,0.763415,0.167918,0.763415,0.832082,0.275286,0.133735,5.708408,0.011732
38,312,98,1549,11979,0.114503,0.760976,0.167652,0.760976,0.832348,0.274769,0.13352,5.699343,0.011741
39,310,100,1548,11980,0.114429,0.756098,0.166846,0.756098,0.833154,0.273369,0.133305,5.671953,0.011829
40,310,100,1547,11981,0.114355,0.756098,0.166936,0.756098,0.833064,0.273489,0.133233,5.675007,0.012202
41,308,102,1544,11984,0.114134,0.75122,0.166307,0.75122,0.833693,0.272325,0.132874,5.653616,0.012232
42,308,102,1543,11985,0.11406,0.75122,0.166397,0.75122,0.833603,0.272446,0.132802,5.656671,0.012385
43,307,103,1541,11987,0.113912,0.74878,0.166126,0.74878,0.833874,0.271922,0.132587,5.647458,0.01258
44,306,104,1537,11991,0.113616,0.746341,0.166034,0.746341,0.833966,0.271638,0.132228,5.644334,0.012726
45,306,104,1535,11993,0.113468,0.746341,0.166214,0.746341,0.833786,0.271879,0.132085,5.650466,0.012783
46,306,104,1531,11997,0.113173,0.746341,0.166576,0.746341,0.833424,0.272363,0.131798,5.662769,0.0128
47,306,104,1529,11999,0.113025,0.746341,0.166757,0.746341,0.833243,0.272606,0.131654,5.668941,0.012854
48,306,104,1527,12001,0.112877,0.746341,0.166939,0.746341,0.833061,0.272849,0.131511,5.675127,0.012865
