"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,246,0,4588,0,1,1,0.05089,1,0.94911,0.09685,1,1,0.014811
1,237,9,4202,386,0.915867,0.963415,0.05339,0.963415,0.94661,0.101174,0.918287,1.049143,0.015055
2,237,9,4200,388,0.915432,0.963415,0.053414,0.963415,0.946586,0.101217,0.917873,1.049616,0.015092
3,230,16,3813,775,0.831081,0.934959,0.056888,0.934959,0.943112,0.107251,0.836367,1.117881,0.015127
4,221,25,3422,1166,0.745859,0.898374,0.060664,0.898374,0.939336,0.113654,0.75362,1.192078,0.015182
5,216,30,3045,1543,0.663688,0.878049,0.066237,0.878049,0.933763,0.123182,0.674597,1.301591,0.015288
6,210,36,2661,1927,0.579991,0.853659,0.073145,0.853659,0.926855,0.134745,0.593918,1.437334,0.015355
7,203,43,2272,2316,0.495205,0.825203,0.08202,0.825203,0.91798,0.14921,0.511998,1.61173,0.015438
8,196,50,1875,2713,0.408675,0.796748,0.09464,0.796748,0.90536,0.169184,0.428424,1.85972,0.015444
9,196,50,1874,2714,0.408457,0.796748,0.094686,0.796748,0.905314,0.169257,0.428217,1.860618,0.015567
10,196,50,1873,2715,0.408239,0.796748,0.094732,0.796748,0.905268,0.16933,0.42801,1.861517,0.015571
11,190,56,1483,3105,0.323235,0.772358,0.113568,0.772358,0.886432,0.19802,0.34609,2.231666,0.015589
12,190,56,1482,3106,0.323017,0.772358,0.113636,0.772358,0.886364,0.198123,0.345883,2.233001,0.015641
13,184,62,1085,3503,0.236486,0.747967,0.144996,0.747967,0.855004,0.242904,0.262516,2.849232,0.015646
14,184,62,1084,3504,0.236269,0.747967,0.14511,0.747967,0.85489,0.243065,0.262309,2.851479,0.015725
15,184,62,1083,3505,0.236051,0.747967,0.145225,0.747967,0.854775,0.243225,0.262102,2.853729,0.015798
16,178,68,687,3901,0.149738,0.723577,0.20578,0.723577,0.79422,0.320432,0.178941,4.043667,0.015881
17,178,68,686,3902,0.14952,0.723577,0.206019,0.723577,0.793981,0.320721,0.178734,4.048348,0.015931
18,178,68,685,3903,0.149303,0.723577,0.206257,0.723577,0.793743,0.32101,0.178527,4.053039,0.015955
19,178,68,683,3905,0.148867,0.723577,0.206736,0.723577,0.793264,0.32159,0.178113,4.062453,0.016028
20,178,68,680,3908,0.148213,0.723577,0.207459,0.723577,0.792541,0.322464,0.177493,4.076658,0.016089
21,178,68,679,3909,0.147995,0.723577,0.207701,0.723577,0.792299,0.322756,0.177286,4.081415,0.016111
22,178,68,677,3911,0.147559,0.723577,0.208187,0.723577,0.791813,0.323342,0.176872,4.090962,0.01613
23,178,68,676,3912,0.147341,0.723577,0.208431,0.723577,0.791569,0.323636,0.176665,4.095752,0.016233
24,178,68,675,3913,0.147123,0.723577,0.208675,0.723577,0.791325,0.323931,0.176458,4.100554,0.016239
25,178,68,674,3914,0.146905,0.723577,0.20892,0.723577,0.79108,0.324226,0.176252,4.105367,0.016352
26,178,68,673,3915,0.146687,0.723577,0.209166,0.723577,0.790834,0.324521,0.176045,4.110191,0.016395
27,178,68,672,3916,0.146469,0.723577,0.209412,0.723577,0.790588,0.324818,0.175838,4.115026,0.016399
28,178,68,671,3917,0.146251,0.723577,0.209658,0.723577,0.790342,0.325114,0.175631,4.119873,0.016399
29,178,68,670,3918,0.146033,0.723577,0.209906,0.723577,0.790094,0.325411,0.175424,4.124732,0.016517
30,178,68,668,3920,0.145597,0.723577,0.210402,0.723577,0.789598,0.326007,0.17501,4.134483,0.01654
31,178,68,666,3922,0.145161,0.723577,0.2109,0.723577,0.7891,0.326606,0.174597,4.14428,0.016569
32,178,68,664,3924,0.144725,0.723577,0.211401,0.723577,0.788599,0.327206,0.174183,4.154124,0.016684
33,178,68,663,3925,0.144507,0.723577,0.211653,0.723577,0.788347,0.327507,0.173976,4.159063,0.016697
34,178,68,661,3927,0.144071,0.723577,0.212157,0.723577,0.787843,0.328111,0.173562,4.168978,0.016698
