"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,232,0,4521,0,1,1,0.048811,1,0.951189,0.093079,1,1,0.015886
1,224,8,4140,381,0.915727,0.965517,0.051329,0.965517,0.948671,0.097476,0.918157,1.051582,0.015921
2,214,18,3756,765,0.83079,0.922414,0.053904,0.922414,0.946096,0.101856,0.835262,1.104341,0.0162
3,214,18,3755,766,0.830568,0.922414,0.053918,0.922414,0.946082,0.101881,0.835052,1.104619,0.016288
4,208,24,3370,1151,0.74541,0.896552,0.058133,0.896552,0.941867,0.109186,0.752788,1.190976,0.016424
5,200,32,2985,1536,0.660252,0.862069,0.062794,0.862069,0.937206,0.117062,0.670103,1.286472,0.016488
6,193,39,2601,1920,0.575315,0.831897,0.069077,0.831897,0.930923,0.127561,0.587839,1.415177,0.016745
7,193,39,2600,1921,0.575094,0.831897,0.069101,0.831897,0.930899,0.127603,0.587629,1.415684,0.016939
8,193,39,2599,1922,0.574873,0.831897,0.069126,0.831897,0.930874,0.127646,0.587418,1.416191,0.017015
9,186,46,2213,2308,0.489493,0.801724,0.077532,0.801724,0.922468,0.141391,0.504734,1.58841,0.017091
10,186,46,2211,2310,0.489051,0.801724,0.077597,0.801724,0.922403,0.141499,0.504313,1.589735,0.017259
11,179,53,1820,2701,0.402566,0.771552,0.089545,0.771552,0.910455,0.160466,0.420576,1.83451,0.01733
12,179,53,1819,2702,0.402345,0.771552,0.08959,0.771552,0.91041,0.160538,0.420366,1.835428,0.017336
13,172,60,1421,3100,0.314311,0.741379,0.107972,0.741379,0.892028,0.188493,0.335157,2.212038,0.017339
14,172,60,1419,3102,0.313869,0.741379,0.108108,0.741379,0.891892,0.1887,0.334736,2.214818,0.017394
15,167,65,1036,3485,0.229153,0.719828,0.13882,0.719828,0.86118,0.232753,0.253103,2.844007,0.017464
16,167,65,1035,3486,0.228932,0.719828,0.138935,0.719828,0.861065,0.232915,0.252893,2.846373,0.017558
17,167,65,1034,3487,0.22871,0.719828,0.139051,0.719828,0.860949,0.233077,0.252683,2.848743,0.017673
18,165,67,653,3868,0.144437,0.711207,0.201711,0.711207,0.798289,0.314286,0.172102,4.132477,0.017677
19,165,67,651,3870,0.143995,0.711207,0.202206,0.711207,0.797794,0.314885,0.171681,4.142606,0.0177
20,165,67,649,3872,0.143552,0.711207,0.202703,0.711207,0.797297,0.315488,0.17126,4.152784,0.017715
21,165,67,648,3873,0.143331,0.711207,0.202952,0.711207,0.797048,0.315789,0.17105,4.157892,0.017731
22,165,67,647,3874,0.14311,0.711207,0.203202,0.711207,0.796798,0.316092,0.170839,4.163013,0.017745
23,165,67,644,3877,0.142446,0.711207,0.203956,0.711207,0.796044,0.317003,0.170208,4.17845,0.01775
24,165,67,643,3878,0.142225,0.711207,0.204208,0.711207,0.795792,0.317308,0.169998,4.183622,0.017956
25,165,67,641,3880,0.141783,0.711207,0.204715,0.711207,0.795285,0.317919,0.169577,4.194003,0.01797
26,165,67,639,3882,0.14134,0.711207,0.205224,0.711207,0.794776,0.318533,0.169156,4.204436,0.017977
27,165,67,637,3884,0.140898,0.711207,0.205736,0.711207,0.794264,0.319149,0.168736,4.214921,0.018063
28,165,67,635,3886,0.140456,0.711207,0.20625,0.711207,0.79375,0.319767,0.168315,4.225458,0.018084
29,165,67,634,3887,0.140234,0.711207,0.206508,0.711207,0.793492,0.320078,0.168104,4.230746,0.018182
30,165,67,633,3888,0.140013,0.711207,0.206767,0.711207,0.793233,0.320388,0.167894,4.236048,0.018296
31,165,67,631,3890,0.139571,0.711207,0.207286,0.711207,0.792714,0.321012,0.167473,4.246691,0.018345
32,165,67,629,3892,0.139129,0.711207,0.207809,0.711207,0.792191,0.321637,0.167052,4.257388,0.018412
33,165,67,627,3894,0.138686,0.711207,0.208333,0.711207,0.791667,0.322266,0.166632,4.268139,0.018438
34,165,67,626,3895,0.138465,0.711207,0.208597,0.711207,0.791403,0.322581,0.166421,4.273535,0.018681
35,165,67,625,3896,0.138244,0.711207,0.208861,0.711207,0.791139,0.322896,0.166211,4.278945,0.018682
36,165,67,624,3897,0.138023,0.711207,0.209125,0.711207,0.790875,0.323213,0.166,4.284368,0.018757
37,165,67,623,3898,0.137801,0.711207,0.209391,0.711207,0.790609,0.323529,0.16579,4.289805,0.018862
38,165,67,621,3900,0.137359,0.711207,0.209924,0.711207,0.790076,0.324165,0.165369,4.300721,0.018886
39,165,67,620,3901,0.137138,0.711207,0.210191,0.711207,0.789809,0.324484,0.165159,4.306199,0.018941
40,165,67,618,3903,0.136695,0.711207,0.210728,0.711207,0.789272,0.325123,0.164738,4.317198,0.019152
41,165,67,616,3905,0.136253,0.711207,0.211268,0.711207,0.788732,0.325765,0.164317,4.328254,0.019251
42,165,67,613,3908,0.135589,0.711207,0.212082,0.711207,0.787918,0.326733,0.163686,4.344944,0.019317
43,165,67,612,3909,0.135368,0.711207,0.212355,0.711207,0.787645,0.327056,0.163476,4.350536,0.019417
44,165,67,611,3910,0.135147,0.711207,0.212629,0.711207,0.787371,0.327381,0.163265,4.356142,0.019474
45,165,67,610,3911,0.134926,0.711207,0.212903,0.711207,0.787097,0.327706,0.163055,4.361763,0.019746
46,165,67,609,3912,0.134705,0.711207,0.213178,0.711207,0.786822,0.328032,0.162845,4.367398,0.019776
47,165,67,608,3913,0.134484,0.711207,0.213454,0.711207,0.786546,0.328358,0.162634,4.373048,0.019781
48,165,67,607,3914,0.134262,0.711207,0.213731,0.711207,0.786269,0.328685,0.162424,4.378713,0.019805
49,165,67,606,3915,0.134041,0.711207,0.214008,0.711207,0.785992,0.329013,0.162213,4.384392,0.020267
50,165,67,604,3917,0.133599,0.711207,0.214564,0.711207,0.785436,0.32967,0.161793,4.395795,0.020327
51,165,67,603,3918,0.133378,0.711207,0.214844,0.711207,0.785156,0.33,0.161582,4.401519,0.020347
52,165,67,601,3920,0.132935,0.711207,0.215405,0.711207,0.784595,0.330661,0.161161,4.413011,0.020384
53,165,67,599,3922,0.132493,0.711207,0.215969,0.711207,0.784031,0.331325,0.160741,4.424563,0.020516
54,164,68,597,3924,0.13205,0.706897,0.215506,0.706897,0.784494,0.330312,0.160109,4.415085,0.020884
55,162,70,597,3924,0.13205,0.698276,0.213439,0.698276,0.786561,0.326942,0.159689,4.372734,0.020886
56,162,70,595,3926,0.131608,0.698276,0.214003,0.698276,0.785997,0.327604,0.159268,4.384287,0.02093
57,162,70,594,3927,0.131387,0.698276,0.214286,0.698276,0.785714,0.327935,0.159057,4.390086,0.020952
58,162,70,592,3929,0.130944,0.698276,0.214854,0.698276,0.785146,0.3286,0.158637,4.401731,0.021136
59,160,72,588,3933,0.13006,0.689655,0.213904,0.689655,0.786096,0.326531,0.157374,4.382261,0.021489
60,160,72,586,3935,0.129617,0.689655,0.214477,0.689655,0.785523,0.327198,0.156954,4.394009,0.021633
61,160,72,585,3936,0.129396,0.689655,0.214765,0.689655,0.785235,0.327533,0.156743,4.399907,0.02173
62,160,72,583,3938,0.128954,0.689655,0.215343,0.689655,0.784657,0.328205,0.156322,4.411751,0.021966
63,160,72,580,3941,0.12829,0.689655,0.216216,0.689655,0.783784,0.329218,0.155691,4.429637,0.02225
64,160,72,579,3942,0.128069,0.689655,0.216509,0.689655,0.783491,0.329557,0.155481,4.435631,0.022476
65,160,72,577,3944,0.127627,0.689655,0.217096,0.689655,0.782904,0.330237,0.15506,4.447668,0.022507
66,160,72,576,3945,0.127405,0.689655,0.217391,0.689655,0.782609,0.330579,0.15485,4.453711,0.023075
67,160,72,575,3946,0.127184,0.689655,0.217687,0.689655,0.782313,0.33092,0.154639,4.45977,0.023114
68,160,72,572,3949,0.126521,0.689655,0.218579,0.689655,0.781421,0.33195,0.154008,4.478048,0.023274
69,158,74,572,3949,0.126521,0.681034,0.216438,0.681034,0.783562,0.328482,0.153587,4.434188,0.023351
70,158,74,571,3950,0.126299,0.681034,0.216735,0.681034,0.783265,0.328824,0.153377,4.44027,0.023535
71,158,74,569,3952,0.125857,0.681034,0.217331,0.681034,0.782669,0.32951,0.152956,4.452485,0.023812
72,158,74,566,3955,0.125194,0.681034,0.218232,0.681034,0.781768,0.330544,0.152325,4.470935,0.023817
73,158,74,563,3958,0.12453,0.681034,0.21914,0.681034,0.78086,0.331584,0.151694,4.489538,0.024072
74,156,76,562,3959,0.124309,0.672414,0.21727,0.672414,0.78273,0.328421,0.151062,4.451229,0.024108
75,156,76,561,3960,0.124088,0.672414,0.217573,0.672414,0.782427,0.328767,0.150852,4.457438,0.024129
76,156,76,560,3961,0.123866,0.672414,0.217877,0.672414,0.782123,0.329114,0.150642,4.463663,0.024661
77,156,76,558,3963,0.123424,0.672414,0.218487,0.672414,0.781513,0.32981,0.150221,4.476166,0.024916
78,156,76,555,3966,0.12276,0.672414,0.219409,0.672414,0.780591,0.330859,0.14959,4.495053,0.024928
79,156,76,553,3968,0.122318,0.672414,0.220028,0.672414,0.779972,0.331562,0.149169,4.507733,0.024938
80,156,76,552,3969,0.122097,0.672414,0.220339,0.672414,0.779661,0.331915,0.148959,4.5141,0.025146
81,156,76,549,3972,0.121433,0.672414,0.221277,0.672414,0.778723,0.332978,0.148327,4.533309,0.025537
82,156,76,548,3973,0.121212,0.672414,0.221591,0.672414,0.778409,0.333333,0.148117,4.539748,0.025732
83,156,76,547,3974,0.120991,0.672414,0.221906,0.672414,0.778094,0.33369,0.147907,4.546206,0.025781
84,156,76,546,3975,0.12077,0.672414,0.222222,0.672414,0.777778,0.334047,0.147696,4.552682,0.025798
85,156,76,545,3976,0.120549,0.672414,0.222539,0.672414,0.777461,0.334405,0.147486,4.559177,0.025856
86,156,76,544,3977,0.120327,0.672414,0.222857,0.672414,0.777143,0.334764,0.147275,4.56569,0.026983
87,156,76,543,3978,0.120106,0.672414,0.223176,0.672414,0.776824,0.335124,0.147065,4.572221,0.027072
88,155,77,543,3978,0.120106,0.668103,0.222063,0.668103,0.777937,0.333333,0.146855,4.549421,0.027642
89,155,77,542,3979,0.119885,0.668103,0.222382,0.668103,0.777618,0.333692,0.146644,4.555948,0.027692
90,155,77,540,3981,0.119443,0.668103,0.223022,0.668103,0.776978,0.334412,0.146223,4.569059,0.027786
91,155,77,539,3982,0.119221,0.668103,0.223343,0.668103,0.776657,0.334773,0.146013,4.575642,0.028772
92,155,77,538,3983,0.119,0.668103,0.223665,0.668103,0.776335,0.335135,0.145803,4.582245,0.030686
93,155,77,535,3986,0.118337,0.668103,0.224638,0.668103,0.775362,0.336226,0.145171,4.602168,0.031067
94,152,80,533,3988,0.117894,0.655172,0.221898,0.655172,0.778102,0.331516,0.14412,4.546036,0.031268
95,149,83,533,3988,0.117894,0.642241,0.218475,0.642241,0.781525,0.326039,0.143488,4.475914,0.031424
96,148,84,532,3989,0.117673,0.637931,0.217647,0.637931,0.782353,0.324561,0.143068,4.45895,0.031468
97,147,85,526,3995,0.116346,0.633621,0.218425,0.633621,0.781575,0.324862,0.141595,4.474887,0.0315
98,147,85,523,3998,0.115682,0.633621,0.219403,0.633621,0.780597,0.325942,0.140964,4.494924,0.032209
99,146,86,522,3999,0.115461,0.62931,0.218563,0.62931,0.781437,0.324444,0.140543,4.477713,0.032214
100,144,88,520,4001,0.115019,0.62069,0.216867,0.62069,0.783133,0.321429,0.139701,4.442979,0.032372
101,144,88,516,4005,0.114134,0.62069,0.218182,0.62069,0.781818,0.32287,0.13886,4.469906,0.03239
102,144,88,514,4007,0.113692,0.62069,0.218845,0.62069,0.781155,0.323596,0.138439,4.483492,0.035704
103,144,88,513,4008,0.11347,0.62069,0.219178,0.62069,0.780822,0.32396,0.138228,4.490316,0.035719
104,144,88,512,4009,0.113249,0.62069,0.219512,0.62069,0.780488,0.324324,0.138018,4.497161,0.035866
105,144,88,511,4010,0.113028,0.62069,0.219847,0.62069,0.780153,0.32469,0.137808,4.504027,0.038422
106,143,89,511,4010,0.113028,0.616379,0.218654,0.616379,0.781346,0.322799,0.137597,4.479588,0.039963
107,143,89,510,4011,0.112807,0.616379,0.218989,0.616379,0.781011,0.323164,0.137387,4.486448,0.040257
108,143,89,509,4012,0.112586,0.616379,0.219325,0.616379,0.780675,0.323529,0.137177,4.49333,0.04265
109,141,91,504,4017,0.11148,0.607759,0.218605,0.607759,0.781395,0.321551,0.135704,4.478569,0.042732
110,139,93,503,4018,0.111259,0.599138,0.216511,0.599138,0.783489,0.318078,0.135073,4.435674,0.042858
111,138,94,502,4019,0.111037,0.594828,0.215625,0.594828,0.784375,0.316514,0.134652,4.417524,0.043285
112,135,97,495,4026,0.109489,0.581897,0.214286,0.581897,0.785714,0.313225,0.132548,4.390086,0.043378
113,135,97,493,4028,0.109047,0.581897,0.214968,0.581897,0.785032,0.313953,0.132127,4.404067,0.043382
114,134,98,489,4032,0.108162,0.577586,0.215088,0.577586,0.784912,0.31345,0.131075,4.406528,0.04389
115,132,100,482,4039,0.106614,0.568966,0.214984,0.568966,0.785016,0.312057,0.129182,4.404386,0.044236
116,131,101,476,4045,0.105286,0.564655,0.215815,0.564655,0.784185,0.312277,0.127709,4.421427,0.044325
117,130,102,473,4048,0.104623,0.560345,0.215589,0.560345,0.784411,0.311377,0.126867,4.416781,0.044331
118,130,102,470,4051,0.103959,0.560345,0.216667,0.560345,0.783333,0.3125,0.126236,4.438865,0.053593
119,130,102,469,4052,0.103738,0.560345,0.217028,0.560345,0.782972,0.312876,0.126026,4.446275,0.053995
120,130,102,468,4053,0.103517,0.560345,0.217391,0.560345,0.782609,0.313253,0.125815,4.453711,0.062759
121,129,103,468,4053,0.103517,0.556034,0.21608,0.556034,0.78392,0.311218,0.125605,4.426854,0.063301
122,129,103,467,4054,0.103296,0.556034,0.216443,0.556034,0.783557,0.311594,0.125394,4.434282,0.068731
123,129,103,466,4055,0.103075,0.556034,0.216807,0.556034,0.783193,0.311971,0.125184,4.441734,0.071314
124,128,104,466,4055,0.103075,0.551724,0.215488,0.551724,0.784512,0.309927,0.124974,4.414722,0.091286
125,124,108,456,4065,0.100863,0.534483,0.213793,0.534483,0.786207,0.305419,0.122028,4.379994,0.092281
126,120,112,443,4078,0.097987,0.517241,0.213144,0.517241,0.786856,0.301887,0.118452,4.366693,0.094217
