"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,328,0,7651,0,1,1,0.041108,1,0.958892,0.07897,1,1,0.00936
1,319,9,6988,663,0.913345,0.972561,0.043657,0.972561,0.956343,0.083563,0.915779,1.062004,0.009592
2,310,18,6317,1334,0.825644,0.945122,0.046778,0.945122,0.953222,0.089145,0.830555,1.13794,0.009654
3,303,25,5630,2021,0.735852,0.92378,0.05107,0.92378,0.94893,0.09679,0.743577,1.242347,0.009806
4,297,31,4965,2686,0.648935,0.905488,0.056442,0.905488,0.943558,0.106261,0.659481,1.373031,0.00981
5,290,38,4276,3375,0.558881,0.884146,0.063513,0.884146,0.936487,0.118512,0.572252,1.545029,0.00984
6,290,38,4273,3378,0.558489,0.884146,0.063555,0.884146,0.936445,0.118585,0.571876,1.546045,0.009889
7,285,43,3605,4046,0.47118,0.868902,0.073265,0.868902,0.926735,0.135135,0.48753,1.782255,0.009929
8,278,50,2929,4722,0.382826,0.847561,0.086685,0.847561,0.913315,0.157284,0.40193,2.108727,0.009965
9,270,58,2258,5393,0.295125,0.823171,0.106804,0.823171,0.893196,0.189076,0.316832,2.598133,0.010136
10,270,58,2257,5394,0.294994,0.823171,0.106846,0.823171,0.893154,0.189142,0.316706,2.599161,0.010165
11,267,61,1581,6070,0.20664,0.814024,0.144481,0.814024,0.855519,0.245404,0.231608,3.514665,0.010268
12,267,61,1580,6071,0.206509,0.814024,0.144559,0.814024,0.855441,0.245517,0.231483,3.516568,0.010369
13,267,61,1578,6073,0.206248,0.814024,0.144715,0.814024,0.855285,0.245743,0.231232,3.52038,0.010394
14,267,61,1577,6074,0.206117,0.814024,0.144794,0.814024,0.855206,0.245856,0.231107,3.522289,0.010422
15,266,62,918,6733,0.119984,0.810976,0.224662,0.810976,0.775338,0.351852,0.14839,5.465181,0.010768
16,266,62,915,6736,0.119592,0.810976,0.225233,0.810976,0.774767,0.352551,0.148014,5.479064,0.011178
17,266,62,914,6737,0.119462,0.810976,0.225424,0.810976,0.774576,0.352785,0.147888,5.483707,0.011196
18,266,62,912,6739,0.1192,0.810976,0.225806,0.810976,0.774194,0.353254,0.147638,5.493017,0.011327
19,266,62,911,6740,0.119069,0.810976,0.225998,0.810976,0.774002,0.353488,0.147512,5.497684,0.011355
20,266,62,909,6742,0.118808,0.810976,0.226383,0.810976,0.773617,0.353959,0.147262,5.507042,0.011447
21,266,62,908,6743,0.118677,0.810976,0.226576,0.810976,0.773424,0.354194,0.147136,5.511733,0.011481
22,266,62,906,6745,0.118416,0.810976,0.226962,0.810976,0.773038,0.354667,0.146886,5.521139,0.011561
23,266,62,905,6746,0.118285,0.810976,0.227156,0.810976,0.772844,0.354903,0.14676,5.525853,0.011834
24,266,62,903,6748,0.118024,0.810976,0.227545,0.810976,0.772455,0.355377,0.14651,5.535307,0.012056
25,265,63,903,6748,0.118024,0.807927,0.226884,0.807927,0.773116,0.354278,0.146384,5.519219,0.012075
26,265,63,902,6749,0.117893,0.807927,0.227078,0.807927,0.772922,0.354515,0.146259,5.523949,0.01214
27,265,63,899,6752,0.117501,0.807927,0.227663,0.807927,0.772337,0.355228,0.145883,5.538186,0.012294
28,265,63,898,6753,0.11737,0.807927,0.227859,0.807927,0.772141,0.355466,0.145758,5.542948,0.012416
29,265,63,895,6756,0.116978,0.807927,0.228448,0.807927,0.771552,0.356183,0.145382,5.557283,0.012569
30,265,63,893,6758,0.116717,0.807927,0.228843,0.807927,0.771157,0.356662,0.145131,5.566881,0.012603
31,264,64,892,6759,0.116586,0.804878,0.228374,0.804878,0.771626,0.355795,0.14488,5.555469,0.012652
32,264,64,890,6761,0.116325,0.804878,0.228769,0.804878,0.771231,0.356275,0.14463,5.565097,0.012787
33,263,65,890,6761,0.116325,0.801829,0.228101,0.801829,0.771899,0.355165,0.144504,5.548825,0.012853
34,262,66,890,6761,0.116325,0.79878,0.227431,0.79878,0.772569,0.354054,0.144379,5.532526,0.012891
35,262,66,888,6763,0.116063,0.79878,0.227826,0.79878,0.772174,0.354533,0.144128,5.542147,0.012901
36,261,67,887,6764,0.115933,0.795732,0.227352,0.795732,0.772648,0.353659,0.143878,5.530613,0.013135
37,261,67,886,6765,0.115802,0.795732,0.22755,0.795732,0.77245,0.353898,0.143752,5.535434,0.013271
38,261,67,884,6767,0.11554,0.795732,0.227948,0.795732,0.772052,0.354379,0.143502,5.545103,0.013412
39,260,68,883,6768,0.11541,0.792683,0.227472,0.792683,0.772528,0.353501,0.143251,5.533523,0.01355
40,259,69,881,6770,0.115148,0.789634,0.227193,0.789634,0.772807,0.352861,0.142875,5.526746,0.013567
41,259,69,877,6774,0.114626,0.789634,0.227993,0.789634,0.772007,0.353825,0.142374,5.546207,0.013654
42,257,71,875,6776,0.114364,0.783537,0.227032,0.783537,0.772968,0.352055,0.141872,5.522825,0.013676
43,256,72,874,6777,0.114233,0.780488,0.226549,0.780488,0.773451,0.351166,0.141622,5.511073,0.013739
44,256,72,872,6779,0.113972,0.780488,0.22695,0.780488,0.77305,0.351648,0.141371,5.520844,0.013777
45,255,73,871,6780,0.113841,0.777439,0.226465,0.777439,0.773535,0.350757,0.14112,5.509046,0.013846
46,254,74,869,6782,0.11358,0.77439,0.22618,0.77439,0.77382,0.350103,0.140744,5.502101,0.014099
47,253,75,865,6786,0.113057,0.771341,0.226297,0.771341,0.773703,0.349931,0.140118,5.504949,0.01425
48,253,75,864,6787,0.112926,0.771341,0.2265,0.771341,0.7735,0.350173,0.139992,5.509878,0.014381
49,252,76,863,6788,0.112796,0.768293,0.226009,0.768293,0.773991,0.349272,0.139742,5.497944,0.014627
50,252,76,862,6789,0.112665,0.768293,0.226212,0.768293,0.773788,0.349515,0.139616,5.502879,0.014672
51,251,77,862,6789,0.112665,0.765244,0.225517,0.765244,0.774483,0.348369,0.139491,5.485967,0.014746
52,250,78,861,6790,0.112534,0.762195,0.225023,0.762195,0.774977,0.347464,0.139241,5.473947,0.014784
53,250,78,859,6792,0.112273,0.762195,0.225428,0.762195,0.774572,0.347947,0.13899,5.483819,0.014939
54,249,79,858,6793,0.112142,0.759146,0.224932,0.759146,0.775068,0.347038,0.138739,5.471751,0.015204
55,249,79,855,6796,0.11175,0.759146,0.225543,0.759146,0.774457,0.347765,0.138363,5.48662,0.015371
56,249,79,854,6797,0.111619,0.759146,0.225748,0.759146,0.774252,0.348008,0.138238,5.491594,0.015742
57,248,80,853,6798,0.111489,0.756098,0.22525,0.756098,0.77475,0.347096,0.137987,5.479475,0.015763
58,248,80,850,6801,0.111097,0.756098,0.225865,0.756098,0.774135,0.347826,0.137611,5.494447,0.015894
59,248,80,848,6803,0.110835,0.756098,0.226277,0.756098,0.773723,0.348315,0.137361,5.504473,0.015943
60,247,81,848,6803,0.110835,0.753049,0.225571,0.753049,0.774429,0.347154,0.137235,5.487284,0.016192
61,247,81,847,6804,0.110704,0.753049,0.225777,0.753049,0.774223,0.347398,0.13711,5.4923,0.016473
62,246,82,846,6805,0.110574,0.75,0.225275,0.75,0.774725,0.346479,0.136859,5.480082,0.016657
63,246,82,845,6806,0.110443,0.75,0.225481,0.75,0.774519,0.346723,0.136734,5.485105,0.016769
64,246,82,844,6807,0.110312,0.75,0.225688,0.75,0.774312,0.346968,0.136609,5.490138,0.016927
65,246,82,842,6809,0.110051,0.75,0.226103,0.75,0.773897,0.347458,0.136358,5.50023,0.017277
66,246,82,839,6812,0.109659,0.75,0.226728,0.75,0.773272,0.348195,0.135982,5.515438,0.017403
67,246,82,835,6816,0.109136,0.75,0.227567,0.75,0.772433,0.349184,0.135481,5.535846,0.017929
68,245,83,832,6819,0.108744,0.746951,0.227484,0.746951,0.772516,0.348754,0.134979,5.53382,0.018132
69,245,83,830,6821,0.108483,0.746951,0.227907,0.746951,0.772093,0.349252,0.134729,5.544115,0.018235
70,244,84,830,6821,0.108483,0.743902,0.227188,0.743902,0.772812,0.348074,0.134603,5.526627,0.018316
71,243,85,829,6822,0.108352,0.740854,0.226679,0.740854,0.773321,0.347143,0.134353,5.514246,0.018501
72,243,85,825,6826,0.107829,0.740854,0.227528,0.740854,0.772472,0.348138,0.133851,5.534898,0.018607
73,242,86,823,6828,0.107568,0.737805,0.22723,0.737805,0.77277,0.347452,0.133475,5.527648,0.018693
74,241,87,821,6830,0.107306,0.734756,0.22693,0.734756,0.77307,0.346763,0.133099,5.520357,0.018813
75,241,87,816,6835,0.106653,0.734756,0.228004,0.734756,0.771996,0.348014,0.132473,5.54647,0.019827
76,241,87,815,6836,0.106522,0.734756,0.22822,0.734756,0.77178,0.348266,0.132347,5.551722,0.021532
77,241,87,814,6837,0.106391,0.734756,0.228436,0.734756,0.771564,0.348518,0.132222,5.556985,0.022069
78,238,90,808,6843,0.105607,0.72561,0.227533,0.72561,0.772467,0.346434,0.131094,5.535029,0.022345
79,238,90,806,6845,0.105346,0.72561,0.227969,0.72561,0.772031,0.346939,0.130843,5.545632,0.02237
80,237,91,804,6847,0.105084,0.722561,0.227666,0.722561,0.772334,0.346238,0.130467,5.538246,0.023269
81,236,92,800,6851,0.104561,0.719512,0.227799,0.719512,0.772201,0.346041,0.129841,5.541494,0.023356
82,235,93,798,6853,0.1043,0.716463,0.227493,0.716463,0.772507,0.345334,0.129465,5.534038,0.023743
83,234,94,791,6860,0.103385,0.713415,0.228293,0.713415,0.771707,0.345898,0.128462,5.553498,0.023757
84,232,96,786,6865,0.102732,0.707317,0.227898,0.707317,0.772102,0.344725,0.127585,5.543893,0.024025
85,231,97,780,6871,0.101947,0.704268,0.228487,0.704268,0.771513,0.345034,0.126708,5.558216,0.024107
86,231,97,776,6875,0.101425,0.704268,0.229394,0.704268,0.770606,0.346067,0.126206,5.580295,0.024995
87,226,102,767,6884,0.100248,0.689024,0.227593,0.689024,0.772407,0.342165,0.124452,5.536481,0.026622
88,226,102,766,6885,0.100118,0.689024,0.227823,0.689024,0.772177,0.342424,0.124326,5.542062,0.032759
89,226,102,765,6886,0.099987,0.689024,0.228052,0.689024,0.771948,0.342684,0.124201,5.547655,0.033483
90,222,106,753,6898,0.098419,0.676829,0.227692,0.676829,0.772308,0.340752,0.122196,5.538893,0.033967
91,222,106,743,6908,0.097111,0.676829,0.230052,0.676829,0.769948,0.343387,0.120942,5.596291,0.034624
92,220,108,731,6920,0.095543,0.670732,0.231335,0.670732,0.768665,0.344019,0.119188,5.627517,0.03535
93,220,108,718,6933,0.093844,0.670732,0.234542,0.670732,0.765458,0.347551,0.117559,5.70551,0.036088
94,216,112,712,6939,0.09306,0.658537,0.232759,0.658537,0.767241,0.343949,0.116305,5.662137,0.036469
95,213,115,699,6952,0.091361,0.64939,0.233553,0.64939,0.766447,0.343548,0.1143,5.681453,0.03674
96,211,117,689,6962,0.090054,0.643293,0.234444,0.643293,0.765556,0.343648,0.112796,5.703147,0.036775
97,209,119,681,6970,0.089008,0.637195,0.234831,0.637195,0.765169,0.343186,0.111543,5.712562,0.037154
98,207,121,677,6974,0.088485,0.631098,0.234163,0.631098,0.765837,0.341584,0.110791,5.696298,0.03724
99,203,125,672,6979,0.087832,0.618902,0.232,0.618902,0.768,0.33749,0.109663,5.643683,0.037401
100,203,125,671,6980,0.087701,0.618902,0.232265,0.618902,0.767735,0.33777,0.109538,5.65014,0.047471
101,203,125,670,6981,0.08757,0.618902,0.232532,0.618902,0.767468,0.338052,0.109412,5.656612,0.049887
102,203,125,669,6982,0.08744,0.618902,0.232798,0.618902,0.767202,0.338333,0.109287,5.663099,0.053245
103,203,125,668,6983,0.087309,0.618902,0.233065,0.618902,0.766935,0.338616,0.109162,5.669601,0.053912
104,203,125,667,6984,0.087178,0.618902,0.233333,0.618902,0.766667,0.338898,0.109036,5.676118,0.098789
105,199,129,641,7010,0.08378,0.606707,0.236905,0.606707,0.763095,0.340753,0.105276,5.762997,0.099345
106,195,133,617,7034,0.080643,0.594512,0.240148,0.594512,0.759852,0.342105,0.101767,5.841888,0.101927
107,188,140,601,7050,0.078552,0.573171,0.238276,0.573171,0.761724,0.336616,0.098885,5.796362,0.102943
108,182,146,575,7076,0.075154,0.554878,0.240423,0.554878,0.759577,0.335484,0.094874,5.848576,0.104551
109,174,154,554,7097,0.072409,0.530488,0.239011,0.530488,0.760989,0.329545,0.09124,5.814234,0.105794
110,168,160,533,7118,0.069664,0.512195,0.239658,0.512195,0.760342,0.326531,0.087856,5.829964,0.106335
111,164,164,504,7147,0.065874,0.5,0.245509,0.5,0.754491,0.329317,0.08372,5.972305,0.10699
112,159,169,484,7167,0.06326,0.484756,0.247278,0.484756,0.752722,0.327497,0.080587,6.015348,0.107203
113,153,175,459,7192,0.059992,0.466463,0.25,0.466463,0.75,0.325532,0.076701,6.081555,0.10753
114,148,180,437,7214,0.057117,0.45122,0.252991,0.45122,0.747009,0.324206,0.073317,6.154326,0.295443
115,148,180,436,7215,0.056986,0.45122,0.253425,0.45122,0.746575,0.324561,0.073192,6.164864,0.326521
116,147,181,436,7215,0.056986,0.448171,0.252144,0.448171,0.747856,0.322722,0.073067,6.133712,0.478515
117,147,181,435,7216,0.056855,0.448171,0.252577,0.448171,0.747423,0.323077,0.072941,6.144251,0.485388
118,147,181,434,7217,0.056725,0.448171,0.253012,0.448171,0.746988,0.323432,0.072816,6.154827,0.526086
119,146,182,433,7218,0.056594,0.445122,0.252159,0.445122,0.747841,0.32194,0.072565,6.134073,0.936245
120,134,194,398,7253,0.052019,0.408537,0.25188,0.408537,0.74812,0.311628,0.066675,6.127281,0.937976
121,122,206,362,7289,0.047314,0.371951,0.252066,0.371951,0.747934,0.300493,0.060659,6.131816,0.942056
122,107,221,320,7331,0.041825,0.32622,0.250585,0.32622,0.749415,0.283444,0.053515,6.095797,0.942421
123,89,239,278,7373,0.036335,0.271341,0.242507,0.271341,0.757493,0.256115,0.045996,5.899274,0.942567
124,70,258,237,7414,0.030976,0.213415,0.228013,0.213415,0.771987,0.220472,0.038476,5.546695,0.944151
125,56,272,192,7459,0.025095,0.170732,0.225806,0.170732,0.774194,0.194444,0.031082,5.493017,0.946065
126,39,289,143,7508,0.01869,0.118902,0.214286,0.118902,0.785714,0.152941,0.02281,5.212761,0.946689
127,25,303,99,7552,0.012939,0.07622,0.201613,0.07622,0.798387,0.110619,0.015541,4.90448,0.9491
128,12,316,50,7601,0.006535,0.036585,0.193548,0.036585,0.806452,0.061538,0.00777,4.708301,0.949601
129,0,328,0,7651,0,0,0,0,0,0,0,?,0.949611
