"threshold","TP","TN","FP","FN"
0.0,350,0,8907,0
0.01,350,0,8907,0
0.02,350,1,8906,0
0.03,350,1,8906,0
0.04,350,4,8903,0
0.05,350,8,8899,0
0.060000000000000005,350,17,8890,0
0.07,350,26,8881,0
0.08,350,33,8874,0
0.09,350,40,8867,0
0.09999999999999999,700,109,17705,0
0.10999999999999999,700,109,17705,0
0.11999999999999998,350,71,8836,0
0.12999999999999998,350,79,8828,0
0.13999999999999999,349,96,8811,1
0.15,349,111,8796,1
0.16,349,120,8787,1
0.17,349,131,8776,1
0.18000000000000002,349,142,8765,1
0.19000000000000003,349,154,8753,1
0.20000000000000004,349,164,8743,1
0.21000000000000005,349,174,8733,1
0.22000000000000006,349,182,8725,1
0.23000000000000007,349,193,8714,1
0.24000000000000007,349,196,8711,1
0.25000000000000006,349,212,8695,1
0.26000000000000006,349,218,8689,1
0.2700000000000001,349,222,8685,1
0.2800000000000001,349,235,8672,1
0.2900000000000001,349,245,8662,1
0.3000000000000001,349,261,8646,1
0.3100000000000001,349,273,8634,1
0.3200000000000001,349,282,8625,1
0.3300000000000001,349,294,8613,1
0.34000000000000014,349,306,8601,1
0.35000000000000014,349,317,8590,1
0.36000000000000015,349,333,8574,1
0.37000000000000016,349,352,8555,1
0.38000000000000017,349,373,8534,1
0.3900000000000002,349,387,8520,1
0.4000000000000002,349,405,8502,1
0.4100000000000002,349,421,8486,1
0.4200000000000002,349,438,8469,1
0.4300000000000002,349,453,8454,1
0.4400000000000002,349,471,8436,1
0.45000000000000023,349,489,8418,1
0.46000000000000024,349,507,8400,1
0.47000000000000025,349,543,8364,1
0.48000000000000026,349,674,8233,1
0.49000000000000027,340,1635,7272,10
0.5000000000000002,288,7675,1232,62
0.5100000000000002,288,7682,1225,62
0.5200000000000002,288,7687,1220,62
0.5300000000000002,288,7688,1219,62
0.5400000000000003,288,7693,1214,62
0.5500000000000003,285,7701,1206,65
0.5600000000000003,285,7704,1203,65
0.5700000000000003,285,7708,1199,65
0.5800000000000003,285,7714,1193,65
0.5900000000000003,285,7720,1187,65
0.6000000000000003,285,7728,1179,65
0.6100000000000003,285,7732,1175,65
0.6200000000000003,285,7739,1168,65
0.6300000000000003,285,7743,1164,65
0.6400000000000003,285,7751,1156,65
0.6500000000000004,284,7757,1150,66
0.6600000000000004,277,7828,1079,73
0.6700000000000004,36,8733,174,314
0.6800000000000004,36,8739,168,314
0.6900000000000004,36,8747,160,314
0.7000000000000004,36,8750,157,314
0.7100000000000004,36,8756,151,314
0.7200000000000004,36,8760,147,314
0.7300000000000004,36,8762,145,314
0.7400000000000004,35,8768,139,315
0.7500000000000004,3,8860,47,347
0.7600000000000005,3,8862,45,347
0.7700000000000005,3,8863,44,347
0.7800000000000005,3,8866,41,347
0.7900000000000005,3,8870,37,347
0.8000000000000005,3,8874,33,347
0.8100000000000005,3,8876,31,347
0.8200000000000005,3,8879,28,347
0.8300000000000005,3,8881,26,347
0.8400000000000005,2,8885,22,348
0.8500000000000005,2,8888,19,348
0.8600000000000005,2,8890,17,348
0.8700000000000006,2,8891,16,348
0.8800000000000006,1,8893,14,349
0.8900000000000006,1,8893,14,349
0.9000000000000006,1,8894,13,349
0.9100000000000006,1,8895,12,349
0.9200000000000006,1,8897,10,349
0.9300000000000006,1,8900,7,349
0.9400000000000006,1,8901,6,349
0.9500000000000006,1,8905,2,349
0.9600000000000006,1,8906,1,349
0.9700000000000006,1,8907,0,349
0.9800000000000006,0,8907,0,350
0.9900000000000007,0,8907,0,350
