"threshold","TP","TN","FP","FN"
0.0,171,0,2482,0
0.01,171,0,2482,0
0.02,171,0,2482,0
0.03,171,0,2482,0
0.04,171,0,2482,0
0.05,171,0,2482,0
0.060000000000000005,171,0,2482,0
0.07,171,0,2482,0
0.08,171,1,2481,0
0.09,171,1,2481,0
0.09999999999999999,342,10,4954,0
0.10999999999999999,342,10,4954,0
0.11999999999999998,171,9,2473,0
0.12999999999999998,171,9,2473,0
0.13999999999999999,171,12,2470,0
0.15,171,13,2469,0
0.16,171,17,2465,0
0.17,171,22,2460,0
0.18000000000000002,171,23,2459,0
0.19000000000000003,171,27,2455,0
0.20000000000000004,171,31,2451,0
0.21000000000000005,171,36,2446,0
0.22000000000000006,171,39,2443,0
0.23000000000000007,171,43,2439,0
0.24000000000000007,171,49,2433,0
0.25000000000000006,171,56,2426,0
0.26000000000000006,171,62,2420,0
0.2700000000000001,171,70,2412,0
0.2800000000000001,171,81,2401,0
0.2900000000000001,171,87,2395,0
0.3000000000000001,171,92,2390,0
0.3100000000000001,171,101,2381,0
0.3200000000000001,171,109,2373,0
0.3300000000000001,171,116,2366,0
0.34000000000000014,171,137,2345,0
0.35000000000000014,171,148,2334,0
0.36000000000000015,171,161,2321,0
0.37000000000000016,171,173,2309,0
0.38000000000000017,171,192,2290,0
0.3900000000000002,171,204,2278,0
0.4000000000000002,171,216,2266,0
0.4100000000000002,171,229,2253,0
0.4200000000000002,171,244,2238,0
0.4300000000000002,170,263,2219,1
0.4400000000000002,169,343,2139,2
0.45000000000000023,169,369,2113,2
0.46000000000000024,169,406,2076,2
0.47000000000000025,168,511,1971,3
0.48000000000000026,166,753,1729,5
0.49000000000000027,161,1338,1144,10
0.5000000000000002,151,1797,685,20
0.5100000000000002,151,1799,683,20
0.5200000000000002,151,1802,680,20
0.5300000000000002,151,1807,675,20
0.5400000000000003,151,1810,672,20
0.5500000000000003,151,1815,667,20
0.5600000000000003,151,1818,664,20
0.5700000000000003,151,1824,658,20
0.5800000000000003,151,1827,655,20
0.5900000000000003,151,1827,655,20
0.6000000000000003,151,1830,652,20
0.6100000000000003,151,1835,647,20
0.6200000000000003,151,1839,643,20
0.6300000000000003,151,1844,638,20
0.6400000000000003,151,1851,631,20
0.6500000000000004,151,1864,618,20
0.6600000000000004,149,1881,601,22
0.6700000000000004,12,2414,68,159
0.6800000000000004,11,2414,68,160
0.6900000000000004,11,2414,68,160
0.7000000000000004,11,2414,68,160
0.7100000000000004,11,2418,64,160
0.7200000000000004,11,2419,63,160
0.7300000000000004,11,2425,57,160
0.7400000000000004,11,2429,53,160
0.7500000000000004,1,2468,14,170
0.7600000000000005,1,2468,14,170
0.7700000000000005,1,2468,14,170
0.7800000000000005,1,2468,14,170
0.7900000000000005,1,2470,12,170
0.8000000000000005,0,2474,8,171
0.8100000000000005,0,2474,8,171
0.8200000000000005,0,2475,7,171
0.8300000000000005,0,2476,6,171
0.8400000000000005,0,2476,6,171
0.8500000000000005,0,2477,5,171
0.8600000000000005,0,2478,4,171
0.8700000000000006,0,2478,4,171
0.8800000000000006,0,2479,3,171
0.8900000000000006,0,2481,1,171
0.9000000000000006,0,2481,1,171
0.9100000000000006,0,2481,1,171
0.9200000000000006,0,2482,0,171
0.9300000000000006,0,2482,0,171
0.9400000000000006,0,2482,0,171
0.9500000000000006,0,2482,0,171
0.9600000000000006,0,2482,0,171
0.9700000000000006,0,2482,0,171
0.9800000000000006,0,2482,0,171
0.9900000000000007,0,2482,0,171
