"threshold","TP","TN","FP","FN"
0.0,209,0,2171,0
0.01,209,0,2171,0
0.02,209,0,2171,0
0.03,209,1,2170,0
0.04,209,2,2169,0
0.05,209,3,2168,0
0.060000000000000005,209,7,2164,0
0.07,209,11,2160,0
0.08,209,12,2159,0
0.09,209,14,2157,0
0.09999999999999999,418,35,4307,0
0.10999999999999999,418,35,4307,0
0.11999999999999998,209,22,2149,0
0.12999999999999998,209,25,2146,0
0.13999999999999999,209,29,2142,0
0.15,208,32,2139,1
0.16,208,36,2135,1
0.17,208,40,2131,1
0.18000000000000002,208,46,2125,1
0.19000000000000003,208,48,2123,1
0.20000000000000004,208,51,2120,1
0.21000000000000005,208,56,2115,1
0.22000000000000006,208,63,2108,1
0.23000000000000007,208,67,2104,1
0.24000000000000007,208,72,2099,1
0.25000000000000006,208,78,2093,1
0.26000000000000006,208,87,2084,1
0.2700000000000001,208,92,2079,1
0.2800000000000001,208,100,2071,1
0.2900000000000001,208,109,2062,1
0.3000000000000001,208,116,2055,1
0.3100000000000001,208,121,2050,1
0.3200000000000001,208,127,2044,1
0.3300000000000001,208,134,2037,1
0.34000000000000014,208,151,2020,1
0.35000000000000014,208,161,2010,1
0.36000000000000015,208,167,2004,1
0.37000000000000016,208,173,1998,1
0.38000000000000017,208,180,1991,1
0.3900000000000002,208,196,1975,1
0.4000000000000002,208,210,1961,1
0.4100000000000002,208,224,1947,1
0.4200000000000002,208,238,1933,1
0.4300000000000002,208,249,1922,1
0.4400000000000002,208,273,1898,1
0.45000000000000023,207,321,1850,2
0.46000000000000024,207,341,1830,2
0.47000000000000025,207,434,1737,2
0.48000000000000026,205,622,1549,4
0.49000000000000027,199,1160,1011,10
0.5000000000000002,196,1507,664,13
0.5100000000000002,196,1509,662,13
0.5200000000000002,196,1511,660,13
0.5300000000000002,196,1516,655,13
0.5400000000000003,196,1524,647,13
0.5500000000000003,196,1526,645,13
0.5600000000000003,196,1531,640,13
0.5700000000000003,196,1537,634,13
0.5800000000000003,196,1541,630,13
0.5900000000000003,196,1542,629,13
0.6000000000000003,196,1546,625,13
0.6100000000000003,196,1549,622,13
0.6200000000000003,196,1552,619,13
0.6300000000000003,195,1565,606,14
0.6400000000000003,195,1567,604,14
0.6500000000000004,194,1592,579,15
0.6600000000000004,182,1665,506,27
0.6700000000000004,25,2089,82,184
0.6800000000000004,25,2091,80,184
0.6900000000000004,25,2094,77,184
0.7000000000000004,25,2095,76,184
0.7100000000000004,24,2098,73,185
0.7200000000000004,24,2099,72,185
0.7300000000000004,23,2101,70,186
0.7400000000000004,23,2106,65,186
0.7500000000000004,3,2140,31,206
0.7600000000000005,3,2141,30,206
0.7700000000000005,3,2145,26,206
0.7800000000000005,3,2148,23,206
0.7900000000000005,3,2152,19,206
0.8000000000000005,2,2158,13,207
0.8100000000000005,2,2160,11,207
0.8200000000000005,2,2161,10,207
0.8300000000000005,2,2163,8,207
0.8400000000000005,1,2165,6,208
0.8500000000000005,1,2165,6,208
0.8600000000000005,1,2166,5,208
0.8700000000000006,1,2168,3,208
0.8800000000000006,1,2168,3,208
0.8900000000000006,1,2170,1,208
0.9000000000000006,1,2170,1,208
0.9100000000000006,1,2170,1,208
0.9200000000000006,1,2170,1,208
0.9300000000000006,1,2170,1,208
0.9400000000000006,1,2170,1,208
0.9500000000000006,1,2171,0,208
0.9600000000000006,1,2171,0,208
0.9700000000000006,1,2171,0,208
0.9800000000000006,1,2171,0,208
0.9900000000000007,1,2171,0,208
