"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,99,0,1579,0,1,1,0.058999,1,0.941001,0.111424,1,1,0.015855
1,94,5,1445,134,0.915136,0.949495,0.061079,0.949495,0.938921,0.114774,0.917163,1.035252,0.016098
2,89,10,1307,272,0.827739,0.89899,0.063754,0.89899,0.936246,0.119064,0.831943,1.080591,0.016272
3,87,12,1171,408,0.741609,0.878788,0.069157,0.878788,0.930843,0.128224,0.749702,1.172183,0.01638
4,87,12,1169,410,0.740342,0.878788,0.069268,0.878788,0.930732,0.128413,0.74851,1.174049,0.016472
5,83,16,1044,535,0.661178,0.838384,0.073647,0.838384,0.926353,0.1354,0.671633,1.248277,0.016527
6,80,19,917,662,0.580747,0.808081,0.080241,0.808081,0.919759,0.145985,0.59416,1.36004,0.01653
7,78,21,785,794,0.49715,0.787879,0.090382,0.787879,0.909618,0.162162,0.514303,1.531936,0.01659
8,78,21,783,796,0.495883,0.787879,0.090592,0.787879,0.909408,0.1625,0.513111,1.535494,0.016721
9,78,21,782,797,0.49525,0.787879,0.090698,0.787879,0.909302,0.162669,0.512515,1.53728,0.016747
10,75,24,647,932,0.409753,0.757576,0.103878,0.757576,0.896122,0.182704,0.430274,1.760682,0.016984
11,75,24,643,936,0.40722,0.757576,0.104457,0.757576,0.895543,0.183599,0.42789,1.77049,0.017156
12,75,24,642,937,0.406586,0.757576,0.104603,0.757576,0.895397,0.183824,0.427294,1.77296,0.017381
13,73,26,511,1068,0.323623,0.737374,0.125,0.737374,0.875,0.213763,0.348033,2.118687,0.017571
14,73,26,510,1069,0.322989,0.737374,0.125214,0.737374,0.874786,0.214076,0.347437,2.122321,0.017631
15,71,28,379,1200,0.240025,0.717172,0.157778,0.717172,0.842222,0.258652,0.268176,2.674254,0.017847
16,71,28,378,1201,0.239392,0.717172,0.158129,0.717172,0.841871,0.259124,0.26758,2.68021,0.018117
17,71,28,377,1202,0.238759,0.717172,0.158482,0.717172,0.841518,0.259598,0.266985,2.686192,0.018228
18,71,28,376,1203,0.238125,0.717172,0.158837,0.717172,0.841163,0.260073,0.266389,2.692202,0.018378
19,71,28,236,1343,0.149462,0.717172,0.23127,0.717172,0.76873,0.349754,0.182956,3.919916,0.018399
20,71,28,235,1344,0.148828,0.717172,0.232026,0.717172,0.767974,0.350617,0.18236,3.932726,0.018494
21,71,28,234,1345,0.148195,0.717172,0.232787,0.717172,0.767213,0.351485,0.181764,3.94562,0.01855
22,70,29,233,1346,0.147562,0.707071,0.231023,0.707071,0.768977,0.348259,0.180572,3.915725,0.019091
23,70,29,232,1347,0.146928,0.707071,0.231788,0.707071,0.768212,0.349127,0.179976,3.928691,0.019345
24,70,29,231,1348,0.146295,0.707071,0.232558,0.707071,0.767442,0.35,0.17938,3.941743,0.020016
25,70,29,229,1350,0.145028,0.707071,0.234114,0.707071,0.765886,0.351759,0.178188,3.968109,0.020219
26,70,29,228,1351,0.144395,0.707071,0.234899,0.707071,0.765101,0.352645,0.177592,3.981425,0.020317
27,70,29,227,1352,0.143762,0.707071,0.23569,0.707071,0.76431,0.353535,0.176996,3.99483,0.020451
28,70,29,226,1353,0.143129,0.707071,0.236486,0.707071,0.763514,0.35443,0.1764,4.008327,0.020586
29,70,29,225,1354,0.142495,0.707071,0.237288,0.707071,0.762712,0.35533,0.175805,4.021914,0.020657
30,70,29,224,1355,0.141862,0.707071,0.238095,0.707071,0.761905,0.356234,0.175209,4.035594,0.020928
31,70,29,223,1356,0.141229,0.707071,0.238908,0.707071,0.761092,0.357143,0.174613,4.049367,0.021073
32,70,29,222,1357,0.140595,0.707071,0.239726,0.707071,0.760274,0.358056,0.174017,4.063235,0.02134
33,70,29,219,1360,0.138695,0.707071,0.242215,0.707071,0.757785,0.360825,0.172229,4.105414,0.02153
34,70,29,218,1361,0.138062,0.707071,0.243056,0.707071,0.756944,0.361757,0.171633,4.119669,0.021632
35,70,29,217,1362,0.137429,0.707071,0.243902,0.707071,0.756098,0.362694,0.171037,4.134023,0.021889
36,70,29,216,1363,0.136795,0.707071,0.244755,0.707071,0.755245,0.363636,0.170441,4.148478,0.023305
37,70,29,215,1364,0.136162,0.707071,0.245614,0.707071,0.754386,0.364583,0.169845,4.163034,0.023322
38,69,30,214,1365,0.135529,0.69697,0.243816,0.69697,0.756184,0.361257,0.168653,4.132562,0.023734
39,68,31,214,1365,0.135529,0.686869,0.241135,0.686869,0.758865,0.356955,0.168057,4.087112,0.023912
40,68,31,212,1367,0.134262,0.686869,0.242857,0.686869,0.757143,0.358839,0.166865,4.116306,0.024095
41,68,31,211,1368,0.133629,0.686869,0.243728,0.686869,0.756272,0.359788,0.166269,4.13106,0.024702
42,68,31,210,1369,0.132996,0.686869,0.244604,0.686869,0.755396,0.360743,0.165673,4.14592,0.025172
43,68,31,209,1370,0.132362,0.686869,0.245487,0.686869,0.754513,0.361702,0.165077,4.160887,0.025203
44,68,31,208,1371,0.131729,0.686869,0.246377,0.686869,0.753623,0.362667,0.164482,4.175963,0.025577
45,67,32,208,1371,0.131729,0.676768,0.243636,0.676768,0.756364,0.358289,0.163886,4.129513,0.025776
46,67,32,206,1373,0.130462,0.676768,0.245421,0.676768,0.754579,0.360215,0.162694,4.159766,0.026204
47,67,32,205,1374,0.129829,0.676768,0.246324,0.676768,0.753676,0.361186,0.162098,4.175059,0.02628
48,67,32,204,1375,0.129196,0.676768,0.247232,0.676768,0.752768,0.362162,0.161502,4.190466,0.026423
49,67,32,203,1376,0.128562,0.676768,0.248148,0.676768,0.751852,0.363144,0.160906,4.205986,0.026971
50,67,32,201,1378,0.127296,0.676768,0.25,0.676768,0.75,0.365123,0.159714,4.237374,0.027094
51,66,33,200,1379,0.126662,0.666667,0.24812,0.666667,0.75188,0.361644,0.158522,4.205514,0.028061
52,66,33,199,1380,0.126029,0.666667,0.249057,0.666667,0.750943,0.362637,0.157926,4.221384,0.028316
53,66,33,197,1382,0.124763,0.666667,0.250951,0.666667,0.749049,0.364641,0.156734,4.253485,0.028443
54,66,33,196,1383,0.124129,0.666667,0.251908,0.666667,0.748092,0.365651,0.156138,4.26972,0.02887
55,66,33,194,1385,0.122863,0.666667,0.253846,0.666667,0.746154,0.367688,0.154946,4.302564,0.030352
56,66,33,193,1386,0.122229,0.666667,0.254826,0.666667,0.745174,0.368715,0.15435,4.319176,0.030413
57,66,33,192,1387,0.121596,0.666667,0.255814,0.666667,0.744186,0.369748,0.153754,4.335917,0.030463
58,66,33,191,1388,0.120963,0.666667,0.256809,0.666667,0.743191,0.370787,0.153159,4.352789,0.031261
59,66,33,190,1389,0.120329,0.666667,0.257813,0.666667,0.742188,0.371831,0.152563,4.369792,0.032345
60,66,33,189,1390,0.119696,0.666667,0.258824,0.666667,0.741176,0.372881,0.151967,4.386928,0.032398
61,65,34,186,1393,0.117796,0.656566,0.258964,0.656566,0.741036,0.371429,0.149583,4.389311,0.03285
62,64,35,183,1396,0.115896,0.646465,0.259109,0.646465,0.740891,0.369942,0.147199,4.391772,0.032903
63,63,36,181,1398,0.11463,0.636364,0.258197,0.636364,0.741803,0.367347,0.145411,4.376304,0.033231
64,63,36,179,1400,0.113363,0.636364,0.260331,0.636364,0.739669,0.369501,0.144219,4.412472,0.033563
65,63,36,178,1401,0.11273,0.636364,0.261411,0.636364,0.738589,0.370588,0.143623,4.430781,0.034563
66,63,36,175,1404,0.11083,0.636364,0.264706,0.636364,0.735294,0.373887,0.141836,4.486631,0.034913
67,63,36,172,1407,0.10893,0.636364,0.268085,0.636364,0.731915,0.377246,0.140048,4.543907,0.035078
68,63,36,170,1409,0.107663,0.636364,0.270386,0.636364,0.729614,0.379518,0.138856,4.582911,0.035518
69,63,36,168,1411,0.106396,0.636364,0.272727,0.636364,0.727273,0.381818,0.137664,4.62259,0.038313
70,63,36,167,1412,0.105763,0.636364,0.273913,0.636364,0.726087,0.382979,0.137068,4.642688,0.038554
71,63,36,166,1413,0.10513,0.636364,0.275109,0.636364,0.724891,0.384146,0.136472,4.662961,0.044015
72,63,36,165,1414,0.104497,0.636364,0.276316,0.636364,0.723684,0.385321,0.135876,4.683413,0.045016
73,63,36,164,1415,0.103863,0.636364,0.277533,0.636364,0.722467,0.386503,0.13528,4.704045,0.046512
74,62,37,161,1418,0.101963,0.626263,0.278027,0.626263,0.721973,0.385093,0.132896,4.712416,0.04665
75,62,37,160,1419,0.10133,0.626263,0.279279,0.626263,0.720721,0.386293,0.1323,4.733643,0.046669
76,62,37,159,1420,0.100697,0.626263,0.280543,0.626263,0.719457,0.3875,0.131704,4.755062,0.046743
77,62,37,155,1424,0.098163,0.626263,0.285714,0.626263,0.714286,0.392405,0.129321,4.842713,0.048398
78,62,37,153,1426,0.096897,0.626263,0.288372,0.626263,0.711628,0.394904,0.128129,4.887761,0.048659
79,61,38,148,1431,0.09373,0.616162,0.291866,0.616162,0.708134,0.396104,0.124553,4.946982,0.049028
80,61,38,144,1435,0.091197,0.616162,0.297561,0.616162,0.702439,0.401316,0.122169,5.043508,0.04907
81,60,39,143,1436,0.090564,0.606061,0.295567,0.606061,0.704433,0.397351,0.120977,5.009703,0.050133
82,60,39,140,1439,0.088664,0.606061,0.3,0.606061,0.7,0.401338,0.11919,5.084848,0.050711
83,59,40,139,1440,0.08803,0.59596,0.29798,0.59596,0.70202,0.397306,0.117998,5.050607,0.051624
84,58,41,136,1443,0.08613,0.585859,0.298969,0.585859,0.701031,0.395904,0.115614,5.067375,0.062627
85,58,41,135,1444,0.085497,0.585859,0.300518,0.585859,0.699482,0.39726,0.115018,5.093631,0.065716
86,58,41,134,1445,0.084864,0.585859,0.302083,0.585859,0.697917,0.398625,0.114422,5.12016,0.080706
87,57,42,134,1445,0.084864,0.575758,0.298429,0.575758,0.701571,0.393103,0.113826,5.058226,0.115561
88,56,43,131,1448,0.082964,0.565657,0.299465,0.565657,0.700535,0.391608,0.111442,5.075785,0.123146
89,52,47,125,1454,0.079164,0.525253,0.293785,0.525253,0.706215,0.376812,0.105483,4.979513,0.12432
90,51,48,123,1456,0.077897,0.515152,0.293103,0.515152,0.706897,0.373626,0.103695,4.967955,0.125899
91,51,48,121,1458,0.076631,0.515152,0.296512,0.515152,0.703488,0.376384,0.102503,5.025722,0.129068
92,49,50,117,1462,0.074098,0.494949,0.295181,0.494949,0.704819,0.369811,0.098927,5.003164,0.130379
93,48,51,114,1465,0.072198,0.484848,0.296296,0.484848,0.703704,0.367816,0.096544,5.022073,0.131183
94,47,52,108,1471,0.068398,0.474747,0.303226,0.474747,0.696774,0.370079,0.092372,5.139524,0.131239
95,47,52,105,1474,0.066498,0.474747,0.309211,0.474747,0.690789,0.374502,0.090584,5.240962,0.133647
